date,Tesla,isPartial
2012-01-26,35,False
2012-01-27,38,False
2012-01-28,39,False
2012-01-29,36,False
2012-01-30,33,False
2012-01-31,37,False
2012-02-01,35,False
2012-02-02,35,False
2012-02-03,39,False
2012-02-04,38,False
2012-02-05,36,False
2012-02-06,36,False
2012-02-07,37,False
2012-02-08,35,False
2012-02-09,42,False
2012-02-10,100,False
2012-02-11,64,False
2012-02-12,51,False
2012-02-13,44,False
2012-02-14,42,False
2012-02-15,51,False
2012-02-16,51,False
2012-02-17,44,False
2012-02-18,42,False
2012-02-19,41,False
2012-02-20,37,False
2012-02-21,39,False
2012-02-22,48,False
2012-02-23,43,False
2012-02-24,44,False
2012-02-25,40,False
2012-02-26,40,False
2012-02-27,33,False
2012-02-28,36,False
2012-02-29,39,False
2012-03-01,38,False
2012-03-02,35,False
2012-03-03,39,False
2012-03-04,36,False
2012-03-05,36,False
2012-03-06,35,False
2012-03-07,36,False
2012-03-08,34,False
2012-03-09,37,False
2012-03-10,36,False
2012-03-11,41,False
2012-03-12,37,False
2012-03-13,39,False
2012-03-14,40,False
2012-03-15,34,False
2012-03-16,33,False
2012-03-17,34,False
2012-03-18,39,False
2012-03-19,40,False
2012-03-20,38,False
2012-03-21,33,False
2012-03-22,37,False
2012-03-23,37,False
2012-03-24,38,False
2012-03-25,36,False
2012-03-26,42,False
2012-03-27,37,False
2012-03-28,34,False
2012-03-29,39,False
2012-03-30,36,False
2012-03-31,31,False
2012-04-01,39,False
2012-04-02,36,False
2012-04-03,36,False
2012-04-04,35,False
2012-04-05,33,False
2012-04-06,34,False
2012-04-07,31,False
2012-04-08,42,False
2012-04-09,34,False
2012-04-10,32,False
2012-04-11,38,False
2012-04-12,40,False
2012-04-13,37,False
2012-04-14,35,False
2012-04-15,42,False
2012-04-16,34,False
2012-04-17,36,False
2012-04-18,37,False
2012-04-19,40,False
2012-04-20,39,False
2012-04-21,36,False
2012-04-22,37,False
2012-04-23,36,False
2012-04-24,36,False
2012-04-25,33,False
2012-04-26,37,False
2012-04-27,31,False
2012-04-28,39,False
2012-04-29,36,False
2012-04-30,34,False
2012-05-01,34,False
2012-05-02,32,False
2012-05-03,37,False
2012-05-04,33,False
2012-05-05,31,False
2012-05-06,38,False
2012-05-07,32,False
2012-05-08,42,False
2012-05-09,39,False
2012-05-10,40,False
2012-05-11,34,False
2012-05-12,39,False
2012-05-13,39,False
2012-05-14,44,False
2012-05-15,67,False
2012-05-16,52,False
2012-05-17,51,False
2012-05-18,43,False
2012-05-19,39,False
2012-05-20,42,False
2012-05-21,42,False
2012-05-22,46,False
2012-05-23,53,False
2012-05-24,49,False
2012-05-25,50,False
2012-05-26,44,False
2012-05-27,44,False
2012-05-28,40,False
2012-05-29,38,False
2012-05-30,41,False
2012-05-31,38,False
2012-06-01,35,False
2012-06-02,36,False
2012-06-03,38,False
2012-06-04,35,False
2012-06-05,38,False
2012-06-06,37,False
2012-06-07,42,False
2012-06-08,35,False
2012-06-09,34,False
2012-06-10,37,False
2012-06-11,35,False
2012-06-12,32,False
2012-06-13,36,False
2012-06-14,36,False
2012-06-15,41,False
2012-06-16,38,False
2012-06-17,37,False
2012-06-18,36,False
2012-06-19,38,False
2012-06-20,38,False
2012-06-21,47,False
2012-06-22,55,False
2012-06-23,82,False
2012-06-24,60,False
2012-06-25,56,False
2012-06-26,48,False
2012-06-27,48,False
2012-06-28,39,False
2012-06-29,40,False
2012-06-30,44,False
2012-07-01,43,False
2012-07-02,40,False
2012-07-03,39,False
2012-07-04,38,False
2012-07-05,37,False
2012-07-06,41,False
2012-07-07,44,False
2012-07-08,40,False
2012-07-09,40,False
2012-07-10,88,False
2012-07-11,65,False
2012-07-12,42,False
2012-07-13,45,False
2012-07-14,48,False
2012-07-15,48,False
2012-07-16,47,False
2012-07-17,39,False
2012-07-18,37,False
