date,Tesla,isPartial
2018-02-13,82,False
2018-02-14,70,False
2018-02-15,68,False
2018-02-16,68,False
2018-02-17,69,False
2018-02-18,70,False
2018-02-19,67,False
2018-02-20,67,False
2018-02-21,66,False
2018-02-22,65,False
2018-02-23,66,False
2018-02-24,63,False
2018-02-25,67,False
2018-02-26,63,False
2018-02-27,60,False
2018-02-28,58,False
2018-03-01,59,False
2018-03-02,63,False
2018-03-03,62,False
2018-03-04,58,False
2018-03-05,58,False
2018-03-06,59,False
2018-03-07,58,False
2018-03-08,62,False
2018-03-09,60,False
2018-03-10,62,False
2018-03-11,60,False
2018-03-12,61,False
2018-03-13,58,False
2018-03-14,58,False
2018-03-15,60,False
2018-03-16,54,False
2018-03-17,55,False
2018-03-18,58,False
2018-03-19,59,False
2018-03-20,59,False
2018-03-21,57,False
2018-03-22,57,False
2018-03-23,60,False
2018-03-24,62,False
2018-03-25,57,False
2018-03-26,61,False
2018-03-27,65,False
2018-03-28,86,False
2018-03-29,87,False
2018-03-30,89,False
2018-03-31,78,False
2018-04-01,79,False
2018-04-02,100,False
2018-04-03,88,False
2018-04-04,71,False
2018-04-05,67,False
2018-04-06,63,False
2018-04-07,56,False
2018-04-08,56,False
2018-04-09,59,False
2018-04-10,60,False
2018-04-11,57,False
2018-04-12,61,False
2018-04-13,63,False
2018-04-14,57,False
2018-04-15,58,False
2018-04-16,60,False
2018-04-17,69,False
2018-04-18,67,False
2018-04-19,61,False
2018-04-20,58,False
2018-04-21,59,False
2018-04-22,58,False
2018-04-23,61,False
2018-04-24,57,False
2018-04-25,55,False
2018-04-26,57,False
2018-04-27,59,False
2018-04-28,60,False
2018-04-29,54,False
2018-04-30,57,False
2018-05-01,57,False
2018-05-02,69,False
2018-05-03,98,False
2018-05-04,76,False
2018-05-05,63,False
2018-05-06,58,False
2018-05-07,63,False
2018-05-08,65,False
2018-05-09,60,False
2018-05-10,68,False
2018-05-11,70,False
2018-05-12,65,False
2018-05-13,66,False
2018-05-14,66,False
2018-05-15,71,False
2018-05-16,67,False
2018-05-17,62,False
2018-05-18,62,False
2018-05-19,59,False
2018-05-20,64,False
2018-05-21,68,False
2018-05-22,69,False
2018-05-23,64,False
2018-05-24,61,False
2018-05-25,61,False
2018-05-26,58,False
2018-05-27,56,False
2018-05-28,56,False
2018-05-29,56,False
2018-05-30,61,False
2018-05-31,60,False
2018-06-01,58,False
2018-06-02,56,False
2018-06-03,54,False
2018-06-04,58,False
2018-06-05,57,False
2018-06-06,70,False
2018-06-07,66,False
2018-06-08,59,False
2018-06-09,57,False
2018-06-10,60,False
2018-06-11,57,False
2018-06-12,67,False
2018-06-13,67,False
2018-06-14,61,False
2018-06-15,57,False
2018-06-16,57,False
2018-06-17,60,False
2018-06-18,60,False
2018-06-19,67,False
2018-06-20,61,False
2018-06-21,54,False
2018-06-22,57,False
2018-06-23,54,False
2018-06-24,53,False
2018-06-25,53,False
2018-06-26,56,False
2018-06-27,59,False
2018-06-28,65,False
2018-06-29,66,False
