date,Fiserv,isPartial
2017-01-19,32,False
2017-01-20,45,False
2017-01-21,27,False
2017-01-22,33,False
2017-01-23,61,False
2017-01-24,77,False
2017-01-25,65,False
2017-01-26,100,False
2017-01-27,52,False
2017-01-28,17,False
2017-01-29,23,False
2017-01-30,37,False
2017-01-31,32,False
2017-02-01,62,False
2017-02-02,61,False
2017-02-03,67,False
2017-02-04,23,False
2017-02-05,16,False
2017-02-06,49,False
2017-02-07,73,False
2017-02-08,64,False
2017-02-09,56,False
2017-02-10,54,False
2017-02-11,47,False
2017-02-12,26,False
2017-02-13,79,False
2017-02-14,50,False
2017-02-15,74,False
2017-02-16,72,False
2017-02-17,67,False
2017-02-18,33,False
2017-02-19,23,False
2017-02-20,38,False
2017-02-21,43,False
2017-02-22,97,False
2017-02-23,88,False
2017-02-24,81,False
2017-02-25,27,False
2017-02-26,26,False
2017-02-27,61,False
2017-02-28,69,False
2017-03-01,64,False
2017-03-02,48,False
2017-03-03,62,False
2017-03-04,36,False
2017-03-05,19,False
2017-03-06,44,False
2017-03-07,71,False
2017-03-08,71,False
2017-03-09,48,False
2017-03-10,42,False
2017-03-11,10,False
2017-03-12,13,False
2017-03-13,37,False
2017-03-14,46,False
2017-03-15,51,False
2017-03-16,89,False
2017-03-17,48,False
2017-03-18,20,False
2017-03-19,29,False
2017-03-20,66,False
2017-03-21,86,False
2017-03-22,51,False
2017-03-23,72,False
2017-03-24,42,False
2017-03-25,17,False
2017-03-26,20,False
2017-03-27,52,False
2017-03-28,75,False
2017-03-29,87,False
2017-03-30,53,False
2017-03-31,66,False
2017-04-01,37,False
2017-04-02,3,False
2017-04-03,66,False
2017-04-04,48,False
2017-04-05,74,False
2017-04-06,67,False
2017-04-07,79,False
2017-04-08,34,False
2017-04-09,20,False
2017-04-10,49,False
2017-04-11,61,False
2017-04-12,66,False
2017-04-13,59,False
2017-04-14,46,False
2017-04-15,21,False
2017-04-16,3,False
2017-04-17,54,False
2017-04-18,77,False
2017-04-19,85,False
2017-04-20,49,False
2017-04-21,67,False
2017-04-22,33,False
2017-04-23,19,False
2017-04-24,57,False
2017-04-25,45,False
2017-04-26,57,False
2017-04-27,93,False
2017-04-28,54,False
2017-04-29,24,False
2017-04-30,27,False
2017-05-01,91,False
2017-05-02,75,False
2017-05-03,63,False
2017-05-04,70,False
2017-05-05,88,False
2017-05-06,27,False
2017-05-07,20,False
2017-05-08,49,False
2017-05-09,54,False
2017-05-10,67,False
2017-05-11,62,False
2017-05-12,58,False
2017-05-13,34,False
2017-05-14,20,False
2017-05-15,58,False
2017-05-16,37,False
2017-05-17,73,False
2017-05-18,52,False
2017-05-19,58,False
2017-05-20,15,False
2017-05-21,14,False
2017-05-22,59,False
2017-05-23,87,False
2017-05-24,65,False
2017-05-25,85,False
2017-05-26,70,False
2017-05-27,22,False
2017-05-28,18,False
2017-05-29,45,False
2017-05-30,70,False
2017-05-31,83,False
2017-06-01,62,False
2017-06-02,95,False
2017-06-03,32,False
2017-06-04,24,False
2017-06-05,72,False
2017-06-06,72,False
2017-06-07,54,False
2017-06-08,87,False
2017-06-09,64,False
2017-06-10,22,False
2017-06-11,29,False
2017-06-12,66,False
2017-06-13,81,False
2017-06-14,67,False
2017-06-15,57,False
2017-06-16,85,False
2017-06-17,19,False
2017-06-18,18,False
2017-06-19,68,False
2017-06-20,94,False
2017-06-21,59,False
2017-06-22,74,False
2017-06-23,96,False
2017-06-24,32,False
2017-06-25,18,False
2017-06-26,62,False
2017-06-27,76,False
2017-06-28,63,False
2017-06-29,63,False
2017-06-30,33,False
2017-07-01,29,False
2017-07-02,22,False
2017-07-03,41,False
2017-07-04,61,False
2017-07-05,54,False
2017-07-06,80,False
2017-07-07,39,False
2017-07-08,26,False
2017-07-09,55,False
2017-07-10,74,False
2017-07-11,75,False
2017-07-12,41,False
2017-07-13,47,False
2017-07-14,49,False
2017-07-15,29,False
2017-07-16,22,False
2017-07-17,56,False
2017-07-18,66,False
2017-07-19,57,False
2017-07-20,82,False
2017-07-21,65,False
2017-07-22,4,False
2017-07-23,35,False
2017-07-24,55,False
2017-07-25,68,False
2017-07-26,55,False
2017-07-27,56,False
2017-07-28,67,False
2017-07-29,29,False
2017-07-30,21,False
2017-07-31,64,False
2017-08-01,80,False
2017-08-02,72,False
2017-08-03,76,False
2017-08-04,88,False
2017-08-05,32,False
2017-08-06,28,False
2017-08-07,62,False
2017-08-08,70,False
2017-08-09,88,False
2017-08-10,71,False
2017-08-11,57,False
2017-08-12,38,False
2017-08-13,25,False
2017-08-14,58,False
2017-08-15,75,False
