date,SWKS stock
2016-05-04,29
2016-05-05,80
2016-05-06,51
2016-05-07,23
2016-05-08,0
2016-05-09,19
2016-05-10,28
2016-05-11,57
2016-05-12,10
2016-05-13,50
2016-05-14,22
2016-05-15,11
2016-05-16,48
2016-05-17,57
2016-05-18,9
2016-05-19,29
2016-05-20,50
2016-05-21,0
2016-05-22,0
2016-05-23,38
2016-05-24,38
2016-05-25,10
2016-05-26,40
2016-05-27,21
2016-05-28,11
2016-05-29,11
2016-05-30,0
2016-05-31,19
2016-06-01,20
2016-06-02,20
2016-06-03,31
2016-06-04,0
2016-06-05,0
2016-06-06,10
2016-06-07,20
2016-06-08,29
2016-06-09,10
2016-06-10,10
2016-06-11,0
2016-06-12,0
2016-06-13,39
2016-06-14,29
2016-06-15,19
2016-06-16,10
2016-06-17,10
2016-06-18,12
2016-06-19,0
2016-06-20,0
2016-06-21,0
2016-06-22,29
2016-06-23,10
2016-06-24,10
2016-06-25,0
2016-06-26,0
2016-06-27,49
2016-06-28,20
2016-06-29,30
2016-06-30,0
2016-07-01,21
2016-07-02,0
2016-07-03,0
2016-07-04,0
2016-07-05,31
2016-07-06,21
2016-07-07,21
2016-07-08,43
2016-07-09,0
2016-07-10,0
2016-07-11,61
2016-07-12,52
2016-07-13,31
2016-07-14,49
2016-07-15,42
2016-07-16,24
2016-07-17,12
2016-07-18,41
2016-07-19,10
2016-07-20,21
2016-07-21,73
2016-07-22,53
2016-07-23,0
2016-07-24,0
2016-07-25,10
2016-07-26,72
2016-07-27,20
2016-07-28,20
2016-07-29,22
2016-07-30,12
2016-07-31,0
2016-08-01,31
2016-08-02,41
2016-08-03,52
2016-08-04,42
2016-08-05,45
2016-08-06,0
2016-08-07,0
2016-08-08,11
2016-08-09,10
2016-08-10,32
2016-08-11,33
2016-08-12,45
2016-08-13,0
2016-08-14,0
2016-08-15,45
2016-08-16,22
2016-08-17,22
2016-08-18,22
2016-08-19,11
2016-08-20,0
2016-08-21,0
2016-08-22,11
2016-08-23,32
2016-08-24,21
2016-08-25,0
2016-08-26,43
2016-08-27,12
2016-08-28,12
2016-08-29,20
2016-08-30,50
2016-08-31,20
2016-09-01,20
2016-09-02,11
2016-09-03,0
2016-09-04,0
2016-09-05,0
2016-09-06,20
2016-09-07,20
2016-09-08,10
2016-09-09,11
2016-09-10,0
2016-09-11,0
2016-09-12,41
2016-09-13,40
2016-09-14,81
2016-09-15,100
2016-09-16,63
2016-09-17,11
2016-09-18,33
2016-09-19,20
2016-09-20,0
2016-09-21,0
2016-09-22,10
2016-09-23,31
2016-09-24,0
2016-09-25,11
2016-09-26,0
2016-09-27,39
2016-09-28,20
2016-09-29,0
2016-09-30,31
2016-10-01,11
2016-10-02,0
2016-10-03,19
2016-10-04,10
2016-10-05,39
2016-10-06,39
2016-10-07,20
2016-10-08,0
2016-10-09,0
2016-10-10,20
2016-10-11,0
2016-10-12,0
2016-10-13,29
2016-10-14,20
2016-10-15,0
2016-10-16,0
2016-10-17,38
2016-10-18,10
2016-10-19,58
2016-10-20,10
2016-10-21,10
2016-10-22,11
2016-10-23,0
2016-10-24,0
2016-10-25,58
2016-10-26,29
2016-10-27,69
2016-10-28,41
2016-10-29,0
2016-10-30,11
2016-10-31,10
2016-11-01,30
2016-11-02,29
2016-11-03,19
2016-11-04,20
2016-11-05,0
2016-11-06,22
2016-11-07,29
2016-11-08,19
2016-11-09,35
2016-11-10,20
2016-11-11,0
2016-11-12,0
2016-11-13,0
2016-11-14,29
2016-11-15,0
2016-11-16,10
2016-11-17,19
2016-11-18,10
2016-11-19,0
2016-11-20,0
2016-11-21,9
2016-11-22,29
2016-11-23,10
2016-11-24,0
2016-11-25,0
2016-11-26,0
2016-11-27,11
2016-11-28,0
2016-11-29,18
2016-11-30,46
2016-12-01,28
2016-12-02,19
2016-12-03,0
2016-12-04,10
2016-12-05,25
2016-12-06,9
2016-12-07,27
2016-12-08,19
2016-12-09,78
2016-12-10,0
2016-12-11,10
2016-12-12,18
2016-12-13,37
2016-12-14,9
2016-12-15,19
2016-12-16,20
2016-12-17,11
2016-12-18,0
2016-12-19,9
2016-12-20,19
2016-12-21,20
2016-12-22,30
2016-12-23,21
2016-12-24,0
2016-12-25,0
2016-12-26,11
2016-12-27,0
2016-12-28,10
2016-12-29,20
2016-12-30,32
2016-12-31,12
2017-01-01,0
2017-01-02,0
2017-01-03,19
2017-01-04,9
2017-01-05,38
2017-01-06,58
2017-01-07,0
2017-01-08,0
2017-01-09,18
2017-01-10,18
2017-01-11,9
2017-01-12,37
2017-01-13,28
2017-01-14,10
2017-01-15,0
2017-01-16,0
2017-01-17,27
2017-01-18,18
2017-01-19,82
