date,SWKS stock
2015-04-10,8
2015-04-11,10
2015-04-12,0
2015-04-13,8
2015-04-14,0
2015-04-15,32
2015-04-16,32
2015-04-17,8
2015-04-18,28
2015-04-19,18
2015-04-20,16
2015-04-21,32
2015-04-22,16
2015-04-23,40
2015-04-24,25
2015-04-25,19
2015-04-26,9
2015-04-27,39
2015-04-28,23
2015-04-29,23
2015-04-30,41
2015-05-01,9
2015-05-02,9
2015-05-03,9
2015-05-04,16
2015-05-05,47
2015-05-06,8
2015-05-07,32
2015-05-08,25
2015-05-09,0
2015-05-10,0
2015-05-11,8
2015-05-12,8
2015-05-13,24
2015-05-14,32
2015-05-15,25
2015-05-16,0
2015-05-17,0
2015-05-18,47
2015-05-19,23
2015-05-20,16
2015-05-21,24
2015-05-22,17
2015-05-23,0
2015-05-24,0
2015-05-25,8
2015-05-26,15
2015-05-27,31
2015-05-28,24
2015-05-29,58
2015-05-30,0
2015-05-31,19
2015-06-01,0
2015-06-02,24
2015-06-03,32
2015-06-04,17
2015-06-05,25
2015-06-06,0
2015-06-07,0
2015-06-08,23
2015-06-09,15
2015-06-10,8
2015-06-11,40
2015-06-12,16
2015-06-13,0
2015-06-14,0
2015-06-15,23
2015-06-16,8
2015-06-17,0
2015-06-18,32
2015-06-19,25
2015-06-20,9
2015-06-21,0
2015-06-22,16
2015-06-23,32
2015-06-24,39
2015-06-25,48
2015-06-26,50
2015-06-27,0
2015-06-28,0
2015-06-29,40
2015-06-30,39
2015-07-01,16
2015-07-02,0
2015-07-03,9
2015-07-04,0
2015-07-05,10
2015-07-06,31
2015-07-07,16
2015-07-08,39
2015-07-09,32
2015-07-10,25
2015-07-11,0
2015-07-12,0
2015-07-13,39
2015-07-14,0
2015-07-15,8
2015-07-16,16
2015-07-17,25
2015-07-18,61
2015-07-19,10
2015-07-20,0
2015-07-21,80
2015-07-22,72
2015-07-23,40
2015-07-24,100
2015-07-25,9
2015-07-26,0
2015-07-27,47
2015-07-28,16
2015-07-29,32
2015-07-30,79
2015-07-31,33
2015-08-01,9
2015-08-02,19
2015-08-03,32
2015-08-04,55
2015-08-05,40
2015-08-06,49
2015-08-07,0
2015-08-08,0
2015-08-09,0
2015-08-10,24
2015-08-11,70
2015-08-12,16
2015-08-13,32
2015-08-14,33
2015-08-15,0
2015-08-16,18
2015-08-17,24
2015-08-18,31
2015-08-19,32
2015-08-20,71
2015-08-21,41
2015-08-22,0
2015-08-23,9
2015-08-24,60
2015-08-25,30
2015-08-26,31
2015-08-27,31
2015-08-28,32
2015-08-29,0
2015-08-30,9
2015-08-31,23
2015-09-01,8
2015-09-02,23
2015-09-03,16
2015-09-04,24
2015-09-05,0
2015-09-06,9
2015-09-07,0
2015-09-08,15
2015-09-09,52
2015-09-10,38
2015-09-11,8
2015-09-12,0
2015-09-13,0
2015-09-14,7
2015-09-15,8
2015-09-16,30
2015-09-17,37
2015-09-18,8
2015-09-19,18
2015-09-20,0
2015-09-21,7
2015-09-22,22
2015-09-23,0
2015-09-24,31
2015-09-25,32
2015-09-26,9
2015-09-27,0
2015-09-28,15
2015-09-29,22
2015-09-30,7
2015-10-01,15
2015-10-02,0
2015-10-03,0
2015-10-04,0
2015-10-05,22
2015-10-06,22
2015-10-07,37
2015-10-08,30
2015-10-09,69
2015-10-10,9
2015-10-11,0
2015-10-12,31
2015-10-13,29
2015-10-14,37
2015-10-15,7
2015-10-16,8
2015-10-17,9
2015-10-18,0
2015-10-19,0
2015-10-20,7
2015-10-21,29
2015-10-22,30
2015-10-23,8
2015-10-24,0
2015-10-25,0
2015-10-26,57
2015-10-27,22
2015-10-28,7
2015-10-29,44
2015-10-30,55
2015-10-31,9
2015-11-01,9
2015-11-02,52
2015-11-03,15
2015-11-04,36
2015-11-05,44
2015-11-06,46
2015-11-07,17
2015-11-08,0
2015-11-09,15
2015-11-10,36
2015-11-11,22
2015-11-12,23
2015-11-13,8
2015-11-14,0
2015-11-15,0
2015-11-16,0
2015-11-17,66
2015-11-18,15
2015-11-19,7
2015-11-20,15
2015-11-21,0
2015-11-22,0
2015-11-23,29
2015-11-24,14
2015-11-25,15
2015-11-26,0
2015-11-27,23
2015-11-28,0
2015-11-29,0
2015-11-30,0
2015-12-01,22
2015-12-02,7
2015-12-03,22
2015-12-04,15
2015-12-05,9
2015-12-06,17
2015-12-07,7
2015-12-08,37
2015-12-09,15
2015-12-10,15
2015-12-11,23
2015-12-12,0
2015-12-13,0
2015-12-14,22
2015-12-15,23
2015-12-16,38
2015-12-17,15
2015-12-18,8
2015-12-19,9
2015-12-20,0
2015-12-21,8
2015-12-22,16
2015-12-23,25
2015-12-24,0
2015-12-25,0
2015-12-26,0
