date,SWKS stock
2015-12-26,0
2015-12-27,12
2015-12-28,0
2015-12-29,31
2015-12-30,21
2015-12-31,11
2016-01-01,25
2016-01-02,0
2016-01-03,0
2016-01-04,20
2016-01-05,60
2016-01-06,50
2016-01-07,20
2016-01-08,51
2016-01-09,33
2016-01-10,11
2016-01-11,39
2016-01-12,39
2016-01-13,39
2016-01-14,38
2016-01-15,31
2016-01-16,11
2016-01-17,11
2016-01-18,0
2016-01-19,29
2016-01-20,49
2016-01-21,100
2016-01-22,41
2016-01-23,22
2016-01-24,0
2016-01-25,19
2016-01-26,29
2016-01-27,49
2016-01-28,49
2016-01-29,61
2016-01-30,0
2016-01-31,11
2016-02-01,19
2016-02-02,68
2016-02-03,19
2016-02-04,20
2016-02-05,41
2016-02-06,11
2016-02-07,0
2016-02-08,30
2016-02-09,20
2016-02-10,96
2016-02-11,20
2016-02-12,20
2016-02-13,11
2016-02-14,0
2016-02-15,0
2016-02-16,29
2016-02-17,29
2016-02-18,29
2016-02-19,20
2016-02-20,0
2016-02-21,11
2016-02-22,19
2016-02-23,19
2016-02-24,39
2016-02-25,39
2016-02-26,20
2016-02-27,0
2016-02-28,0
2016-02-29,19
2016-03-01,47
2016-03-02,38
2016-03-03,19
2016-03-04,40
2016-03-05,0
2016-03-06,0
2016-03-07,57
2016-03-08,10
2016-03-09,48
2016-03-10,39
2016-03-11,10
2016-03-12,0
2016-03-13,0
2016-03-14,19
2016-03-15,38
2016-03-16,10
2016-03-17,39
2016-03-18,30
2016-03-19,11
2016-03-20,0
2016-03-21,39
2016-03-22,78
2016-03-23,20
2016-03-24,31
2016-03-25,21
2016-03-26,0
2016-03-27,12
2016-03-28,51
2016-03-29,10
2016-03-30,39
2016-03-31,20
2016-04-01,30
2016-04-02,0
2016-04-03,11
2016-04-04,38
2016-04-05,10
2016-04-06,19
2016-04-07,20
2016-04-08,10
2016-04-09,11
2016-04-10,11
2016-04-11,29
2016-04-12,48
2016-04-13,48
2016-04-14,20
2016-04-15,10
2016-04-16,0
2016-04-17,0
2016-04-18,29
2016-04-19,19
2016-04-20,39
2016-04-21,39
2016-04-22,40
2016-04-23,11
2016-04-24,0
2016-04-25,19
2016-04-26,66
2016-04-27,19
2016-04-28,39
2016-04-29,81
2016-04-30,0
2016-05-01,0
2016-05-02,10
2016-05-03,19
2016-05-04,20
2016-05-05,30
2016-05-06,10
2016-05-07,0
2016-05-08,0
2016-05-09,49
2016-05-10,39
2016-05-11,58
2016-05-12,29
2016-05-13,10
2016-05-14,23
2016-05-15,0
2016-05-16,29
2016-05-17,10
2016-05-18,19
2016-05-19,39
2016-05-20,10
2016-05-21,0
2016-05-22,0
2016-05-23,19
2016-05-24,29
2016-05-25,20
2016-05-26,31
2016-05-27,10
2016-05-28,23
2016-05-29,0
2016-05-30,0
2016-05-31,29
2016-06-01,20
2016-06-02,40
2016-06-03,51
2016-06-04,0
2016-06-05,11
2016-06-06,20
2016-06-07,10
2016-06-08,20
2016-06-09,10
2016-06-10,10
2016-06-11,11
2016-06-12,0
2016-06-13,10
2016-06-14,10
2016-06-15,19
2016-06-16,29
2016-06-17,10
2016-06-18,0
2016-06-19,12
2016-06-20,49
2016-06-21,49
2016-06-22,29
2016-06-23,20
2016-06-24,52
2016-06-25,0
2016-06-26,12
2016-06-27,39
2016-06-28,29
2016-06-29,40
2016-06-30,30
2016-07-01,32
2016-07-02,12
2016-07-03,0
2016-07-04,0
2016-07-05,10
2016-07-06,11
2016-07-07,32
2016-07-08,0
2016-07-09,0
2016-07-10,0
2016-07-11,0
2016-07-12,51
2016-07-13,31
2016-07-14,0
2016-07-15,21
2016-07-16,24
2016-07-17,12
2016-07-18,10
2016-07-19,10
2016-07-20,31
2016-07-21,74
2016-07-22,53
2016-07-23,12
2016-07-24,0
2016-07-25,21
2016-07-26,41
2016-07-27,52
2016-07-28,42
2016-07-29,65
2016-07-30,0
2016-07-31,12
2016-08-01,0
2016-08-02,21
2016-08-03,31
2016-08-04,32
2016-08-05,45
2016-08-06,0
2016-08-07,0
2016-08-08,43
2016-08-09,53
2016-08-10,22
2016-08-11,33
2016-08-12,11
2016-08-13,37
2016-08-14,0
2016-08-15,46
2016-08-16,44
2016-08-17,22
2016-08-18,33
2016-08-19,11
2016-08-20,0
2016-08-21,0
2016-08-22,43
2016-08-23,21
2016-08-24,21
2016-08-25,21
2016-08-26,22
2016-08-27,24
2016-08-28,0
2016-08-29,10
2016-08-30,80
2016-08-31,20
2016-09-01,10
2016-09-02,21
2016-09-03,0
2016-09-04,0
2016-09-05,0
2016-09-06,50
2016-09-07,0
2016-09-08,31
2016-09-09,42
2016-09-10,0
2016-09-11,0
