date,SWKS stock
2017-01-19,27
2017-01-20,68
2017-01-21,15
2017-01-22,0
2017-01-23,20
2017-01-24,100
2017-01-25,33
2017-01-26,53
2017-01-27,28
2017-01-28,16
2017-01-29,8
2017-01-30,26
2017-01-31,47
2017-02-01,45
2017-02-02,40
2017-02-03,14
2017-02-04,8
2017-02-05,0
2017-02-06,46
2017-02-07,33
2017-02-08,33
2017-02-09,13
2017-02-10,48
2017-02-11,8
2017-02-12,7
2017-02-13,32
2017-02-14,13
2017-02-15,13
2017-02-16,26
2017-02-17,33
2017-02-18,8
2017-02-19,0
2017-02-20,33
2017-02-21,33
2017-02-22,13
2017-02-23,33
2017-02-24,34
2017-02-25,0
2017-02-26,0
2017-02-27,19
2017-02-28,33
2017-03-01,38
2017-03-02,25
2017-03-03,20
2017-03-04,7
2017-03-05,0
2017-03-06,31
2017-03-07,19
2017-03-08,26
2017-03-09,6
2017-03-10,41
2017-03-11,0
2017-03-12,7
2017-03-13,12
2017-03-14,26
2017-03-15,46
2017-03-16,46
2017-03-17,28
2017-03-18,15
2017-03-19,0
2017-03-20,7
2017-03-21,26
2017-03-22,19
2017-03-23,46
2017-03-24,27
2017-03-25,0
2017-03-26,0
2017-03-27,52
2017-03-28,33
2017-03-29,13
2017-03-30,0
2017-03-31,7
2017-04-01,0
2017-04-02,0
2017-04-03,0
2017-04-04,26
2017-04-05,39
2017-04-06,20
2017-04-07,14
2017-04-08,8
2017-04-09,0
2017-04-10,46
2017-04-11,20
2017-04-12,20
2017-04-13,35
2017-04-14,15
2017-04-15,0
2017-04-16,8
2017-04-17,14
2017-04-18,13
2017-04-19,26
2017-04-20,13
2017-04-21,48
2017-04-22,8
2017-04-23,0
2017-04-24,26
2017-04-25,19
2017-04-26,19
2017-04-27,52
2017-04-28,75
2017-04-29,0
2017-04-30,0
2017-05-01,28
2017-05-02,13
2017-05-03,13
2017-05-04,33
2017-05-05,14
2017-05-06,8
2017-05-07,0
2017-05-08,20
2017-05-09,32
2017-05-10,33
2017-05-11,27
2017-05-12,35
2017-05-13,15
2017-05-14,8
2017-05-15,35
2017-05-16,14
2017-05-17,35
2017-05-18,28
2017-05-19,7
2017-05-20,0
2017-05-21,0
2017-05-22,7
2017-05-23,27
2017-05-24,14
2017-05-25,7
2017-05-26,30
2017-05-27,0
2017-05-28,0
2017-05-29,7
2017-05-30,14
2017-05-31,0
2017-06-01,35
2017-06-02,22
2017-06-03,0
2017-06-04,0
2017-06-05,14
2017-06-06,41
2017-06-07,14
2017-06-08,7
2017-06-09,43
2017-06-10,17
2017-06-11,8
2017-06-12,21
2017-06-13,34
2017-06-14,21
2017-06-15,21
2017-06-16,7
2017-06-17,8
2017-06-18,0
2017-06-19,21
2017-06-20,13
2017-06-21,13
2017-06-22,20
2017-06-23,28
2017-06-24,0
2017-06-25,8
2017-06-26,28
2017-06-27,14
2017-06-28,7
2017-06-29,14
2017-06-30,22
2017-07-01,8
2017-07-02,0
2017-07-03,15
2017-07-04,7
2017-07-05,22
2017-07-06,15
2017-07-07,15
2017-07-08,8
2017-07-09,8
2017-07-10,28
2017-07-11,21
2017-07-12,50
2017-07-13,7
2017-07-14,29
2017-07-15,0
2017-07-16,0
2017-07-17,43
2017-07-18,29
2017-07-19,36
2017-07-20,64
2017-07-21,59
2017-07-22,16
2017-07-23,0
2017-07-24,28
2017-07-25,21
2017-07-26,7
2017-07-27,49
2017-07-28,37
2017-07-29,8
2017-07-30,8
2017-07-31,21
2017-08-01,27
2017-08-02,39
2017-08-03,28
2017-08-04,21
2017-08-05,0
2017-08-06,16
2017-08-07,13
2017-08-08,13
2017-08-09,20
2017-08-10,14
2017-08-11,7
2017-08-12,8
2017-08-13,0
2017-08-14,28
2017-08-15,14
2017-08-16,48
2017-08-17,21
2017-08-18,28
2017-08-19,0
2017-08-20,0
2017-08-21,34
2017-08-22,21
2017-08-23,41
2017-08-24,28
2017-08-25,7
2017-08-26,0
2017-08-27,8
2017-08-28,14
2017-08-29,7
2017-08-30,14
2017-08-31,7
2017-09-01,22
2017-09-02,8
2017-09-03,0
2017-09-04,0
2017-09-05,7
2017-09-06,40
2017-09-07,27
2017-09-08,14
2017-09-09,0
2017-09-10,8
2017-09-11,40
2017-09-12,40
2017-09-13,20
2017-09-14,7
2017-09-15,0
2017-09-16,23
2017-09-17,0
2017-09-18,40
2017-09-19,20
2017-09-20,20
2017-09-21,14
2017-09-22,14
2017-09-23,0
2017-09-24,0
2017-09-25,20
2017-09-26,27
2017-09-27,33
2017-09-28,13
2017-09-29,0
2017-09-30,0
2017-10-01,8
2017-10-02,40
2017-10-03,0
2017-10-04,13
2017-10-05,7
2017-10-06,27
