date,SBUX stock
2016-05-04,28
2016-05-05,60
2016-05-06,18
2016-05-07,0
2016-05-08,12
2016-05-09,42
2016-05-10,34
2016-05-11,34
2016-05-12,27
2016-05-13,57
2016-05-14,27
2016-05-15,12
2016-05-16,24
2016-05-17,51
2016-05-18,30
2016-05-19,27
2016-05-20,53
2016-05-21,0
2016-05-22,8
2016-05-23,64
2016-05-24,27
2016-05-25,31
2016-05-26,65
2016-05-27,48
2016-05-28,12
2016-05-29,4
2016-05-30,32
2016-05-31,17
2016-06-01,28
2016-06-02,45
2016-06-03,18
2016-06-04,8
2016-06-05,12
2016-06-06,37
2016-06-07,42
2016-06-08,56
2016-06-09,25
2016-06-10,29
2016-06-11,16
2016-06-12,0
2016-06-13,48
2016-06-14,68
2016-06-15,24
2016-06-16,51
2016-06-17,33
2016-06-18,8
2016-06-19,4
2016-06-20,31
2016-06-21,21
2016-06-22,45
2016-06-23,32
2016-06-24,66
2016-06-25,12
2016-06-26,0
2016-06-27,35
2016-06-28,56
2016-06-29,28
2016-06-30,65
2016-07-01,44
2016-07-02,13
2016-07-03,0
2016-07-04,15
2016-07-05,37
2016-07-06,30
2016-07-07,22
2016-07-08,34
2016-07-09,21
2016-07-10,4
2016-07-11,29
2016-07-12,48
2016-07-13,55
2016-07-14,70
2016-07-15,60
2016-07-16,4
2016-07-17,0
2016-07-18,18
2016-07-19,40
2016-07-20,33
2016-07-21,100
2016-07-22,64
2016-07-23,9
2016-07-24,4
2016-07-25,29
2016-07-26,33
2016-07-27,29
2016-07-28,25
2016-07-29,50
2016-07-30,13
2016-07-31,4
2016-08-01,40
2016-08-02,32
2016-08-03,37
2016-08-04,41
2016-08-05,28
2016-08-06,9
2016-08-07,18
2016-08-08,26
2016-08-09,26
2016-08-10,34
2016-08-11,27
2016-08-12,36
2016-08-13,9
2016-08-14,4
2016-08-15,28
2016-08-16,31
2016-08-17,19
2016-08-18,20
2016-08-19,44
2016-08-20,9
2016-08-21,9
2016-08-22,15
2016-08-23,26
2016-08-24,41
2016-08-25,11
2016-08-26,42
2016-08-27,13
2016-08-28,0
2016-08-29,53
2016-08-30,39
2016-08-31,21
2016-09-01,47
2016-09-02,30
2016-09-03,4
2016-09-04,0
2016-09-05,0
2016-09-06,46
2016-09-07,43
2016-09-08,40
2016-09-09,26
2016-09-10,17
2016-09-11,21
2016-09-12,22
2016-09-13,35
2016-09-14,18
2016-09-15,39
2016-09-16,37
2016-09-17,12
2016-09-18,4
2016-09-19,28
2016-09-20,28
2016-09-21,31
2016-09-22,25
2016-09-23,30
2016-09-24,4
2016-09-25,0
2016-09-26,21
2016-09-27,35
2016-09-28,35
2016-09-29,32
2016-09-30,33
2016-10-01,16
2016-10-02,15
2016-10-03,17
2016-10-04,24
2016-10-05,35
2016-10-06,24
2016-10-07,32
2016-10-08,12
2016-10-09,8
2016-10-10,24
2016-10-11,32
2016-10-12,25
2016-10-13,14
2016-10-14,22
2016-10-15,8
2016-10-16,8
2016-10-17,24
2016-10-18,31
2016-10-19,27
2016-10-20,38
2016-10-21,32
2016-10-22,8
2016-10-23,4
2016-10-24,34
2016-10-25,31
2016-10-26,24
2016-10-27,35
2016-10-28,29
2016-10-29,16
2016-10-30,16
2016-10-31,32
2016-11-01,35
2016-11-02,35
2016-11-03,69
2016-11-04,86
2016-11-05,32
2016-11-06,4
2016-11-07,17
2016-11-08,44
2016-11-09,59
2016-11-10,31
2016-11-11,47
2016-11-12,0
2016-11-13,8
2016-11-14,10
2016-11-15,34
2016-11-16,38
2016-11-17,41
2016-11-18,29
2016-11-19,24
2016-11-20,11
2016-11-21,34
2016-11-22,41
2016-11-23,27
2016-11-24,4
2016-11-25,11
2016-11-26,4
2016-11-27,4
2016-11-28,35
2016-11-29,29
2016-11-30,39
2016-12-01,77
2016-12-02,79
2016-12-03,15
2016-12-04,14
2016-12-05,39
2016-12-06,29
2016-12-07,81
2016-12-08,61
2016-12-09,45
2016-12-10,19
2016-12-11,11
2016-12-12,54
2016-12-13,39
2016-12-14,29
2016-12-15,37
2016-12-16,32
2016-12-17,8
2016-12-18,0
2016-12-19,44
2016-12-20,27
2016-12-21,29
2016-12-22,40
2016-12-23,19
2016-12-24,4
2016-12-25,4
2016-12-26,7
2016-12-27,24
2016-12-28,39
2016-12-29,21
2016-12-30,41
2016-12-31,8
2017-01-01,4
2017-01-02,11
2017-01-03,40
2017-01-04,20
2017-01-05,47
2017-01-06,24
2017-01-07,19
2017-01-08,7
2017-01-09,32
2017-01-10,32
2017-01-11,42
2017-01-12,36
2017-01-13,17
2017-01-14,4
2017-01-15,0
2017-01-16,13
2017-01-17,19
2017-01-18,22
2017-01-19,35
