date,SBUX stock
2015-12-26,10
2015-12-27,5
2015-12-28,21
2015-12-29,32
2015-12-30,20
2015-12-31,11
2016-01-01,10
2016-01-02,3
2016-01-03,6
2016-01-04,33
2016-01-05,32
2016-01-06,29
2016-01-07,45
2016-01-08,41
2016-01-09,5
2016-01-10,7
2016-01-11,33
2016-01-12,24
2016-01-13,43
2016-01-14,45
2016-01-15,42
2016-01-16,22
2016-01-17,9
2016-01-18,8
2016-01-19,35
2016-01-20,62
2016-01-21,100
2016-01-22,90
2016-01-23,15
2016-01-24,8
2016-01-25,39
2016-01-26,37
2016-01-27,45
2016-01-28,47
2016-01-29,53
2016-01-30,11
2016-01-31,6
2016-02-01,43
2016-02-02,38
2016-02-03,39
2016-02-04,39
2016-02-05,39
2016-02-06,27
2016-02-07,8
2016-02-08,36
2016-02-09,43
2016-02-10,37
2016-02-11,40
2016-02-12,43
2016-02-13,12
2016-02-14,6
2016-02-15,8
2016-02-16,37
2016-02-17,32
2016-02-18,38
2016-02-19,24
2016-02-20,12
2016-02-21,9
2016-02-22,46
2016-02-23,29
2016-02-24,30
2016-02-25,38
2016-02-26,36
2016-02-27,14
2016-02-28,4
2016-02-29,22
2016-03-01,31
2016-03-02,39
2016-03-03,21
2016-03-04,34
2016-03-05,9
2016-03-06,4
2016-03-07,14
2016-03-08,28
2016-03-09,26
2016-03-10,24
2016-03-11,29
2016-03-12,6
2016-03-13,3
2016-03-14,22
2016-03-15,20
2016-03-16,38
2016-03-17,38
2016-03-18,32
2016-03-19,6
2016-03-20,9
2016-03-21,28
2016-03-22,24
2016-03-23,27
2016-03-24,23
2016-03-25,10
2016-03-26,5
2016-03-27,6
2016-03-28,19
2016-03-29,33
2016-03-30,41
2016-03-31,28
2016-04-01,30
2016-04-02,9
2016-04-03,5
2016-04-04,21
2016-04-05,20
2016-04-06,33
2016-04-07,24
2016-04-08,31
2016-04-09,6
2016-04-10,9
2016-04-11,25
2016-04-12,30
2016-04-13,27
2016-04-14,26
2016-04-15,26
2016-04-16,9
2016-04-17,6
2016-04-18,18
2016-04-19,33
2016-04-20,39
2016-04-21,72
2016-04-22,79
2016-04-23,17
2016-04-24,7
2016-04-25,30
2016-04-26,47
2016-04-27,38
2016-04-28,42
2016-04-29,28
2016-04-30,6
2016-05-01,9
2016-05-02,23
2016-05-03,33
2016-05-04,22
2016-05-05,39
2016-05-06,23
2016-05-07,6
2016-05-08,5
2016-05-09,35
2016-05-10,40
2016-05-11,22
2016-05-12,29
2016-05-13,40
2016-05-14,11
2016-05-15,8
2016-05-16,29
2016-05-17,43
2016-05-18,38
2016-05-19,23
2016-05-20,43
2016-05-21,3
2016-05-22,9
2016-05-23,22
2016-05-24,36
2016-05-25,24
2016-05-26,38
2016-05-27,30
2016-05-28,13
2016-05-29,6
2016-05-30,8
2016-05-31,27
2016-06-01,34
2016-06-02,41
2016-06-03,24
2016-06-04,8
2016-06-05,11
2016-06-06,32
2016-06-07,26
2016-06-08,24
2016-06-09,21
2016-06-10,30
2016-06-11,3
2016-06-12,6
2016-06-13,28
2016-06-14,32
2016-06-15,30
2016-06-16,24
2016-06-17,17
2016-06-18,11
2016-06-19,6
2016-06-20,21
2016-06-21,16
2016-06-22,26
2016-06-23,25
2016-06-24,37
2016-06-25,5
2016-06-26,3
2016-06-27,31
2016-06-28,30
2016-06-29,26
2016-06-30,38
2016-07-01,30
2016-07-02,8
2016-07-03,7
2016-07-04,9
2016-07-05,24
2016-07-06,26
2016-07-07,27
2016-07-08,38
2016-07-09,12
2016-07-10,5
2016-07-11,24
2016-07-12,31
2016-07-13,26
2016-07-14,49
2016-07-15,25
2016-07-16,7
2016-07-17,3
2016-07-18,21
2016-07-19,26
2016-07-20,23
2016-07-21,68
2016-07-22,55
2016-07-23,7
2016-07-24,8
2016-07-25,37
2016-07-26,43
2016-07-27,30
2016-07-28,21
2016-07-29,25
2016-07-30,10
2016-07-31,8
2016-08-01,27
2016-08-02,21
2016-08-03,26
2016-08-04,31
2016-08-05,25
2016-08-06,5
2016-08-07,7
2016-08-08,20
2016-08-09,20
2016-08-10,19
2016-08-11,21
2016-08-12,20
2016-08-13,9
2016-08-14,0
2016-08-15,14
2016-08-16,15
2016-08-17,13
2016-08-18,18
2016-08-19,14
2016-08-20,5
2016-08-21,3
2016-08-22,19
2016-08-23,22
2016-08-24,35
2016-08-25,18
2016-08-26,19
2016-08-27,8
2016-08-28,3
2016-08-29,22
2016-08-30,25
2016-08-31,18
2016-09-01,28
2016-09-02,22
2016-09-03,13
2016-09-04,6
2016-09-05,3
2016-09-06,29
2016-09-07,35
2016-09-08,27
2016-09-09,26
2016-09-10,10
2016-09-11,6
