date,SBUX stock
2017-05-29,13
2017-05-30,9
2017-05-31,31
2017-06-01,27
2017-06-02,33
2017-06-03,8
2017-06-04,3
2017-06-05,24
2017-06-06,14
2017-06-07,9
2017-06-08,16
2017-06-09,25
2017-06-10,3
2017-06-11,8
2017-06-12,9
2017-06-13,23
2017-06-14,17
2017-06-15,27
2017-06-16,17
2017-06-17,12
2017-06-18,3
2017-06-19,24
2017-06-20,28
2017-06-21,23
2017-06-22,28
2017-06-23,22
2017-06-24,6
2017-06-25,6
2017-06-26,25
2017-06-27,37
2017-06-28,12
2017-06-29,25
2017-06-30,25
2017-07-01,6
2017-07-02,9
2017-07-03,15
2017-07-04,5
2017-07-05,25
2017-07-06,30
2017-07-07,46
2017-07-08,3
2017-07-09,0
2017-07-10,17
2017-07-11,22
2017-07-12,7
2017-07-13,17
2017-07-14,23
2017-07-15,11
2017-07-16,3
2017-07-17,29
2017-07-18,37
2017-07-19,26
2017-07-20,34
2017-07-21,18
2017-07-22,0
2017-07-23,0
2017-07-24,17
2017-07-25,19
2017-07-26,21
2017-07-27,60
2017-07-28,100
2017-07-29,31
2017-07-30,17
2017-07-31,77
2017-08-01,51
2017-08-02,54
2017-08-03,33
2017-08-04,37
2017-08-05,6
2017-08-06,5
2017-08-07,18
2017-08-08,27
2017-08-09,51
2017-08-10,46
2017-08-11,22
2017-08-12,5
2017-08-13,8
2017-08-14,14
2017-08-15,27
2017-08-16,24
2017-08-17,26
2017-08-18,22
2017-08-19,11
2017-08-20,3
2017-08-21,14
2017-08-22,21
2017-08-23,16
2017-08-24,24
2017-08-25,33
2017-08-26,19
2017-08-27,0
2017-08-28,12
2017-08-29,25
2017-08-30,26
2017-08-31,21
2017-09-01,12
2017-09-02,6
2017-09-03,11
2017-09-04,2
2017-09-05,18
2017-09-06,27
2017-09-07,31
2017-09-08,29
2017-09-09,8
2017-09-10,10
2017-09-11,18
2017-09-12,14
2017-09-13,11
2017-09-14,35
2017-09-15,19
2017-09-16,8
2017-09-17,3
2017-09-18,23
2017-09-19,23
2017-09-20,23
2017-09-21,16
2017-09-22,29
2017-09-23,3
2017-09-24,5
2017-09-25,11
2017-09-26,18
2017-09-27,16
2017-09-28,9
2017-09-29,36
2017-09-30,0
2017-10-01,0
2017-10-02,18
2017-10-03,25
2017-10-04,27
2017-10-05,37
2017-10-06,21
2017-10-07,8
2017-10-08,8
2017-10-09,23
2017-10-10,25
2017-10-11,23
2017-10-12,16
2017-10-13,9
2017-10-14,3
2017-10-15,5
2017-10-16,21
2017-10-17,27
2017-10-18,30
2017-10-19,28
2017-10-20,19
2017-10-21,5
2017-10-22,3
2017-10-23,20
2017-10-24,18
2017-10-25,18
2017-10-26,18
2017-10-27,43
2017-10-28,5
2017-10-29,0
2017-10-30,16
2017-10-31,23
2017-11-01,25
2017-11-02,73
2017-11-03,74
2017-11-04,13
2017-11-05,5
2017-11-06,38
2017-11-07,24
2017-11-08,38
2017-11-09,18
2017-11-10,30
2017-11-11,0
2017-11-12,5
2017-11-13,22
2017-11-14,13
2017-11-15,35
2017-11-16,31
2017-11-17,16
2017-11-18,3
2017-11-19,5
2017-11-20,20
2017-11-21,24
2017-11-22,24
2017-11-23,11
2017-11-24,9
2017-11-25,8
2017-11-26,8
2017-11-27,22
2017-11-28,32
2017-11-29,29
2017-11-30,36
2017-12-01,16
2017-12-02,10
2017-12-03,3
2017-12-04,17
2017-12-05,39
2017-12-06,40
2017-12-07,11
2017-12-08,21
2017-12-09,15
2017-12-10,2
2017-12-11,17
2017-12-12,28
2017-12-13,26
2017-12-14,45
2017-12-15,40
2017-12-16,8
2017-12-17,3
2017-12-18,25
2017-12-19,16
2017-12-20,30
2017-12-21,19
2017-12-22,23
2017-12-23,0
2017-12-24,0
2017-12-25,0
2017-12-26,20
2017-12-27,27
2017-12-28,29
2017-12-29,25
2017-12-30,13
2017-12-31,0
2018-01-01,5
2018-01-02,23
2018-01-03,22
2018-01-04,22
2018-01-05,48
2018-01-06,15
2018-01-07,2
2018-01-08,24
2018-01-09,39
2018-01-10,20
2018-01-11,31
2018-01-12,20
2018-01-13,10
2018-01-14,5
2018-01-15,11
2018-01-16,17
2018-01-17,36
2018-01-18,26
2018-01-19,41
2018-01-20,7
2018-01-21,10
2018-01-22,21
2018-01-23,19
2018-01-24,51
2018-01-25,52
2018-01-26,76
2018-01-27,12
2018-01-28,17
2018-01-29,36
2018-01-30,42
2018-01-31,30
2018-02-01,30
2018-02-02,42
2018-02-03,15
2018-02-04,2
2018-02-05,28
2018-02-06,53
2018-02-07,28
2018-02-08,28
2018-02-09,33
2018-02-10,7
2018-02-11,2
2018-02-12,28
2018-02-13,22
