date,TSLA stock
2015-04-10,33
2015-04-11,11
2015-04-12,5
2015-04-13,25
2015-04-14,30
2015-04-15,20
2015-04-16,28
2015-04-17,23
2015-04-18,7
2015-04-19,2
2015-04-20,32
2015-04-21,29
2015-04-22,32
2015-04-23,25
2015-04-24,23
2015-04-25,10
2015-04-26,3
2015-04-27,32
2015-04-28,51
2015-04-29,17
2015-04-30,41
2015-05-01,87
2015-05-02,33
2015-05-03,14
2015-05-04,44
2015-05-05,51
2015-05-06,44
2015-05-07,53
2015-05-08,56
2015-05-09,21
2015-05-10,7
2015-05-11,29
2015-05-12,45
2015-05-13,26
2015-05-14,42
2015-05-15,33
2015-05-16,21
2015-05-17,10
2015-05-18,30
2015-05-19,27
2015-05-20,36
2015-05-21,30
2015-05-22,15
2015-05-23,19
2015-05-24,2
2015-05-25,5
2015-05-26,27
2015-05-27,20
2015-05-28,25
2015-05-29,27
2015-05-30,2
2015-05-31,9
2015-06-01,27
2015-06-02,23
2015-06-03,20
2015-06-04,24
2015-06-05,16
2015-06-06,9
2015-06-07,4
2015-06-08,31
2015-06-09,34
2015-06-10,39
2015-06-11,32
2015-06-12,17
2015-06-13,4
2015-06-14,3
2015-06-15,29
2015-06-16,29
2015-06-17,20
2015-06-18,45
2015-06-19,19
2015-06-20,14
2015-06-21,5
2015-06-22,25
2015-06-23,29
2015-06-24,20
2015-06-25,16
2015-06-26,26
2015-06-27,4
2015-06-28,5
2015-06-29,24
2015-06-30,16
2015-07-01,18
2015-07-02,33
2015-07-03,17
2015-07-04,9
2015-07-05,5
2015-07-06,33
2015-07-07,27
2015-07-08,48
2015-07-09,31
2015-07-10,26
2015-07-11,5
2015-07-12,5
2015-07-13,19
2015-07-14,23
2015-07-15,22
2015-07-16,19
2015-07-17,28
2015-07-18,23
2015-07-19,11
2015-07-20,42
2015-07-21,29
2015-07-22,28
2015-07-23,32
2015-07-24,34
2015-07-25,12
2015-07-26,7
2015-07-27,22
2015-07-28,19
2015-07-29,19
2015-07-30,34
2015-07-31,42
2015-08-01,9
2015-08-02,9
2015-08-03,19
2015-08-04,36
2015-08-05,53
2015-08-06,73
2015-08-07,27
2015-08-08,12
2015-08-09,5
2015-08-10,33
2015-08-11,36
2015-08-12,22
2015-08-13,33
2015-08-14,36
2015-08-15,9
2015-08-16,5
2015-08-17,32
2015-08-18,42
2015-08-19,29
2015-08-20,49
2015-08-21,47
2015-08-22,16
2015-08-23,3
2015-08-24,77
2015-08-25,35
2015-08-26,44
2015-08-27,54
2015-08-28,49
2015-08-29,8
2015-08-30,7
2015-08-31,28
2015-09-01,36
2015-09-02,34
2015-09-03,41
2015-09-04,43
2015-09-05,8
2015-09-06,3
2015-09-07,13
2015-09-08,35
2015-09-09,22
2015-09-10,34
2015-09-11,30
2015-09-12,5
2015-09-13,11
2015-09-14,26
2015-09-15,15
2015-09-16,21
2015-09-17,21
2015-09-18,30
2015-09-19,2
2015-09-20,3
2015-09-21,24
2015-09-22,33
2015-09-23,19
2015-09-24,21
2015-09-25,32
2015-09-26,5
2015-09-27,0
2015-09-28,27
2015-09-29,31
2015-09-30,32
2015-10-01,36
2015-10-02,20
2015-10-03,11
2015-10-04,5
2015-10-05,20
2015-10-06,38
2015-10-07,21
2015-10-08,29
2015-10-09,36
2015-10-10,10
2015-10-11,3
2015-10-12,20
2015-10-13,26
2015-10-14,22
2015-10-15,29
2015-10-16,38
2015-10-17,8
2015-10-18,6
2015-10-19,13
2015-10-20,51
2015-10-21,47
2015-10-22,29
2015-10-23,37
2015-10-24,11
2015-10-25,6
2015-10-26,22
2015-10-27,35
2015-10-28,29
2015-10-29,34
2015-10-30,29
2015-10-31,8
2015-11-01,11
2015-11-02,29
2015-11-03,50
2015-11-04,100
2015-11-05,39
2015-11-06,40
2015-11-07,13
2015-11-08,3
2015-11-09,20
2015-11-10,28
2015-11-11,14
2015-11-12,25
2015-11-13,23
2015-11-14,8
2015-11-15,5
2015-11-16,25
2015-11-17,15
2015-11-18,8
2015-11-19,19
2015-11-20,21
2015-11-21,12
2015-11-22,3
2015-11-23,20
2015-11-24,20
2015-11-25,20
2015-11-26,10
2015-11-27,14
2015-11-28,6
2015-11-29,3
2015-11-30,23
2015-12-01,31
2015-12-02,23
2015-12-03,18
2015-12-04,21
2015-12-05,5
2015-12-06,5
2015-12-07,8
2015-12-08,23
2015-12-09,16
2015-12-10,27
2015-12-11,17
2015-12-12,10
2015-12-13,8
2015-12-14,21
2015-12-15,24
2015-12-16,15
2015-12-17,24
2015-12-18,17
2015-12-19,5
2015-12-20,3
2015-12-21,11
2015-12-22,32
2015-12-23,25
2015-12-24,12
2015-12-25,4
2015-12-26,5
