date,TSLA stock
2016-09-11,5
2016-09-12,19
2016-09-13,22
2016-09-14,17
2016-09-15,24
2016-09-16,28
2016-09-17,6
2016-09-18,8
2016-09-19,21
2016-09-20,13
2016-09-21,14
2016-09-22,20
2016-09-23,25
2016-09-24,11
2016-09-25,5
2016-09-26,13
2016-09-27,20
2016-09-28,17
2016-09-29,19
2016-09-30,19
2016-10-01,5
2016-10-02,3
2016-10-03,28
2016-10-04,27
2016-10-05,20
2016-10-06,16
2016-10-07,14
2016-10-08,11
2016-10-09,3
2016-10-10,21
2016-10-11,18
2016-10-12,17
2016-10-13,20
2016-10-14,20
2016-10-15,2
2016-10-16,4
2016-10-17,19
2016-10-18,25
2016-10-19,25
2016-10-20,40
2016-10-21,25
2016-10-22,5
2016-10-23,3
2016-10-24,23
2016-10-25,28
2016-10-26,47
2016-10-27,62
2016-10-28,24
2016-10-29,13
2016-10-30,5
2016-10-31,21
2016-11-01,29
2016-11-02,39
2016-11-03,24
2016-11-04,24
2016-11-05,9
2016-11-06,4
2016-11-07,25
2016-11-08,23
2016-11-09,49
2016-11-10,32
2016-11-11,25
2016-11-12,7
2016-11-13,5
2016-11-14,28
2016-11-15,28
2016-11-16,18
2016-11-17,36
2016-11-18,33
2016-11-19,10
2016-11-20,9
2016-11-21,26
2016-11-22,37
2016-11-23,29
2016-11-24,5
2016-11-25,17
2016-11-26,12
2016-11-27,4
2016-11-28,24
2016-11-29,34
2016-11-30,34
2016-12-01,32
2016-12-02,32
2016-12-03,9
2016-12-04,6
2016-12-05,26
2016-12-06,25
2016-12-07,28
2016-12-08,25
2016-12-09,23
2016-12-10,4
2016-12-11,7
2016-12-12,24
2016-12-13,24
2016-12-14,25
2016-12-15,26
2016-12-16,18
2016-12-17,8
2016-12-18,5
2016-12-19,19
2016-12-20,18
2016-12-21,26
2016-12-22,26
2016-12-23,22
2016-12-24,5
2016-12-25,4
2016-12-26,14
2016-12-27,37
2016-12-28,22
2016-12-29,25
2016-12-30,21
2016-12-31,6
2017-01-01,8
2017-01-02,6
2017-01-03,23
2017-01-04,33
2017-01-05,35
2017-01-06,30
2017-01-07,11
2017-01-08,6
2017-01-09,23
2017-01-10,34
2017-01-11,23
2017-01-12,21
2017-01-13,37
2017-01-14,5
2017-01-15,7
2017-01-16,12
2017-01-17,30
2017-01-18,36
2017-01-19,40
2017-01-20,42
2017-01-21,4
2017-01-22,9
2017-01-23,30
2017-01-24,45
2017-01-25,43
2017-01-26,42
2017-01-27,36
2017-01-28,10
2017-01-29,4
2017-01-30,23
2017-01-31,31
2017-02-01,32
2017-02-02,24
2017-02-03,32
2017-02-04,6
2017-02-05,6
2017-02-06,31
2017-02-07,37
2017-02-08,37
2017-02-09,56
2017-02-10,42
2017-02-11,7
2017-02-12,8
2017-02-13,58
2017-02-14,58
2017-02-15,54
2017-02-16,52
2017-02-17,40
2017-02-18,12
2017-02-19,8
2017-02-20,11
2017-02-21,49
2017-02-22,79
2017-02-23,87
2017-02-24,52
2017-02-25,15
2017-02-26,6
2017-02-27,62
2017-02-28,59
2017-03-01,46
2017-03-02,46
2017-03-03,39
2017-03-04,6
2017-03-05,11
2017-03-06,30
2017-03-07,36
2017-03-08,32
2017-03-09,36
2017-03-10,24
2017-03-11,11
2017-03-12,2
2017-03-13,23
2017-03-14,18
2017-03-15,45
2017-03-16,47
2017-03-17,47
2017-03-18,13
2017-03-19,6
2017-03-20,24
2017-03-21,33
2017-03-22,30
2017-03-23,26
2017-03-24,31
2017-03-25,6
2017-03-26,4
2017-03-27,30
2017-03-28,52
2017-03-29,45
2017-03-30,35
2017-03-31,25
2017-04-01,5
2017-04-02,8
2017-04-03,88
2017-04-04,97
2017-04-05,71
2017-04-06,48
2017-04-07,49
2017-04-08,12
2017-04-09,9
2017-04-10,72
2017-04-11,67
2017-04-12,59
2017-04-13,61
2017-04-14,19
2017-04-15,12
2017-04-16,4
2017-04-17,40
2017-04-18,39
2017-04-19,29
2017-04-20,47
2017-04-21,44
2017-04-22,8
2017-04-23,7
2017-04-24,42
2017-04-25,33
2017-04-26,43
2017-04-27,44
2017-04-28,43
2017-04-29,10
2017-04-30,6
2017-05-01,56
2017-05-02,59
2017-05-03,100
2017-05-04,100
2017-05-05,72
2017-05-06,22
2017-05-07,10
2017-05-08,57
2017-05-09,57
2017-05-10,46
2017-05-11,60
2017-05-12,41
2017-05-13,13
2017-05-14,8
2017-05-15,45
2017-05-16,51
2017-05-17,48
2017-05-18,43
2017-05-19,39
2017-05-20,12
2017-05-21,8
2017-05-22,41
2017-05-23,32
2017-05-24,34
2017-05-25,48
2017-05-26,46
2017-05-27,17
2017-05-28,8
2017-05-29,12
