date,TSLA stock
2015-12-26,3
2015-12-27,2
2015-12-28,8
2015-12-29,7
2015-12-30,9
2015-12-31,12
2016-01-01,6
2016-01-02,1
2016-01-03,7
2016-01-04,15
2016-01-05,14
2016-01-06,18
2016-01-07,23
2016-01-08,20
2016-01-09,3
2016-01-10,1
2016-01-11,13
2016-01-12,12
2016-01-13,15
2016-01-14,19
2016-01-15,23
2016-01-16,5
2016-01-17,5
2016-01-18,9
2016-01-19,16
2016-01-20,14
2016-01-21,14
2016-01-22,13
2016-01-23,4
2016-01-24,2
2016-01-25,13
2016-01-26,15
2016-01-27,17
2016-01-28,18
2016-01-29,15
2016-01-30,9
2016-01-31,5
2016-02-01,16
2016-02-02,20
2016-02-03,28
2016-02-04,28
2016-02-05,19
2016-02-06,8
2016-02-07,4
2016-02-08,26
2016-02-09,46
2016-02-10,62
2016-02-11,56
2016-02-12,28
2016-02-13,12
2016-02-14,4
2016-02-15,5
2016-02-16,13
2016-02-17,23
2016-02-18,24
2016-02-19,20
2016-02-20,4
2016-02-21,3
2016-02-22,16
2016-02-23,22
2016-02-24,20
2016-02-25,28
2016-02-26,26
2016-02-27,4
2016-02-28,2
2016-02-29,20
2016-03-01,17
2016-03-02,21
2016-03-03,27
2016-03-04,25
2016-03-05,6
2016-03-06,3
2016-03-07,23
2016-03-08,23
2016-03-09,23
2016-03-10,23
2016-03-11,17
2016-03-12,6
2016-03-13,3
2016-03-14,20
2016-03-15,21
2016-03-16,29
2016-03-17,21
2016-03-18,26
2016-03-19,6
2016-03-20,1
2016-03-21,29
2016-03-22,28
2016-03-23,24
2016-03-24,30
2016-03-25,9
2016-03-26,5
2016-03-27,6
2016-03-28,17
2016-03-29,26
2016-03-30,22
2016-03-31,50
2016-04-01,100
2016-04-02,17
2016-04-03,16
2016-04-04,63
2016-04-05,48
2016-04-06,61
2016-04-07,44
2016-04-08,35
2016-04-09,12
2016-04-10,7
2016-04-11,34
2016-04-12,35
2016-04-13,28
2016-04-14,26
2016-04-15,15
2016-04-16,5
2016-04-17,6
2016-04-18,26
2016-04-19,32
2016-04-20,34
2016-04-21,25
2016-04-22,16
2016-04-23,5
2016-04-24,5
2016-04-25,14
2016-04-26,22
2016-04-27,26
2016-04-28,19
2016-04-29,27
2016-04-30,2
2016-05-01,3
2016-05-02,16
2016-05-03,27
2016-05-04,57
2016-05-05,42
2016-05-06,41
2016-05-07,8
2016-05-08,4
2016-05-09,25
2016-05-10,30
2016-05-11,20
2016-05-12,22
2016-05-13,14
2016-05-14,2
2016-05-15,1
2016-05-16,16
2016-05-17,25
2016-05-18,22
2016-05-19,48
2016-05-20,23
2016-05-21,6
2016-05-22,1
2016-05-23,29
2016-05-24,19
2016-05-25,18
2016-05-26,16
2016-05-27,18
2016-05-28,6
2016-05-29,5
2016-05-30,2
2016-05-31,16
2016-06-01,22
2016-06-02,23
2016-06-03,14
2016-06-04,4
2016-06-05,2
2016-06-06,13
2016-06-07,24
2016-06-08,25
2016-06-09,19
2016-06-10,25
2016-06-11,7
2016-06-12,4
2016-06-13,26
2016-06-14,22
2016-06-15,16
2016-06-16,23
2016-06-17,16
2016-06-18,4
2016-06-19,2
2016-06-20,15
2016-06-21,35
2016-06-22,57
2016-06-23,46
2016-06-24,57
2016-06-25,6
2016-06-26,3
2016-06-27,25
2016-06-28,32
2016-06-29,38
2016-06-30,41
2016-07-01,49
2016-07-02,7
2016-07-03,5
2016-07-04,8
2016-07-05,32
2016-07-06,25
2016-07-07,20
2016-07-08,26
2016-07-09,11
2016-07-10,5
2016-07-11,29
2016-07-12,33
2016-07-13,30
2016-07-14,28
2016-07-15,27
2016-07-16,9
2016-07-17,2
2016-07-18,26
2016-07-19,20
2016-07-20,23
2016-07-21,28
2016-07-22,20
2016-07-23,6
2016-07-24,3
2016-07-25,23
2016-07-26,25
2016-07-27,26
2016-07-28,21
2016-07-29,20
2016-07-30,1
2016-07-31,0
2016-08-01,33
2016-08-02,31
2016-08-03,38
2016-08-04,51
2016-08-05,22
2016-08-06,8
2016-08-07,3
2016-08-08,22
2016-08-09,20
2016-08-10,19
2016-08-11,16
2016-08-12,22
2016-08-13,4
2016-08-14,4
2016-08-15,14
2016-08-16,25
2016-08-17,11
2016-08-18,17
2016-08-19,11
2016-08-20,7
2016-08-21,3
2016-08-22,10
2016-08-23,26
2016-08-24,25
2016-08-25,10
2016-08-26,21
2016-08-27,5
2016-08-28,1
2016-08-29,17
2016-08-30,10
2016-08-31,15
2016-09-01,45
2016-09-02,51
2016-09-03,7
2016-09-04,3
2016-09-05,5
2016-09-06,28
2016-09-07,29
2016-09-08,24
2016-09-09,19
2016-09-10,4
2016-09-11,5
