date,TSLA stock
2017-05-29,9
2017-05-30,42
2017-05-31,37
2017-06-01,33
2017-06-02,39
2017-06-03,7
2017-06-04,2
2017-06-05,30
2017-06-06,49
2017-06-07,42
2017-06-08,47
2017-06-09,63
2017-06-10,11
2017-06-11,8
2017-06-12,49
2017-06-13,49
2017-06-14,52
2017-06-15,41
2017-06-16,39
2017-06-17,14
2017-06-18,4
2017-06-19,36
2017-06-20,40
2017-06-21,34
2017-06-22,38
2017-06-23,48
2017-06-24,8
2017-06-25,7
2017-06-26,36
2017-06-27,35
2017-06-28,30
2017-06-29,38
2017-06-30,37
2017-07-01,10
2017-07-02,5
2017-07-03,58
2017-07-04,22
2017-07-05,60
2017-07-06,96
2017-07-07,79
2017-07-08,25
2017-07-09,9
2017-07-10,52
2017-07-11,46
2017-07-12,51
2017-07-13,46
2017-07-14,40
2017-07-15,12
2017-07-16,7
2017-07-17,45
2017-07-18,53
2017-07-19,36
2017-07-20,40
2017-07-21,30
2017-07-22,13
2017-07-23,7
2017-07-24,35
2017-07-25,33
2017-07-26,32
2017-07-27,36
2017-07-28,33
2017-07-29,17
2017-07-30,9
2017-07-31,49
2017-08-01,37
2017-08-02,82
2017-08-03,81
2017-08-04,46
2017-08-05,10
2017-08-06,12
2017-08-07,48
2017-08-08,42
2017-08-09,38
2017-08-10,39
2017-08-11,36
2017-08-12,8
2017-08-13,5
2017-08-14,28
2017-08-15,31
2017-08-16,27
2017-08-17,32
2017-08-18,27
2017-08-19,8
2017-08-20,4
2017-08-21,20
2017-08-22,29
2017-08-23,25
2017-08-24,28
2017-08-25,31
2017-08-26,9
2017-08-27,1
2017-08-28,22
2017-08-29,23
2017-08-30,23
2017-08-31,23
2017-09-01,23
2017-09-02,4
2017-09-03,2
2017-09-04,5
2017-09-05,24
2017-09-06,16
2017-09-07,24
2017-09-08,16
2017-09-09,4
2017-09-10,3
2017-09-11,22
2017-09-12,32
2017-09-13,23
2017-09-14,27
2017-09-15,30
2017-09-16,10
2017-09-17,3
2017-09-18,25
2017-09-19,27
2017-09-20,33
2017-09-21,24
2017-09-22,27
2017-09-23,8
2017-09-24,6
2017-09-25,25
2017-09-26,27
2017-09-27,30
2017-09-28,19
2017-09-29,23
2017-09-30,7
2017-10-01,5
2017-10-02,25
2017-10-03,39
2017-10-04,34
2017-10-05,25
2017-10-06,24
2017-10-07,9
2017-10-08,7
2017-10-09,30
2017-10-10,28
2017-10-11,28
2017-10-12,22
2017-10-13,27
2017-10-14,9
2017-10-15,6
2017-10-16,28
2017-10-17,22
2017-10-18,21
2017-10-19,22
2017-10-20,19
2017-10-21,8
2017-10-22,3
2017-10-23,26
2017-10-24,25
2017-10-25,32
2017-10-26,25
2017-10-27,37
2017-10-28,7
2017-10-29,6
2017-10-30,21
2017-10-31,35
2017-11-01,69
2017-11-02,100
2017-11-03,58
2017-11-04,8
2017-11-05,6
2017-11-06,32
2017-11-07,46
2017-11-08,32
2017-11-09,33
2017-11-10,29
2017-11-11,8
2017-11-12,7
2017-11-13,37
2017-11-14,29
2017-11-15,31
2017-11-16,32
2017-11-17,92
2017-11-18,14
2017-11-19,6
2017-11-20,35
2017-11-21,31
2017-11-22,30
2017-11-23,11
2017-11-24,22
2017-11-25,10
2017-11-26,2
2017-11-27,29
2017-11-28,22
2017-11-29,32
2017-11-30,24
2017-12-01,32
2017-12-02,7
2017-12-03,2
2017-12-04,30
2017-12-05,34
2017-12-06,22
2017-12-07,28
2017-12-08,28
2017-12-09,8
2017-12-10,4
2017-12-11,24
2017-12-12,35
2017-12-13,30
2017-12-14,28
2017-12-15,25
2017-12-16,10
2017-12-17,3
2017-12-18,26
2017-12-19,25
2017-12-20,29
2017-12-21,26
2017-12-22,21
2017-12-23,8
2017-12-24,6
2017-12-25,5
2017-12-26,19
2017-12-27,26
2017-12-28,25
2017-12-29,20
2017-12-30,9
2017-12-31,6
2018-01-01,4
2018-01-02,19
2018-01-03,40
2018-01-04,44
2018-01-05,33
2018-01-06,5
2018-01-07,3
2018-01-08,44
2018-01-09,31
2018-01-10,28
2018-01-11,33
2018-01-12,31
2018-01-13,4
2018-01-14,5
2018-01-15,9
2018-01-16,21
2018-01-17,20
2018-01-18,27
2018-01-19,26
2018-01-20,9
2018-01-21,3
2018-01-22,29
2018-01-23,40
2018-01-24,26
2018-01-25,29
2018-01-26,24
2018-01-27,6
2018-01-28,2
2018-01-29,20
2018-01-30,21
2018-01-31,27
2018-02-01,25
2018-02-02,30
2018-02-03,10
2018-02-04,5
2018-02-05,24
2018-02-06,44
2018-02-07,70
2018-02-08,65
2018-02-09,51
2018-02-10,11
2018-02-11,7
2018-02-12,35
2018-02-13,28
