date,TSLA stock
2014-03-16,5
2014-03-17,24
2014-03-18,30
2014-03-19,28
2014-03-20,31
2014-03-21,26
2014-03-22,1
2014-03-23,7
2014-03-24,37
2014-03-25,34
2014-03-26,30
2014-03-27,31
2014-03-28,34
2014-03-29,9
2014-03-30,6
2014-03-31,22
2014-04-01,33
2014-04-02,40
2014-04-03,39
2014-04-04,38
2014-04-05,12
2014-04-06,7
2014-04-07,35
2014-04-08,30
2014-04-09,21
2014-04-10,30
2014-04-11,35
2014-04-12,6
2014-04-13,6
2014-04-14,26
2014-04-15,38
2014-04-16,30
2014-04-17,40
2014-04-18,10
2014-04-19,6
2014-04-20,2
2014-04-21,24
2014-04-22,35
2014-04-23,27
2014-04-24,20
2014-04-25,28
2014-04-26,6
2014-04-27,2
2014-04-28,26
2014-04-29,29
2014-04-30,19
2014-05-01,21
2014-05-02,29
2014-05-03,8
2014-05-04,6
2014-05-05,22
2014-05-06,30
2014-05-07,50
2014-05-08,100
2014-05-09,63
2014-05-10,9
2014-05-11,9
2014-05-12,40
2014-05-13,29
2014-05-14,39
2014-05-15,32
2014-05-16,26
2014-05-17,8
2014-05-18,7
2014-05-19,41
2014-05-20,27
2014-05-21,30
2014-05-22,25
2014-05-23,28
2014-05-24,16
2014-05-25,7
2014-05-26,9
2014-05-27,35
2014-05-28,25
2014-05-29,30
2014-05-30,9
2014-05-31,8
2014-06-01,5
2014-06-02,16
2014-06-03,24
2014-06-04,32
2014-06-05,31
2014-06-06,22
2014-06-07,9
2014-06-08,4
2014-06-09,21
2014-06-10,17
2014-06-11,30
2014-06-12,25
2014-06-13,28
2014-06-14,9
2014-06-15,7
2014-06-16,42
2014-06-17,59
2014-06-18,33
2014-06-19,33
2014-06-20,28
2014-06-21,12
2014-06-22,9
2014-06-23,32
2014-06-24,33
2014-06-25,27
2014-06-26,28
2014-06-27,28
2014-06-28,15
2014-06-29,7
2014-06-30,33
2014-07-01,23
2014-07-02,23
2014-07-03,26
2014-07-04,10
2014-07-05,4
2014-07-06,4
2014-07-07,23
2014-07-08,23
2014-07-09,22
2014-07-10,18
2014-07-11,16
2014-07-12,7
2014-07-13,4
2014-07-14,30
2014-07-15,28
2014-07-16,20
2014-07-17,24
2014-07-18,24
2014-07-19,5
2014-07-20,3
2014-07-21,16
2014-07-22,16
2014-07-23,25
2014-07-24,15
2014-07-25,17
2014-07-26,10
2014-07-27,5
2014-07-28,19
2014-07-29,24
2014-07-30,24
2014-07-31,55
2014-08-01,36
2014-08-02,17
2014-08-03,7
2014-08-04,23
2014-08-05,21
2014-08-06,30
2014-08-07,48
2014-08-08,25
2014-08-09,12
2014-08-10,1
2014-08-11,42
2014-08-12,31
2014-08-13,25
2014-08-14,31
2014-08-15,13
2014-08-16,5
2014-08-17,4
2014-08-18,23
2014-08-19,24
2014-08-20,20
2014-08-21,19
2014-08-22,20
2014-08-23,6
2014-08-24,8
2014-08-25,23
2014-08-26,20
2014-08-27,21
2014-08-28,22
2014-08-29,26
2014-08-30,5
2014-08-31,1
2014-09-01,3
2014-09-02,36
2014-09-03,31
2014-09-04,34
2014-09-05,40
2014-09-06,11
2014-09-07,5
2014-09-08,27
2014-09-09,31
2014-09-10,28
2014-09-11,17
2014-09-12,31
2014-09-13,2
2014-09-14,1
2014-09-15,37
2014-09-16,35
2014-09-17,30
2014-09-18,25
2014-09-19,27
2014-09-20,7
2014-09-21,2
2014-09-22,23
2014-09-23,33
2014-09-24,25
2014-09-25,15
2014-09-26,19
2014-09-27,5
2014-09-28,4
2014-09-29,13
2014-09-30,27
2014-10-01,20
2014-10-02,22
2014-10-03,24
2014-10-04,9
2014-10-05,2
2014-10-06,17
2014-10-07,22
2014-10-08,18
2014-10-09,32
2014-10-10,52
2014-10-11,11
2014-10-12,11
2014-10-13,27
2014-10-14,24
2014-10-15,23
2014-10-16,22
2014-10-17,20
2014-10-18,5
2014-10-19,2
2014-10-20,13
2014-10-21,25
2014-10-22,20
2014-10-23,24
2014-10-24,30
2014-10-25,1
2014-10-26,7
2014-10-27,17
2014-10-28,33
2014-10-29,24
2014-10-30,25
2014-10-31,29
2014-11-01,6
2014-11-02,4
2014-11-03,16
2014-11-04,19
2014-11-05,38
2014-11-06,34
2014-11-07,22
2014-11-08,8
2014-11-09,2
2014-11-10,27
2014-11-11,24
2014-11-12,22
2014-11-13,26
2014-11-14,24
2014-11-15,13
2014-11-16,1
2014-11-17,19
2014-11-18,12
2014-11-19,13
2014-11-20,14
2014-11-21,21
2014-11-22,7
2014-11-23,5
2014-11-24,18
2014-11-25,12
2014-11-26,15
2014-11-27,4
2014-11-28,4
2014-11-29,2
2014-11-30,6
2014-12-01,16
