date,Mondelez,isPartial
2015-12-26,11,False
2015-12-27,9,False
2015-12-28,14,False
2015-12-29,15,False
2015-12-30,15,False
2015-12-31,11,False
2016-01-01,7,False
2016-01-02,12,False
2016-01-03,9,False
2016-01-04,21,False
2016-01-05,18,False
2016-01-06,16,False
2016-01-07,21,False
2016-01-08,20,False
2016-01-09,15,False
2016-01-10,12,False
2016-01-11,21,False
2016-01-12,20,False
2016-01-13,23,False
2016-01-14,17,False
2016-01-15,23,False
2016-01-16,10,False
2016-01-17,11,False
2016-01-18,16,False
2016-01-19,25,False
2016-01-20,25,False
2016-01-21,25,False
2016-01-22,21,False
2016-01-23,9,False
2016-01-24,9,False
2016-01-25,22,False
2016-01-26,24,False
2016-01-27,21,False
2016-01-28,24,False
2016-01-29,22,False
2016-01-30,9,False
2016-01-31,11,False
2016-02-01,29,False
2016-02-02,24,False
2016-02-03,28,False
2016-02-04,26,False
2016-02-05,20,False
2016-02-06,11,False
2016-02-07,11,False
2016-02-08,19,False
2016-02-09,26,False
2016-02-10,22,False
2016-02-11,25,False
2016-02-12,19,False
2016-02-13,9,False
2016-02-14,17,False
2016-02-15,23,False
2016-02-16,25,False
2016-02-17,28,False
2016-02-18,25,False
2016-02-19,23,False
2016-02-20,14,False
2016-02-21,10,False
2016-02-22,22,False
2016-02-23,30,False
2016-02-24,27,False
2016-02-25,27,False
2016-02-26,19,False
2016-02-27,12,False
2016-02-28,12,False
2016-02-29,21,False
2016-03-01,27,False
2016-03-02,26,False
2016-03-03,25,False
2016-03-04,23,False
2016-03-05,8,False
2016-03-06,20,False
2016-03-07,26,False
2016-03-08,28,False
2016-03-09,25,False
2016-03-10,22,False
2016-03-11,19,False
2016-03-12,15,False
2016-03-13,11,False
2016-03-14,21,False
2016-03-15,23,False
2016-03-16,20,False
2016-03-17,23,False
2016-03-18,23,False
2016-03-19,14,False
2016-03-20,9,False
2016-03-21,26,False
2016-03-22,20,False
2016-03-23,23,False
2016-03-24,24,False
2016-03-25,16,False
2016-03-26,13,False
2016-03-27,13,False
2016-03-28,19,False
2016-03-29,24,False
2016-03-30,26,False
2016-03-31,27,False
2016-04-01,20,False
2016-04-02,17,False
2016-04-03,9,False
2016-04-04,30,False
2016-04-05,24,False
2016-04-06,21,False
2016-04-07,23,False
2016-04-08,23,False
2016-04-09,14,False
2016-04-10,8,False
2016-04-11,27,False
2016-04-12,21,False
2016-04-13,26,False
2016-04-14,22,False
2016-04-15,20,False
2016-04-16,10,False
2016-04-17,12,False
2016-04-18,21,False
2016-04-19,27,False
2016-04-20,24,False
2016-04-21,25,False
2016-04-22,21,False
2016-04-23,9,False
2016-04-24,9,False
2016-04-25,23,False
2016-04-26,21,False
2016-04-27,24,False
2016-04-28,24,False
2016-04-29,19,False
2016-04-30,14,False
2016-05-01,8,False
2016-05-02,21,False
2016-05-03,22,False
2016-05-04,21,False
2016-05-05,22,False
2016-05-06,15,False
2016-05-07,9,False
2016-05-08,9,False
2016-05-09,18,False
2016-05-10,19,False
2016-05-11,22,False
2016-05-12,20,False
2016-05-13,15,False
2016-05-14,10,False
2016-05-15,9,False
2016-05-16,25,False
2016-05-17,24,False
2016-05-18,17,False
2016-05-19,17,False
2016-05-20,18,False
2016-05-21,12,False
2016-05-22,11,False
2016-05-23,22,False
2016-05-24,20,False
2016-05-25,19,False
2016-05-26,24,False
2016-05-27,12,False
2016-05-28,12,False
2016-05-29,11,False
2016-05-30,20,False
2016-05-31,21,False
2016-06-01,23,False
2016-06-02,21,False
2016-06-03,16,False
2016-06-04,6,False
2016-06-05,10,False
