date,Mondelez,isPartial
2014-03-16,15,False
2014-03-17,33,False
2014-03-18,30,False
2014-03-19,32,False
2014-03-20,34,False
2014-03-21,24,False
2014-03-22,13,False
2014-03-23,18,False
2014-03-24,42,False
2014-03-25,28,False
2014-03-26,34,False
2014-03-27,33,False
2014-03-28,28,False
2014-03-29,18,False
2014-03-30,13,False
2014-03-31,30,False
2014-04-01,32,False
2014-04-02,37,False
2014-04-03,37,False
2014-04-04,34,False
2014-04-05,14,False
2014-04-06,20,False
2014-04-07,36,False
2014-04-08,32,False
2014-04-09,31,False
2014-04-10,33,False
2014-04-11,31,False
2014-04-12,12,False
2014-04-13,15,False
2014-04-14,32,False
2014-04-15,31,False
2014-04-16,32,False
2014-04-17,36,False
2014-04-18,22,False
2014-04-19,4,False
2014-04-20,13,False
2014-04-21,30,False
2014-04-22,46,False
2014-04-23,32,False
2014-04-24,32,False
2014-04-25,25,False
2014-04-26,20,False
2014-04-27,13,False
2014-04-28,30,False
2014-04-29,28,False
2014-04-30,32,False
2014-05-01,26,False
2014-05-02,23,False
2014-05-03,10,False
2014-05-04,13,False
2014-05-05,34,False
2014-05-06,29,False
2014-05-07,100,False
2014-05-08,61,False
2014-05-09,38,False
2014-05-10,17,False
2014-05-11,11,False
2014-05-12,40,False
2014-05-13,32,False
2014-05-14,37,False
2014-05-15,38,False
2014-05-16,28,False
2014-05-17,17,False
2014-05-18,16,False
2014-05-19,40,False
2014-05-20,36,False
2014-05-21,34,False
2014-05-22,37,False
2014-05-23,26,False
2014-05-24,13,False
2014-05-25,18,False
2014-05-26,30,False
2014-05-27,36,False
2014-05-28,42,False
2014-05-29,38,False
2014-05-30,30,False
2014-05-31,18,False
2014-06-01,16,False
2014-06-02,34,False
2014-06-03,46,False
2014-06-04,28,False
2014-06-05,29,False
2014-06-06,27,False
2014-06-07,15,False
2014-06-08,17,False
2014-06-09,24,False
2014-06-10,24,False
2014-06-11,32,False
2014-06-12,37,False
2014-06-13,31,False
2014-06-14,13,False
2014-06-15,15,False
2014-06-16,36,False
2014-06-17,35,False
2014-06-18,29,False
2014-06-19,32,False
2014-06-20,25,False
2014-06-21,15,False
2014-06-22,20,False
2014-06-23,38,False
2014-06-24,40,False
2014-06-25,24,False
2014-06-26,27,False
2014-06-27,28,False
2014-06-28,6,False
2014-06-29,12,False
2014-06-30,22,False
2014-07-01,30,False
2014-07-02,30,False
2014-07-03,22,False
2014-07-04,22,False
2014-07-05,10,False
2014-07-06,9,False
2014-07-07,23,False
2014-07-08,32,False
2014-07-09,26,False
2014-07-10,28,False
2014-07-11,24,False
2014-07-12,17,False
2014-07-13,13,False
2014-07-14,33,False
2014-07-15,36,False
2014-07-16,28,False
2014-07-17,32,False
2014-07-18,27,False
2014-07-19,12,False
2014-07-20,15,False
2014-07-21,31,False
2014-07-22,34,False
2014-07-23,30,False
2014-07-24,26,False
2014-07-25,27,False
2014-07-26,17,False
2014-07-27,15,False
2014-07-28,34,False
2014-07-29,27,False
2014-07-30,31,False
2014-07-31,32,False
2014-08-01,29,False
2014-08-02,17,False
2014-08-03,5,False
2014-08-04,36,False
2014-08-05,21,False
2014-08-06,35,False
2014-08-07,48,False
2014-08-08,26,False
2014-08-09,14,False
2014-08-10,14,False
2014-08-11,35,False
2014-08-12,32,False
2014-08-13,32,False
2014-08-14,32,False
2014-08-15,25,False
2014-08-16,11,False
2014-08-17,10,False
2014-08-18,28,False
2014-08-19,31,False
2014-08-20,30,False
2014-08-21,22,False
2014-08-22,28,False
2014-08-23,15,False
2014-08-24,21,False
2014-08-25,25,False
2014-08-26,29,False
2014-08-27,23,False
2014-08-28,34,False
2014-08-29,21,False
2014-08-30,5,False
2014-08-31,11,False
2014-09-01,26,False
2014-09-02,37,False
2014-09-03,29,False
2014-09-04,29,False
2014-09-05,32,False
2014-09-06,19,False
2014-09-07,20,False
2014-09-08,30,False
2014-09-09,28,False
2014-09-10,34,False
2014-09-11,35,False
2014-09-12,29,False
2014-09-13,16,False
2014-09-14,17,False
2014-09-15,27,False
2014-09-16,27,False
2014-09-17,28,False
2014-09-18,33,False
2014-09-19,29,False
2014-09-20,17,False
2014-09-21,16,False
2014-09-22,33,False
2014-09-23,35,False
2014-09-24,42,False
2014-09-25,32,False
2014-09-26,37,False
2014-09-27,13,False
2014-09-28,12,False
2014-09-29,25,False
2014-09-30,37,False
2014-10-01,33,False
2014-10-02,38,False
2014-10-03,25,False
2014-10-04,16,False
2014-10-05,16,False
2014-10-06,31,False
2014-10-07,37,False
2014-10-08,38,False
2014-10-09,32,False
2014-10-10,31,False
2014-10-11,17,False
2014-10-12,16,False
2014-10-13,25,False
2014-10-14,37,False
2014-10-15,32,False
2014-10-16,49,False
2014-10-17,28,False
2014-10-18,22,False
2014-10-19,19,False
2014-10-20,35,False
2014-10-21,29,False
2014-10-22,33,False
2014-10-23,33,False
2014-10-24,33,False
2014-10-25,19,False
2014-10-26,21,False
2014-10-27,31,False
2014-10-28,33,False
2014-10-29,27,False
2014-10-30,37,False
2014-10-31,29,False
2014-11-01,12,False
2014-11-02,18,False
2014-11-03,35,False
2014-11-04,41,False
2014-11-05,38,False
2014-11-06,31,False
2014-11-07,30,False
2014-11-08,23,False
2014-11-09,15,False
2014-11-10,25,False
2014-11-11,41,False
2014-11-12,37,False
2014-11-13,39,False
2014-11-14,27,False
2014-11-15,16,False
2014-11-16,16,False
2014-11-17,36,False
2014-11-18,29,False
2014-11-19,30,False
2014-11-20,30,False
2014-11-21,27,False
2014-11-22,18,False
2014-11-23,17,False
2014-11-24,28,False
2014-11-25,36,False
2014-11-26,28,False
2014-11-27,36,False
2014-11-28,22,False
2014-11-29,16,False
2014-11-30,17,False
2014-12-01,22,False
