date,Mylan,isPartial
2016-09-11,15,False
2016-09-12,20,False
2016-09-13,23,False
2016-09-14,24,False
2016-09-15,25,False
2016-09-16,20,False
2016-09-17,15,False
2016-09-18,16,False
2016-09-19,18,False
2016-09-20,20,False
2016-09-21,53,False
2016-09-22,48,False
2016-09-23,31,False
2016-09-24,22,False
2016-09-25,100,False
2016-09-26,68,False
2016-09-27,34,False
2016-09-28,28,False
2016-09-29,26,False
2016-09-30,25,False
2016-10-01,30,False
2016-10-02,26,False
2016-10-03,20,False
2016-10-04,19,False
2016-10-05,19,False
2016-10-06,23,False
2016-10-07,23,False
2016-10-08,45,False
2016-10-09,28,False
2016-10-10,24,False
2016-10-11,25,False
2016-10-12,22,False
2016-10-13,21,False
2016-10-14,22,False
2016-10-15,11,False
2016-10-16,12,False
2016-10-17,19,False
2016-10-18,18,False
2016-10-19,19,False
2016-10-20,18,False
2016-10-21,18,False
2016-10-22,13,False
2016-10-23,17,False
2016-10-24,23,False
2016-10-25,18,False
2016-10-26,17,False
2016-10-27,20,False
2016-10-28,20,False
2016-10-29,16,False
2016-10-30,13,False
2016-10-31,21,False
2016-11-01,21,False
2016-11-02,21,False
2016-11-03,24,False
2016-11-04,19,False
2016-11-05,19,False
2016-11-06,13,False
2016-11-07,21,False
2016-11-08,19,False
2016-11-09,17,False
2016-11-10,23,False
2016-11-11,20,False
2016-11-12,16,False
2016-11-13,17,False
2016-11-14,20,False
2016-11-15,20,False
2016-11-16,19,False
2016-11-17,18,False
2016-11-18,16,False
2016-11-19,17,False
2016-11-20,11,False
2016-11-21,16,False
2016-11-22,19,False
2016-11-23,17,False
2016-11-24,16,False
2016-11-25,14,False
2016-11-26,15,False
2016-11-27,19,False
2016-11-28,33,False
2016-11-29,17,False
2016-11-30,16,False
2016-12-01,25,False
2016-12-02,19,False
2016-12-03,14,False
2016-12-04,14,False
2016-12-05,21,False
2016-12-06,22,False
2016-12-07,20,False
2016-12-08,18,False
2016-12-09,19,False
2016-12-10,14,False
2016-12-11,15,False
2016-12-12,18,False
2016-12-13,15,False
2016-12-14,17,False
2016-12-15,18,False
2016-12-16,17,False
2016-12-17,13,False
2016-12-18,13,False
2016-12-19,15,False
2016-12-20,14,False
2016-12-21,13,False
2016-12-22,18,False
2016-12-23,16,False
2016-12-24,11,False
2016-12-25,13,False
2016-12-26,15,False
2016-12-27,13,False
2016-12-28,16,False
2016-12-29,18,False
2016-12-30,18,False
2016-12-31,12,False
2017-01-01,13,False
2017-01-02,13,False
2017-01-03,17,False
2017-01-04,17,False
2017-01-05,17,False
2017-01-06,16,False
2017-01-07,13,False
2017-01-08,11,False
2017-01-09,20,False
2017-01-10,19,False
2017-01-11,23,False
2017-01-12,19,False
2017-01-13,24,False
2017-01-14,16,False
2017-01-15,15,False
2017-01-16,20,False
2017-01-17,22,False
2017-01-18,17,False
2017-01-19,18,False
2017-01-20,15,False
2017-01-21,18,False
2017-01-22,15,False
2017-01-23,18,False
2017-01-24,19,False
2017-01-25,19,False
2017-01-26,16,False
2017-01-27,19,False
2017-01-28,17,False
2017-01-29,12,False
2017-01-30,17,False
2017-01-31,18,False
2017-02-01,20,False
2017-02-02,16,False
2017-02-03,20,False
2017-02-04,12,False
2017-02-05,11,False
2017-02-06,18,False
2017-02-07,18,False
2017-02-08,21,False
2017-02-09,19,False
2017-02-10,15,False
2017-02-11,10,False
2017-02-12,17,False
2017-02-13,16,False
2017-02-14,15,False
2017-02-15,18,False
2017-02-16,18,False
2017-02-17,20,False
2017-02-18,13,False
2017-02-19,13,False
2017-02-20,16,False
2017-02-21,16,False
2017-02-22,19,False
