date,Mylan,isPartial
2014-03-16,36,False
2014-03-17,43,False
2014-03-18,41,False
2014-03-19,49,False
2014-03-20,46,False
2014-03-21,48,False
2014-03-22,43,False
2014-03-23,29,False
2014-03-24,43,False
2014-03-25,42,False
2014-03-26,44,False
2014-03-27,41,False
2014-03-28,48,False
2014-03-29,43,False
2014-03-30,32,False
2014-03-31,35,False
2014-04-01,43,False
2014-04-02,47,False
2014-04-03,34,False
2014-04-04,42,False
2014-04-05,30,False
2014-04-06,33,False
2014-04-07,45,False
2014-04-08,41,False
2014-04-09,47,False
2014-04-10,43,False
2014-04-11,49,False
2014-04-12,45,False
2014-04-13,32,False
2014-04-14,39,False
2014-04-15,42,False
2014-04-16,45,False
2014-04-17,31,False
2014-04-18,36,False
2014-04-19,34,False
2014-04-20,34,False
2014-04-21,42,False
2014-04-22,42,False
2014-04-23,38,False
2014-04-24,46,False
2014-04-25,53,False
2014-04-26,50,False
2014-04-27,33,False
2014-04-28,43,False
2014-04-29,35,False
2014-04-30,51,False
2014-05-01,46,False
2014-05-02,44,False
2014-05-03,51,False
2014-05-04,32,False
2014-05-05,36,False
2014-05-06,36,False
2014-05-07,44,False
2014-05-08,42,False
2014-05-09,47,False
2014-05-10,35,False
2014-05-11,28,False
2014-05-12,41,False
2014-05-13,56,False
2014-05-14,41,False
2014-05-15,50,False
2014-05-16,31,False
2014-05-17,44,False
2014-05-18,33,False
2014-05-19,40,False
2014-05-20,41,False
2014-05-21,39,False
2014-05-22,45,False
2014-05-23,36,False
2014-05-24,34,False
2014-05-25,39,False
2014-05-26,40,False
2014-05-27,35,False
2014-05-28,36,False
2014-05-29,36,False
2014-05-30,31,False
2014-05-31,25,False
2014-06-01,41,False
2014-06-02,35,False
2014-06-03,39,False
2014-06-04,45,False
2014-06-05,36,False
2014-06-06,37,False
2014-06-07,36,False
2014-06-08,38,False
2014-06-09,33,False
2014-06-10,36,False
2014-06-11,36,False
2014-06-12,32,False
2014-06-13,42,False
2014-06-14,35,False
2014-06-15,36,False
2014-06-16,36,False
2014-06-17,41,False
2014-06-18,29,False
2014-06-19,34,False
2014-06-20,45,False
2014-06-21,41,False
2014-06-22,31,False
2014-06-23,37,False
2014-06-24,45,False
2014-06-25,42,False
2014-06-26,40,False
2014-06-27,35,False
2014-06-28,34,False
2014-06-29,29,False
2014-06-30,37,False
2014-07-01,41,False
2014-07-02,56,False
2014-07-03,37,False
2014-07-04,40,False
2014-07-05,33,False
2014-07-06,31,False
2014-07-07,44,False
2014-07-08,42,False
2014-07-09,38,False
2014-07-10,39,False
2014-07-11,42,False
2014-07-12,46,False
2014-07-13,33,False
2014-07-14,100,False
2014-07-15,68,False
2014-07-16,68,False
2014-07-17,59,False
2014-07-18,47,False
2014-07-19,48,False
2014-07-20,41,False
2014-07-21,45,False
2014-07-22,50,False
2014-07-23,59,False
2014-07-24,42,False
2014-07-25,54,False
2014-07-26,42,False
2014-07-27,36,False
2014-07-28,39,False
2014-07-29,43,False
2014-07-30,37,False
2014-07-31,52,False
2014-08-01,46,False
2014-08-02,43,False
2014-08-03,39,False
2014-08-04,47,False
2014-08-05,33,False
2014-08-06,33,False
2014-08-07,70,False
2014-08-08,35,False
2014-08-09,28,False
2014-08-10,33,False
2014-08-11,49,False
2014-08-12,28,False
2014-08-13,46,False
2014-08-14,43,False
2014-08-15,43,False
2014-08-16,36,False
2014-08-17,21,False
2014-08-18,45,False
2014-08-19,45,False
2014-08-20,35,False
2014-08-21,42,False
2014-08-22,52,False
2014-08-23,40,False
2014-08-24,36,False
2014-08-25,42,False
2014-08-26,46,False
2014-08-27,43,False
2014-08-28,43,False
2014-08-29,41,False
2014-08-30,25,False
2014-08-31,22,False
2014-09-01,27,False
2014-09-02,37,False
2014-09-03,40,False
2014-09-04,52,False
2014-09-05,42,False
2014-09-06,41,False
2014-09-07,34,False
2014-09-08,35,False
2014-09-09,40,False
2014-09-10,39,False
2014-09-11,50,False
2014-09-12,36,False
2014-09-13,30,False
2014-09-14,31,False
2014-09-15,43,False
2014-09-16,47,False
2014-09-17,57,False
2014-09-18,51,False
2014-09-19,49,False
2014-09-20,37,False
2014-09-21,31,False
2014-09-22,43,False
2014-09-23,43,False
2014-09-24,42,False
2014-09-25,43,False
2014-09-26,33,False
2014-09-27,20,False
2014-09-28,32,False
2014-09-29,52,False
2014-09-30,37,False
2014-10-01,42,False
2014-10-02,43,False
2014-10-03,52,False
2014-10-04,31,False
2014-10-05,33,False
2014-10-06,38,False
2014-10-07,34,False
2014-10-08,40,False
2014-10-09,44,False
2014-10-10,32,False
2014-10-11,38,False
2014-10-12,34,False
2014-10-13,38,False
2014-10-14,44,False
2014-10-15,48,False
2014-10-16,38,False
2014-10-17,36,False
2014-10-18,33,False
2014-10-19,29,False
2014-10-20,35,False
2014-10-21,42,False
2014-10-22,35,False
2014-10-23,51,False
2014-10-24,27,False
2014-10-25,30,False
2014-10-26,37,False
2014-10-27,48,False
2014-10-28,36,False
2014-10-29,50,False
2014-10-30,47,False
2014-10-31,45,False
2014-11-01,33,False
2014-11-02,28,False
2014-11-03,44,False
2014-11-04,45,False
2014-11-05,57,False
2014-11-06,46,False
2014-11-07,43,False
2014-11-08,40,False
2014-11-09,34,False
2014-11-10,50,False
2014-11-11,40,False
2014-11-12,52,False
2014-11-13,43,False
2014-11-14,37,False
2014-11-15,32,False
2014-11-16,36,False
2014-11-17,37,False
2014-11-18,53,False
2014-11-19,44,False
2014-11-20,47,False
2014-11-21,43,False
2014-11-22,36,False
2014-11-23,43,False
2014-11-24,36,False
2014-11-25,34,False
2014-11-26,48,False
2014-11-27,33,False
2014-11-28,34,False
2014-11-29,31,False
2014-11-30,22,False
2014-12-01,48,False
