date,Starbucks,isPartial
2014-07-24,43,False
2014-07-25,43,False
2014-07-26,45,False
2014-07-27,43,False
2014-07-28,40,False
2014-07-29,43,False
2014-07-30,46,False
2014-07-31,40,False
2014-08-01,41,False
2014-08-02,43,False
2014-08-03,42,False
2014-08-04,39,False
2014-08-05,38,False
2014-08-06,39,False
2014-08-07,39,False
2014-08-08,39,False
2014-08-09,43,False
2014-08-10,43,False
2014-08-11,37,False
2014-08-12,36,False
2014-08-13,38,False
2014-08-14,39,False
2014-08-15,42,False
2014-08-16,41,False
2014-08-17,41,False
2014-08-18,37,False
2014-08-19,37,False
2014-08-20,37,False
2014-08-21,38,False
2014-08-22,39,False
2014-08-23,39,False
2014-08-24,44,False
2014-08-25,39,False
2014-08-26,37,False
2014-08-27,39,False
2014-08-28,38,False
2014-08-29,39,False
2014-08-30,41,False
2014-08-31,40,False
2014-09-01,39,False
2014-09-02,36,False
2014-09-03,38,False
2014-09-04,38,False
2014-09-05,39,False
2014-09-06,42,False
2014-09-07,43,False
2014-09-08,36,False
2014-09-09,38,False
2014-09-10,40,False
2014-09-11,42,False
2014-09-12,41,False
2014-09-13,43,False
2014-09-14,43,False
2014-09-15,37,False
2014-09-16,39,False
2014-09-17,42,False
2014-09-18,41,False
2014-09-19,40,False
2014-09-20,46,False
2014-09-21,45,False
2014-09-22,40,False
2014-09-23,40,False
2014-09-24,40,False
2014-09-25,43,False
2014-09-26,41,False
2014-09-27,44,False
2014-09-28,44,False
2014-09-29,48,False
2014-09-30,41,False
2014-10-01,40,False
2014-10-02,39,False
2014-10-03,39,False
2014-10-04,45,False
2014-10-05,42,False
2014-10-06,38,False
2014-10-07,38,False
2014-10-08,38,False
2014-10-09,40,False
2014-10-10,39,False
2014-10-11,43,False
2014-10-12,45,False
2014-10-13,39,False
2014-10-14,38,False
2014-10-15,37,False
2014-10-16,38,False
2014-10-17,38,False
2014-10-18,43,False
2014-10-19,43,False
2014-10-20,35,False
2014-10-21,38,False
2014-10-22,38,False
2014-10-23,41,False
2014-10-24,40,False
2014-10-25,43,False
2014-10-26,46,False
2014-10-27,39,False
2014-10-28,39,False
2014-10-29,41,False
2014-10-30,46,False
2014-10-31,47,False
2014-11-01,46,False
2014-11-02,48,False
2014-11-03,46,False
2014-11-04,47,False
2014-11-05,45,False
2014-11-06,47,False
2014-11-07,48,False
2014-11-08,51,False
2014-11-09,49,False
2014-11-10,45,False
2014-11-11,52,False
2014-11-12,58,False
2014-11-13,54,False
2014-11-14,57,False
2014-11-15,61,False
2014-11-16,59,False
2014-11-17,46,False
2014-11-18,47,False
2014-11-19,45,False
2014-11-20,44,False
2014-11-21,45,False
2014-11-22,48,False
2014-11-23,48,False
2014-11-24,41,False
2014-11-25,40,False
2014-11-26,42,False
2014-11-27,61,False
2014-11-28,48,False
2014-11-29,48,False
2014-11-30,47,False
2014-12-01,44,False
2014-12-02,46,False
2014-12-03,46,False
2014-12-04,50,False
2014-12-05,49,False
2014-12-06,57,False
2014-12-07,53,False
2014-12-08,48,False
2014-12-09,48,False
2014-12-10,45,False
2014-12-11,43,False
2014-12-12,48,False
2014-12-13,51,False
2014-12-14,50,False
2014-12-15,45,False
2014-12-16,45,False
2014-12-17,46,False
2014-12-18,48,False
2014-12-19,51,False
2014-12-20,52,False
2014-12-21,53,False
2014-12-22,49,False
2014-12-23,48,False
2014-12-24,56,False
2014-12-25,100,False
2014-12-26,63,False
2014-12-27,54,False
2014-12-28,52,False
2014-12-29,52,False
2014-12-30,52,False
2014-12-31,50,False
2015-01-01,58,False
2015-01-02,48,False
2015-01-03,48,False
2015-01-04,47,False
2015-01-05,42,False
2015-01-06,44,False
2015-01-07,44,False
2015-01-08,41,False
2015-01-09,43,False
2015-01-10,47,False
2015-01-11,44,False
2015-01-12,39,False
2015-01-13,41,False
2015-01-14,40,False
2015-01-15,41,False
2015-01-16,38,False
2015-01-17,46,False
2015-01-18,42,False
2015-01-19,39,False
2015-01-20,39,False
2015-01-21,39,False
2015-01-22,38,False
2015-01-23,40,False
2015-01-24,42,False
2015-01-25,42,False
2015-01-26,34,False
2015-01-27,40,False
2015-01-28,37,False
2015-01-29,38,False
2015-01-30,40,False
2015-01-31,43,False
2015-02-01,40,False
2015-02-02,34,False
2015-02-03,37,False
2015-02-04,37,False
2015-02-05,40,False
2015-02-06,39,False
2015-02-07,42,False
2015-02-08,40,False
2015-02-09,36,False
2015-02-10,36,False
2015-02-11,39,False
2015-02-12,38,False
2015-02-13,40,False
2015-02-14,45,False
2015-02-15,41,False
2015-02-16,39,False
2015-02-17,39,False
2015-02-18,41,False
2015-02-19,40,False
2015-02-20,42,False
2015-02-21,42,False
2015-02-22,41,False
2015-02-23,36,False
2015-02-24,37,False
2015-02-25,42,False
2015-02-26,39,False
2015-02-27,39,False
2015-02-28,42,False
2015-03-01,42,False
2015-03-02,36,False
2015-03-03,37,False
2015-03-04,36,False
2015-03-05,37,False
2015-03-06,38,False
2015-03-07,45,False
2015-03-08,43,False
2015-03-09,38,False
2015-03-10,38,False
2015-03-11,38,False
2015-03-12,38,False
2015-03-13,36,False
2015-03-14,43,False
2015-03-15,41,False
2015-03-16,40,False
2015-03-17,40,False
2015-03-18,45,False
2015-03-19,45,False
2015-03-20,42,False
2015-03-21,46,False
2015-03-22,45,False
2015-03-23,47,False
2015-03-24,40,False
2015-03-25,35,False
2015-03-26,46,False
2015-03-27,49,False
2015-03-28,50,False
2015-03-29,51,False
2015-03-30,49,False
2015-03-31,44,False
2015-04-01,44,False
2015-04-02,42,False
2015-04-03,44,False
2015-04-04,45,False
2015-04-05,53,False
2015-04-06,42,False
2015-04-07,41,False
2015-04-08,42,False
2015-04-09,43,False
2015-04-10,43,False
