date,Workday,isPartial
2013-02-19,57,False
2013-02-20,49,False
2013-02-21,60,False
2013-02-22,48,False
2013-02-23,33,False
2013-02-24,27,False
2013-02-25,46,False
2013-02-26,51,False
2013-02-27,57,False
2013-02-28,49,False
2013-03-01,63,False
2013-03-02,20,False
2013-03-03,33,False
2013-03-04,63,False
2013-03-05,67,False
2013-03-06,54,False
2013-03-07,76,False
2013-03-08,62,False
2013-03-09,25,False
2013-03-10,27,False
2013-03-11,62,False
2013-03-12,55,False
2013-03-13,53,False
2013-03-14,52,False
2013-03-15,59,False
2013-03-16,27,False
2013-03-17,21,False
2013-03-18,60,False
2013-03-19,68,False
2013-03-20,64,False
2013-03-21,70,False
2013-03-22,54,False
2013-03-23,21,False
2013-03-24,29,False
2013-03-25,54,False
2013-03-26,48,False
2013-03-27,65,False
2013-03-28,56,False
2013-03-29,40,False
2013-03-30,22,False
2013-03-31,22,False
2013-04-01,58,False
2013-04-02,42,False
2013-04-03,49,False
2013-04-04,57,False
2013-04-05,56,False
2013-04-06,37,False
2013-04-07,24,False
2013-04-08,69,False
2013-04-09,61,False
2013-04-10,63,False
2013-04-11,61,False
2013-04-12,55,False
2013-04-13,23,False
2013-04-14,34,False
2013-04-15,58,False
2013-04-16,62,False
2013-04-17,75,False
2013-04-18,62,False
2013-04-19,62,False
2013-04-20,27,False
2013-04-21,34,False
2013-04-22,64,False
2013-04-23,69,False
2013-04-24,59,False
2013-04-25,55,False
2013-04-26,59,False
2013-04-27,25,False
2013-04-28,26,False
2013-04-29,65,False
2013-04-30,68,False
2013-05-01,57,False
2013-05-02,66,False
2013-05-03,57,False
2013-05-04,27,False
2013-05-05,22,False
2013-05-06,48,False
2013-05-07,56,False
2013-05-08,55,False
2013-05-09,56,False
2013-05-10,47,False
2013-05-11,27,False
2013-05-12,23,False
2013-05-13,59,False
2013-05-14,77,False
2013-05-15,72,False
2013-05-16,54,False
2013-05-17,66,False
2013-05-18,29,False
2013-05-19,25,False
2013-05-20,68,False
2013-05-21,66,False
2013-05-22,61,False
2013-05-23,62,False
2013-05-24,56,False
2013-05-25,21,False
2013-05-26,24,False
2013-05-27,38,False
2013-05-28,50,False
2013-05-29,62,False
2013-05-30,62,False
2013-05-31,55,False
2013-06-01,34,False
2013-06-02,18,False
2013-06-03,44,False
2013-06-04,57,False
2013-06-05,51,False
2013-06-06,65,False
2013-06-07,48,False
2013-06-08,17,False
2013-06-09,20,False
2013-06-10,40,False
2013-06-11,64,False
2013-06-12,64,False
2013-06-13,61,False
2013-06-14,68,False
2013-06-15,33,False
2013-06-16,19,False
2013-06-17,62,False
2013-06-18,62,False
2013-06-19,54,False
2013-06-20,70,False
2013-06-21,60,False
2013-06-22,24,False
2013-06-23,34,False
2013-06-24,63,False
2013-06-25,81,False
2013-06-26,74,False
2013-06-27,71,False
2013-06-28,56,False
2013-06-29,23,False
2013-06-30,30,False
2013-07-01,59,False
2013-07-02,60,False
2013-07-03,77,False
2013-07-04,37,False
2013-07-05,46,False
2013-07-06,20,False
2013-07-07,32,False
2013-07-08,75,False
2013-07-09,71,False
2013-07-10,57,False
2013-07-11,62,False
2013-07-12,81,False
2013-07-13,29,False
2013-07-14,23,False
2013-07-15,61,False
2013-07-16,66,False
2013-07-17,64,False
2013-07-18,71,False
2013-07-19,48,False
2013-07-20,42,False
2013-07-21,19,False
2013-07-22,76,False
2013-07-23,72,False
2013-07-24,59,False
2013-07-25,71,False
2013-07-26,47,False
2013-07-27,40,False
2013-07-28,23,False
2013-07-29,53,False
2013-07-30,76,False
2013-07-31,71,False
2013-08-01,73,False
2013-08-02,66,False
2013-08-03,34,False
2013-08-04,28,False
2013-08-05,58,False
2013-08-06,78,False
2013-08-07,57,False
2013-08-08,61,False
2013-08-09,51,False
2013-08-10,30,False
2013-08-11,37,False
2013-08-12,50,False
2013-08-13,72,False
2013-08-14,61,False
2013-08-15,71,False
2013-08-16,74,False
2013-08-17,25,False
2013-08-18,34,False
2013-08-19,70,False
2013-08-20,56,False
2013-08-21,82,False
2013-08-22,75,False
2013-08-23,64,False
2013-08-24,30,False
2013-08-25,36,False
2013-08-26,64,False
2013-08-27,98,False
2013-08-28,85,False
2013-08-29,81,False
2013-08-30,63,False
2013-08-31,29,False
2013-09-01,28,False
2013-09-02,39,False
2013-09-03,78,False
2013-09-04,79,False
2013-09-05,69,False
2013-09-06,82,False
2013-09-07,29,False
2013-09-08,18,False
2013-09-09,77,False
2013-09-10,91,False
2013-09-11,88,False
2013-09-12,93,False
2013-09-13,74,False
2013-09-14,27,False
2013-09-15,42,False
2013-09-16,75,False
2013-09-17,78,False
2013-09-18,100,False
2013-09-19,74,False
2013-09-20,88,False
2013-09-21,27,False
2013-09-22,28,False
2013-09-23,79,False
2013-09-24,74,False
2013-09-25,91,False
2013-09-26,77,False
2013-09-27,75,False
2013-09-28,36,False
2013-09-29,34,False
2013-09-30,73,False
2013-10-01,79,False
2013-10-02,73,False
2013-10-03,71,False
2013-10-04,60,False
2013-10-05,29,False
2013-10-06,24,False
2013-10-07,92,False
2013-10-08,73,False
2013-10-09,76,False
2013-10-10,78,False
2013-10-11,61,False
2013-10-12,39,False
2013-10-13,31,False
2013-10-14,77,False
2013-10-15,81,False
2013-10-16,83,False
2013-10-17,77,False
2013-10-18,81,False
2013-10-19,32,False
2013-10-20,40,False
2013-10-21,77,False
2013-10-22,78,False
2013-10-23,80,False
2013-10-24,94,False
2013-10-25,82,False
2013-10-26,28,False
2013-10-27,30,False
2013-10-28,81,False
2013-10-29,85,False
2013-10-30,84,False
2013-10-31,64,False
2013-11-01,70,False
2013-11-02,35,False
2013-11-03,38,False
2013-11-04,93,False
2013-11-05,82,False
2013-11-06,84,False
