date,Workday,isPartial
2015-08-18,72,False
2015-08-19,71,False
2015-08-20,65,False
2015-08-21,75,False
2015-08-22,29,False
2015-08-23,29,False
2015-08-24,71,False
2015-08-25,67,False
2015-08-26,75,False
2015-08-27,78,False
2015-08-28,75,False
2015-08-29,30,False
2015-08-30,24,False
2015-08-31,63,False
2015-09-01,69,False
2015-09-02,84,False
2015-09-03,71,False
2015-09-04,67,False
2015-09-05,34,False
2015-09-06,23,False
2015-09-07,41,False
2015-09-08,60,False
2015-09-09,80,False
2015-09-10,79,False
2015-09-11,70,False
2015-09-12,28,False
2015-09-13,36,False
2015-09-14,71,False
2015-09-15,72,False
2015-09-16,81,False
2015-09-17,76,False
2015-09-18,78,False
2015-09-19,35,False
2015-09-20,37,False
2015-09-21,73,False
2015-09-22,83,False
2015-09-23,81,False
2015-09-24,79,False
2015-09-25,75,False
2015-09-26,35,False
2015-09-27,31,False
2015-09-28,85,False
2015-09-29,80,False
2015-09-30,87,False
2015-10-01,79,False
2015-10-02,79,False
2015-10-03,28,False
2015-10-04,40,False
2015-10-05,70,False
2015-10-06,77,False
2015-10-07,85,False
2015-10-08,80,False
2015-10-09,61,False
2015-10-10,32,False
2015-10-11,34,False
2015-10-12,62,False
2015-10-13,86,False
2015-10-14,72,False
2015-10-15,80,False
2015-10-16,75,False
2015-10-17,29,False
2015-10-18,33,False
2015-10-19,70,False
2015-10-20,72,False
2015-10-21,69,False
2015-10-22,69,False
2015-10-23,76,False
2015-10-24,30,False
2015-10-25,35,False
2015-10-26,85,False
2015-10-27,85,False
2015-10-28,74,False
2015-10-29,78,False
2015-10-30,76,False
2015-10-31,30,False
2015-11-01,36,False
2015-11-02,90,False
2015-11-03,72,False
2015-11-04,73,False
2015-11-05,82,False
2015-11-06,72,False
2015-11-07,45,False
2015-11-08,30,False
2015-11-09,75,False
2015-11-10,91,False
2015-11-11,77,False
2015-11-12,77,False
2015-11-13,85,False
2015-11-14,41,False
2015-11-15,34,False
2015-11-16,91,False
2015-11-17,60,False
2015-11-18,89,False
2015-11-19,94,False
2015-11-20,80,False
2015-11-21,38,False
2015-11-22,39,False
2015-11-23,81,False
2015-11-24,80,False
2015-11-25,56,False
2015-11-26,39,False
2015-11-27,47,False
2015-11-28,30,False
2015-11-29,27,False
