date,Netflix,isPartial
2011-01-01,82,False
2011-01-02,84,False
2011-01-03,65,False
2011-01-04,55,False
2011-01-05,56,False
2011-01-06,52,False
2011-01-07,55,False
2011-01-08,72,False
2011-01-09,74,False
2011-01-10,57,False
2011-01-11,54,False
2011-01-12,56,False
2011-01-13,51,False
2011-01-14,53,False
2011-01-15,75,False
2011-01-16,72,False
2011-01-17,62,False
2011-01-18,53,False
2011-01-19,53,False
2011-01-20,50,False
2011-01-21,53,False
2011-01-22,75,False
2011-01-23,75,False
2011-01-24,53,False
2011-01-25,51,False
2011-01-26,52,False
2011-01-27,53,False
2011-01-28,58,False
2011-01-29,76,False
2011-01-30,74,False
2011-01-31,62,False
2011-02-01,56,False
2011-02-02,57,False
2011-02-03,50,False
2011-02-04,56,False
2011-02-05,74,False
2011-02-06,69,False
2011-02-07,47,False
2011-02-08,49,False
2011-02-09,46,False
2011-02-10,45,False
2011-02-11,47,False
2011-02-12,66,False
2011-02-13,71,False
2011-02-14,47,False
2011-02-15,48,False
2011-02-16,46,False
2011-02-17,46,False
2011-02-18,49,False
2011-02-19,67,False
2011-02-20,75,False
2011-02-21,59,False
2011-02-22,51,False
2011-02-23,50,False
2011-02-24,49,False
2011-02-25,50,False
2011-02-26,72,False
2011-02-27,69,False
2011-02-28,52,False
2011-03-01,48,False
2011-03-02,47,False
2011-03-03,48,False
2011-03-04,53,False
2011-03-05,72,False
2011-03-06,80,False
2011-03-07,56,False
2011-03-08,51,False
2011-03-09,52,False
2011-03-10,48,False
2011-03-11,49,False
2011-03-12,59,False
2011-03-13,57,False
2011-03-14,46,False
2011-03-15,48,False
2011-03-16,49,False
2011-03-17,49,False
2011-03-18,51,False
2011-03-19,71,False
2011-03-20,77,False
2011-03-21,54,False
2011-03-22,67,False
2011-03-23,83,False
2011-03-24,53,False
2011-03-25,55,False
2011-03-26,76,False
2011-03-27,79,False
2011-03-28,56,False
2011-03-29,53,False
2011-03-30,52,False
2011-03-31,49,False
2011-04-01,55,False
2011-04-02,70,False
2011-04-03,75,False
2011-04-04,54,False
2011-04-05,51,False
2011-04-06,51,False
2011-04-07,48,False
2011-04-08,53,False
2011-04-09,77,False
2011-04-10,74,False
2011-04-11,49,False
2011-04-12,50,False
2011-04-13,53,False
2011-04-14,48,False
2011-04-15,52,False
2011-04-16,71,False
2011-04-17,73,False
2011-04-18,54,False
2011-04-19,54,False
2011-04-20,52,False
2011-04-21,54,False
2011-04-22,64,False
2011-04-23,76,False
2011-04-24,82,False
2011-04-25,62,False
2011-04-26,54,False
2011-04-27,49,False
2011-04-28,48,False
2011-04-29,50,False
2011-04-30,66,False
2011-05-01,76,False
2011-05-02,51,False
2011-05-03,48,False
2011-05-04,47,False
2011-05-05,46,False
2011-05-06,47,False
2011-05-07,68,False
2011-05-08,70,False
2011-05-09,52,False
2011-05-10,56,False
2011-05-11,47,False
2011-05-12,49,False
2011-05-13,55,False
2011-05-14,74,False
2011-05-15,79,False
2011-05-16,56,False
2011-05-17,55,False
2011-05-18,53,False
2011-05-19,53,False
2011-05-20,54,False
2011-05-21,72,False
2011-05-22,73,False
2011-05-23,61,False
2011-05-24,52,False
2011-05-25,51,False
2011-05-26,50,False
2011-05-27,57,False
2011-05-28,72,False
2011-05-29,78,False
2011-05-30,61,False
2011-05-31,56,False
2011-06-01,59,False
2011-06-02,60,False
2011-06-03,59,False
2011-06-04,74,False
2011-06-05,77,False
2011-06-06,55,False
2011-06-07,54,False
2011-06-08,55,False
2011-06-09,55,False
2011-06-10,57,False
2011-06-11,78,False
2011-06-12,78,False
2011-06-13,60,False
2011-06-14,69,False
2011-06-15,57,False
2011-06-16,57,False
2011-06-17,61,False
2011-06-18,75,False
2011-06-19,79,False
2011-06-20,95,False
2011-06-21,59,False
2011-06-22,61,False
2011-06-23,64,False
2011-06-24,64,False
2011-06-25,77,False
2011-06-26,79,False
2011-06-27,60,False
2011-06-28,58,False
2011-06-29,58,False
2011-06-30,61,False
