date,Netflix,isPartial
2013-02-19,62,False
2013-02-20,58,False
2013-02-21,58,False
2013-02-22,65,False
2013-02-23,87,False
2013-02-24,92,False
2013-02-25,62,False
2013-02-26,62,False
2013-02-27,58,False
2013-02-28,56,False
2013-03-01,63,False
2013-03-02,87,False
2013-03-03,90,False
2013-03-04,60,False
2013-03-05,58,False
2013-03-06,57,False
2013-03-07,58,False
2013-03-08,60,False
2013-03-09,84,False
2013-03-10,88,False
2013-03-11,62,False
2013-03-12,58,False
2013-03-13,55,False
2013-03-14,58,False
2013-03-15,60,False
2013-03-16,80,False
2013-03-17,86,False
2013-03-18,63,False
2013-03-19,61,False
2013-03-20,57,False
2013-03-21,58,False
2013-03-22,60,False
2013-03-23,84,False
2013-03-24,91,False
2013-03-25,66,False
2013-03-26,60,False
2013-03-27,60,False
2013-03-28,63,False
2013-03-29,75,False
2013-03-30,82,False
2013-03-31,89,False
2013-04-01,70,False
2013-04-02,65,False
2013-04-03,60,False
2013-04-04,58,False
2013-04-05,61,False
2013-04-06,78,False
2013-04-07,86,False
2013-04-08,59,False
2013-04-09,56,False
2013-04-10,56,False
2013-04-11,56,False
2013-04-12,61,False
2013-04-13,84,False
2013-04-14,87,False
2013-04-15,59,False
2013-04-16,56,False
2013-04-17,55,False
2013-04-18,55,False
2013-04-19,63,False
2013-04-20,80,False
2013-04-21,86,False
2013-04-22,60,False
2013-04-23,61,False
2013-04-24,58,False
2013-04-25,58,False
2013-04-26,58,False
2013-04-27,78,False
2013-04-28,86,False
2013-04-29,59,False
2013-04-30,55,False
2013-05-01,67,False
2013-05-02,58,False
2013-05-03,59,False
2013-05-04,77,False
2013-05-05,82,False
2013-05-06,59,False
2013-05-07,52,False
2013-05-08,52,False
2013-05-09,56,False
2013-05-10,57,False
2013-05-11,76,False
2013-05-12,79,False
2013-05-13,58,False
2013-05-14,55,False
2013-05-15,53,False
2013-05-16,52,False
2013-05-17,56,False
2013-05-18,76,False
2013-05-19,82,False
2013-05-20,60,False
2013-05-21,57,False
2013-05-22,57,False
2013-05-23,57,False
2013-05-24,64,False
2013-05-25,81,False
2013-05-26,96,False
2013-05-27,78,False
2013-05-28,72,False
2013-05-29,63,False
2013-05-30,66,False
2013-05-31,65,False
2013-06-01,84,False
2013-06-02,88,False
2013-06-03,65,False
2013-06-04,62,False
2013-06-05,60,False
2013-06-06,87,False
2013-06-07,66,False
2013-06-08,82,False
2013-06-09,86,False
2013-06-10,64,False
2013-06-11,61,False
2013-06-12,61,False
2013-06-13,61,False
2013-06-14,64,False
2013-06-15,93,False
2013-06-16,82,False
2013-06-17,62,False
2013-06-18,64,False
2013-06-19,60,False
2013-06-20,62,False
2013-06-21,63,False
2013-06-22,81,False
2013-06-23,85,False
2013-06-24,66,False
2013-06-25,63,False
2013-06-26,62,False
2013-06-27,61,False
2013-06-28,66,False
2013-06-29,80,False
2013-06-30,85,False
2013-07-01,67,False
2013-07-02,65,False
2013-07-03,63,False
2013-07-04,66,False
2013-07-05,64,False
2013-07-06,83,False
2013-07-07,90,False
2013-07-08,68,False
2013-07-09,66,False
2013-07-10,64,False
2013-07-11,65,False
2013-07-12,68,False
2013-07-13,85,False
2013-07-14,86,False
2013-07-15,69,False
2013-07-16,67,False
2013-07-17,66,False
2013-07-18,67,False
2013-07-19,71,False
2013-07-20,85,False
2013-07-21,92,False
2013-07-22,72,False
2013-07-23,70,False
2013-07-24,68,False
2013-07-25,67,False
2013-07-26,70,False
2013-07-27,89,False
2013-07-28,92,False
2013-07-29,72,False
2013-07-30,69,False
2013-07-31,71,False
2013-08-01,70,False
2013-08-02,72,False
2013-08-03,88,False
2013-08-04,95,False
2013-08-05,74,False
2013-08-06,72,False
2013-08-07,71,False
2013-08-08,70,False
2013-08-09,73,False
2013-08-10,93,False
2013-08-11,99,False
2013-08-12,78,False
2013-08-13,73,False
2013-08-14,70,False
2013-08-15,70,False
2013-08-16,70,False
2013-08-17,87,False
2013-08-18,96,False
2013-08-19,71,False
2013-08-20,66,False
2013-08-21,64,False
2013-08-22,65,False
2013-08-23,66,False
2013-08-24,88,False
2013-08-25,91,False
2013-08-26,70,False
2013-08-27,66,False
2013-08-28,63,False
2013-08-29,61,False
2013-08-30,67,False
2013-08-31,86,False
2013-09-01,92,False
2013-09-02,79,False
2013-09-03,66,False
2013-09-04,63,False
2013-09-05,61,False
2013-09-06,63,False
2013-09-07,90,False
2013-09-08,91,False
2013-09-09,63,False
2013-09-10,61,False
2013-09-11,70,False
2013-09-12,66,False
2013-09-13,68,False
2013-09-14,90,False
2013-09-15,96,False
2013-09-16,69,False
2013-09-17,64,False
2013-09-18,61,False
2013-09-19,60,False
2013-09-20,66,False
2013-09-21,92,False
2013-09-22,92,False
2013-09-23,70,False
