date,Hasbro,isPartial
2013-06-29,40,False
2013-06-30,45,False
2013-07-01,32,False
2013-07-02,36,False
2013-07-03,45,False
2013-07-04,39,False
2013-07-05,36,False
2013-07-06,52,False
2013-07-07,43,False
2013-07-08,40,False
2013-07-09,42,False
2013-07-10,40,False
2013-07-11,32,False
2013-07-12,43,False
2013-07-13,44,False
2013-07-14,40,False
2013-07-15,39,False
2013-07-16,38,False
2013-07-17,49,False
2013-07-18,51,False
2013-07-19,53,False
2013-07-20,62,False
2013-07-21,60,False
2013-07-22,64,False
2013-07-23,55,False
2013-07-24,65,False
2013-07-25,52,False
2013-07-26,46,False
2013-07-27,57,False
2013-07-28,65,False
2013-07-29,53,False
2013-07-30,51,False
2013-07-31,52,False
2013-08-01,46,False
2013-08-02,47,False
2013-08-03,45,False
2013-08-04,46,False
2013-08-05,48,False
2013-08-06,50,False
2013-08-07,38,False
2013-08-08,46,False
2013-08-09,46,False
2013-08-10,33,False
2013-08-11,49,False
2013-08-12,39,False
2013-08-13,33,False
2013-08-14,37,False
2013-08-15,46,False
2013-08-16,41,False
2013-08-17,40,False
2013-08-18,48,False
2013-08-19,34,False
2013-08-20,31,False
2013-08-21,34,False
2013-08-22,33,False
2013-08-23,44,False
2013-08-24,33,False
2013-08-25,45,False
2013-08-26,35,False
2013-08-27,32,False
2013-08-28,32,False
2013-08-29,39,False
2013-08-30,31,False
2013-08-31,40,False
2013-09-01,44,False
2013-09-02,36,False
2013-09-03,37,False
2013-09-04,33,False
2013-09-05,41,False
2013-09-06,32,False
2013-09-07,43,False
2013-09-08,40,False
2013-09-09,39,False
2013-09-10,33,False
2013-09-11,35,False
2013-09-12,30,False
2013-09-13,36,False
2013-09-14,43,False
2013-09-15,41,False
2013-09-16,33,False
2013-09-17,37,False
2013-09-18,35,False
2013-09-19,30,False
2013-09-20,27,False
2013-09-21,39,False
2013-09-22,38,False
2013-09-23,41,False
2013-09-24,35,False
2013-09-25,31,False
2013-09-26,31,False
2013-09-27,38,False
2013-09-28,45,False
2013-09-29,44,False
2013-09-30,38,False
2013-10-01,42,False
2013-10-02,29,False
2013-10-03,40,False
2013-10-04,42,False
2013-10-05,38,False
2013-10-06,48,False
2013-10-07,43,False
2013-10-08,35,False
2013-10-09,35,False
2013-10-10,39,False
2013-10-11,50,False
2013-10-12,53,False
2013-10-13,48,False
2013-10-14,43,False
2013-10-15,40,False
2013-10-16,35,False
2013-10-17,40,False
2013-10-18,35,False
2013-10-19,48,False
2013-10-20,47,False
2013-10-21,44,False
2013-10-22,38,False
2013-10-23,44,False
2013-10-24,47,False
2013-10-25,44,False
2013-10-26,54,False
2013-10-27,47,False
2013-10-28,44,False
2013-10-29,41,False
2013-10-30,45,False
2013-10-31,42,False
2013-11-01,39,False
2013-11-02,52,False
2013-11-03,49,False
2013-11-04,51,False
2013-11-05,48,False
2013-11-06,46,False
2013-11-07,51,False
2013-11-08,46,False
2013-11-09,63,False
2013-11-10,65,False
2013-11-11,54,False
2013-11-12,50,False
2013-11-13,53,False
2013-11-14,53,False
2013-11-15,51,False
2013-11-16,62,False
2013-11-17,67,False
