date,Hasbro,isPartial
2012-06-04,36,False
2012-06-05,36,False
2012-06-06,30,False
2012-06-07,36,False
2012-06-08,34,False
2012-06-09,35,False
2012-06-10,41,False
2012-06-11,26,False
2012-06-12,35,False
2012-06-13,34,False
2012-06-14,32,False
2012-06-15,40,False
2012-06-16,40,False
2012-06-17,31,False
2012-06-18,28,False
2012-06-19,33,False
2012-06-20,31,False
2012-06-21,30,False
2012-06-22,40,False
2012-06-23,42,False
2012-06-24,39,False
2012-06-25,34,False
2012-06-26,34,False
2012-06-27,37,False
2012-06-28,34,False
2012-06-29,37,False
2012-06-30,40,False
2012-07-01,42,False
2012-07-02,40,False
2012-07-03,41,False
2012-07-04,35,False
2012-07-05,36,False
2012-07-06,36,False
2012-07-07,43,False
2012-07-08,46,False
2012-07-09,49,False
2012-07-10,42,False
2012-07-11,43,False
2012-07-12,41,False
2012-07-13,45,False
2012-07-14,52,False
2012-07-15,54,False
2012-07-16,45,False
2012-07-17,44,False
2012-07-18,45,False
2012-07-19,47,False
2012-07-20,46,False
2012-07-21,55,False
2012-07-22,47,False
2012-07-23,49,False
2012-07-24,39,False
2012-07-25,42,False
2012-07-26,49,False
2012-07-27,42,False
2012-07-28,48,False
2012-07-29,38,False
2012-07-30,45,False
2012-07-31,44,False
2012-08-01,45,False
2012-08-02,34,False
2012-08-03,45,False
2012-08-04,44,False
2012-08-05,38,False
2012-08-06,45,False
2012-08-07,48,False
2012-08-08,43,False
2012-08-09,40,False
2012-08-10,37,False
2012-08-11,49,False
2012-08-12,46,False
2012-08-13,32,False
2012-08-14,43,False
2012-08-15,36,False
2012-08-16,36,False
2012-08-17,39,False
2012-08-18,32,False
2012-08-19,46,False
2012-08-20,46,False
2012-08-21,47,False
2012-08-22,38,False
2012-08-23,34,False
2012-08-24,36,False
2012-08-25,48,False
2012-08-26,49,False
2012-08-27,46,False
2012-08-28,32,False
2012-08-29,38,False
2012-08-30,42,False
2012-08-31,41,False
2012-09-01,48,False
2012-09-02,47,False
2012-09-03,34,False
2012-09-04,35,False
2012-09-05,35,False
2012-09-06,42,False
2012-09-07,40,False
2012-09-08,43,False
2012-09-09,45,False
2012-09-10,38,False
2012-09-11,34,False
2012-09-12,37,False
2012-09-13,35,False
2012-09-14,28,False
2012-09-15,44,False
2012-09-16,50,False
2012-09-17,39,False
2012-09-18,35,False
2012-09-19,32,False
2012-09-20,37,False
2012-09-21,31,False
2012-09-22,38,False
2012-09-23,45,False
2012-09-24,42,False
2012-09-25,33,False
2012-09-26,39,False
2012-09-27,36,False
2012-09-28,42,False
2012-09-29,48,False
2012-09-30,45,False
2012-10-01,42,False
2012-10-02,41,False
2012-10-03,39,False
2012-10-04,33,False
2012-10-05,37,False
2012-10-06,44,False
2012-10-07,50,False
2012-10-08,41,False
2012-10-09,40,False
2012-10-10,42,False
2012-10-11,40,False
2012-10-12,42,False
2012-10-13,43,False
2012-10-14,47,False
2012-10-15,43,False
2012-10-16,47,False
2012-10-17,46,False
2012-10-18,46,False
2012-10-19,43,False
2012-10-20,51,False
2012-10-21,45,False
2012-10-22,42,False
2012-10-23,38,False
2012-10-24,35,False
2012-10-25,39,False
2012-10-26,43,False
2012-10-27,59,False
2012-10-28,56,False
2012-10-29,42,False
2012-10-30,38,False
2012-10-31,52,False
2012-11-01,51,False
2012-11-02,52,False
2012-11-03,63,False
2012-11-04,58,False
2012-11-05,53,False
2012-11-06,62,False
2012-11-07,59,False
2012-11-08,64,False
2012-11-09,59,False
2012-11-10,67,False
2012-11-11,73,False
2012-11-12,63,False
2012-11-13,51,False
2012-11-14,52,False
2012-11-15,59,False
2012-11-16,53,False
2012-11-17,58,False
2012-11-18,76,False
2012-11-19,65,False
2012-11-20,52,False
2012-11-21,66,False
2012-11-22,62,False
2012-11-23,65,False
2012-11-24,84,False
2012-11-25,77,False
2012-11-26,74,False
2012-11-27,68,False
2012-11-28,70,False
2012-11-29,63,False
2012-11-30,63,False
2012-12-01,81,False
2012-12-02,79,False
2012-12-03,71,False
2012-12-04,74,False
2012-12-05,91,False
2012-12-06,85,False
2012-12-07,78,False
2012-12-08,84,False
2012-12-09,100,False
2012-12-10,85,False
2012-12-11,81,False
2012-12-12,66,False
2012-12-13,67,False
2012-12-14,87,False
2012-12-15,74,False
2012-12-16,80,False
2012-12-17,66,False
2012-12-18,68,False
2012-12-19,68,False
2012-12-20,57,False
2012-12-21,50,False
2012-12-22,70,False
2012-12-23,61,False
2012-12-24,52,False
2012-12-25,87,False
2012-12-26,73,False
2012-12-27,69,False
2012-12-28,52,False
2012-12-29,58,False
2012-12-30,66,False
2012-12-31,44,False
2013-01-01,55,False
2013-01-02,53,False
2013-01-03,57,False
2013-01-04,48,False
2013-01-05,57,False
2013-01-06,62,False
2013-01-07,37,False
2013-01-08,34,False
2013-01-09,40,False
2013-01-10,52,False
2013-01-11,50,False
2013-01-12,44,False
2013-01-13,45,False
2013-01-14,37,False
2013-01-15,32,False
2013-01-16,29,False
2013-01-17,30,False
2013-01-18,30,False
2013-01-19,38,False
2013-01-20,42,False
2013-01-21,43,False
2013-01-22,34,False
2013-01-23,31,False
2013-01-24,31,False
2013-01-25,43,False
2013-01-26,46,False
2013-01-27,40,False
2013-01-28,31,False
2013-01-29,29,False
2013-01-30,35,False
2013-01-31,34,False
2013-02-01,33,False
2013-02-02,41,False
2013-02-03,38,False
2013-02-04,35,False
2013-02-05,40,False
2013-02-06,38,False
2013-02-07,30,False
2013-02-08,29,False
2013-02-09,64,False
2013-02-10,50,False
2013-02-11,46,False
2013-02-12,44,False
2013-02-13,37,False
2013-02-14,30,False
2013-02-15,38,False
2013-02-16,44,False
2013-02-17,49,False
2013-02-18,32,False
2013-02-19,38,False
