date,Take-Two,isPartial
2017-01-19,7,False
2017-01-20,0,False
2017-01-21,8,False
2017-01-22,0,False
2017-01-23,7,False
2017-01-24,14,False
2017-01-25,7,False
2017-01-26,7,False
2017-01-27,0,False
2017-01-28,16,False
2017-01-29,0,False
2017-01-30,7,False
2017-01-31,0,False
2017-02-01,37,False
2017-02-02,17,False
2017-02-03,7,False
2017-02-04,0,False
2017-02-05,8,False
2017-02-06,10,False
2017-02-07,13,False
2017-02-08,14,False
2017-02-09,24,False
2017-02-10,21,False
2017-02-11,0,False
2017-02-12,16,False
2017-02-13,10,False
2017-02-14,10,False
2017-02-15,10,False
2017-02-16,14,False
2017-02-17,7,False
2017-02-18,8,False
2017-02-19,8,False
2017-02-20,14,False
2017-02-21,13,False
2017-02-22,7,False
2017-02-23,14,False
2017-02-24,0,False
2017-02-25,8,False
2017-02-26,8,False
2017-02-27,7,False
2017-02-28,10,False
2017-03-01,0,False
2017-03-02,13,False
2017-03-03,7,False
2017-03-04,8,False
2017-03-05,8,False
2017-03-06,6,False
2017-03-07,0,False
2017-03-08,27,False
2017-03-09,20,False
2017-03-10,7,False
2017-03-11,8,False
2017-03-12,15,False
2017-03-13,0,False
2017-03-14,7,False
2017-03-15,7,False
2017-03-16,7,False
2017-03-17,7,False
2017-03-18,8,False
2017-03-19,11,False
2017-03-20,7,False
2017-03-21,10,False
2017-03-22,7,False
2017-03-23,7,False
2017-03-24,7,False
2017-03-25,0,False
2017-03-26,8,False
2017-03-27,7,False
2017-03-28,14,False
2017-03-29,7,False
2017-03-30,14,False
2017-03-31,11,False
2017-04-01,0,False
2017-04-02,16,False
2017-04-03,0,False
2017-04-04,13,False
2017-04-05,0,False
2017-04-06,7,False
2017-04-07,7,False
2017-04-08,0,False
2017-04-09,0,False
2017-04-10,0,False
2017-04-11,7,False
2017-04-12,7,False
2017-04-13,7,False
2017-04-14,8,False
2017-04-15,8,False
2017-04-16,8,False
2017-04-17,7,False
2017-04-18,7,False
2017-04-19,10,False
2017-04-20,0,False
2017-04-21,18,False
2017-04-22,16,False
2017-04-23,15,False
2017-04-24,14,False
2017-04-25,7,False
2017-04-26,20,False
2017-04-27,7,False
2017-04-28,11,False
2017-04-29,0,False
2017-04-30,16,False
2017-05-01,11,False
2017-05-02,7,False
2017-05-03,7,False
2017-05-04,7,False
2017-05-05,14,False
2017-05-06,23,False
2017-05-07,23,False
2017-05-08,14,False
2017-05-09,0,False
2017-05-10,10,False
2017-05-11,7,False
2017-05-12,7,False
2017-05-13,0,False
2017-05-14,0,False
2017-05-15,7,False
2017-05-16,0,False
2017-05-17,11,False
2017-05-18,0,False
2017-05-19,23,False
2017-05-20,9,False
2017-05-21,0,False
2017-05-22,14,False
2017-05-23,25,False
2017-05-24,15,False
2017-05-25,19,False
2017-05-26,23,False
2017-05-27,9,False
2017-05-28,9,False
2017-05-29,8,False
2017-05-30,18,False
2017-05-31,71,False
2017-06-01,37,False
2017-06-02,23,False
2017-06-03,13,False
2017-06-04,17,False
2017-06-05,50,False
2017-06-06,28,False
2017-06-07,21,False
2017-06-08,21,False
2017-06-09,15,False
2017-06-10,9,False
2017-06-11,8,False
2017-06-12,18,False
2017-06-13,28,False
2017-06-14,25,False
2017-06-15,100,False
2017-06-16,72,False
2017-06-17,70,False
2017-06-18,30,False
2017-06-19,25,False
2017-06-20,34,False
2017-06-21,17,False
2017-06-22,46,False
2017-06-23,29,False
2017-06-24,17,False
2017-06-25,42,False
2017-06-26,41,False
2017-06-27,22,False
2017-06-28,7,False
2017-06-29,19,False
2017-06-30,8,False
2017-07-01,9,False
2017-07-02,0,False
2017-07-03,15,False
2017-07-04,15,False
2017-07-05,11,False
