date,Take-Two,isPartial
2012-01-26,0,False
2012-01-27,22,False
2012-01-28,0,False
2012-01-29,0,False
2012-01-30,31,False
2012-01-31,21,False
2012-02-01,0,False
2012-02-02,21,False
2012-02-03,55,False
2012-02-04,0,False
2012-02-05,0,False
2012-02-06,21,False
2012-02-07,21,False
2012-02-08,0,False
2012-02-09,0,False
2012-02-10,0,False
2012-02-11,25,False
2012-02-12,24,False
2012-02-13,21,False
2012-02-14,21,False
2012-02-15,0,False
2012-02-16,0,False
2012-02-17,33,False
2012-02-18,0,False
2012-02-19,26,False
2012-02-20,0,False
2012-02-21,21,False
2012-02-22,21,False
2012-02-23,0,False
2012-02-24,43,False
2012-02-25,0,False
2012-02-26,25,False
2012-02-27,0,False
2012-02-28,0,False
2012-02-29,0,False
2012-03-01,0,False
2012-03-02,23,False
2012-03-03,0,False
2012-03-04,26,False
2012-03-05,0,False
2012-03-06,0,False
2012-03-07,0,False
2012-03-08,0,False
2012-03-09,44,False
2012-03-10,25,False
2012-03-11,25,False
2012-03-12,21,False
2012-03-13,21,False
2012-03-14,0,False
2012-03-15,0,False
2012-03-16,0,False
2012-03-17,0,False
2012-03-18,0,False
2012-03-19,21,False
2012-03-20,0,False
2012-03-21,0,False
2012-03-22,42,False
2012-03-23,0,False
2012-03-24,0,False
2012-03-25,0,False
2012-03-26,21,False
2012-03-27,0,False
2012-03-28,42,False
2012-03-29,21,False
2012-03-30,0,False
2012-03-31,0,False
2012-04-01,0,False
2012-04-02,21,False
2012-04-03,0,False
2012-04-04,21,False
2012-04-05,33,False
2012-04-06,73,False
2012-04-07,40,False
2012-04-08,41,False
2012-04-09,0,False
2012-04-10,22,False
2012-04-11,21,False
2012-04-12,0,False
2012-04-13,22,False
2012-04-14,50,False
2012-04-15,0,False
2012-04-16,21,False
2012-04-17,0,False
2012-04-18,0,False
2012-04-19,21,False
2012-04-20,22,False
2012-04-21,25,False
2012-04-22,24,False
2012-04-23,20,False
2012-04-24,20,False
2012-04-25,0,False
2012-04-26,63,False
2012-04-27,22,False
2012-04-28,0,False
2012-04-29,26,False
2012-04-30,22,False
2012-05-01,23,False
2012-05-02,21,False
2012-05-03,0,False
2012-05-04,22,False
2012-05-05,25,False
2012-05-06,25,False
2012-05-07,0,False
2012-05-08,20,False
2012-05-09,20,False
2012-05-10,21,False
2012-05-11,43,False
2012-05-12,0,False
2012-05-13,0,False
2012-05-14,20,False
2012-05-15,41,False
2012-05-16,31,False
2012-05-17,0,False
2012-05-18,0,False
2012-05-19,26,False
2012-05-20,0,False
2012-05-21,20,False
2012-05-22,20,False
2012-05-23,63,False
2012-05-24,0,False
2012-05-25,22,False
2012-05-26,52,False
2012-05-27,26,False
2012-05-28,0,False
2012-05-29,0,False
2012-05-30,21,False
2012-05-31,21,False
2012-06-01,22,False
2012-06-02,0,False
2012-06-03,0,False
2012-06-04,30,False
2012-06-05,40,False
2012-06-06,40,False
2012-06-07,42,False
2012-06-08,43,False
2012-06-09,25,False
2012-06-10,24,False
2012-06-11,0,False
2012-06-12,20,False
2012-06-13,0,False
2012-06-14,42,False
2012-06-15,22,False
2012-06-16,25,False
2012-06-17,0,False
2012-06-18,20,False
2012-06-19,30,False
2012-06-20,0,False
2012-06-21,31,False
2012-06-22,22,False
2012-06-23,26,False
2012-06-24,25,False
2012-06-25,40,False
2012-06-26,0,False
2012-06-27,0,False
2012-06-28,42,False
2012-06-29,0,False
2012-06-30,0,False
2012-07-01,0,False
2012-07-02,0,False
2012-07-03,41,False
2012-07-04,0,False
2012-07-05,0,False
2012-07-06,0,False
2012-07-07,0,False
2012-07-08,0,False
2012-07-09,21,False
2012-07-10,20,False
2012-07-11,0,False
2012-07-12,0,False
2012-07-13,44,False
2012-07-14,26,False
2012-07-15,0,False
2012-07-16,41,False
2012-07-17,41,False
2012-07-18,31,False
2012-07-19,0,False
2012-07-20,44,False
2012-07-21,0,False
2012-07-22,26,False
2012-07-23,0,False
2012-07-24,21,False
2012-07-25,21,False
2012-07-26,0,False
2012-07-27,66,False
2012-07-28,0,False
2012-07-29,0,False
2012-07-30,21,False
2012-07-31,62,False
2012-08-01,62,False
2012-08-02,32,False
2012-08-03,22,False
2012-08-04,26,False
2012-08-05,26,False
2012-08-06,0,False
2012-08-07,21,False
2012-08-08,0,False
2012-08-09,0,False
2012-08-10,0,False
2012-08-11,0,False
2012-08-12,0,False
2012-08-13,0,False
2012-08-14,21,False
2012-08-15,0,False
2012-08-16,0,False
2012-08-17,0,False
2012-08-18,26,False
2012-08-19,0,False
2012-08-20,21,False
2012-08-21,0,False
2012-08-22,21,False
2012-08-23,21,False
2012-08-24,0,False
2012-08-25,0,False
2012-08-26,0,False
2012-08-27,20,False
2012-08-28,0,False
2012-08-29,0,False
2012-08-30,21,False
2012-08-31,0,False
2012-09-01,0,False
2012-09-02,0,False
2012-09-03,21,False
2012-09-04,20,False
2012-09-05,20,False
2012-09-06,31,False
2012-09-07,21,False
2012-09-08,0,False
2012-09-09,24,False
2012-09-10,40,False
2012-09-11,20,False
2012-09-12,0,False
2012-09-13,20,False
2012-09-14,21,False
2012-09-15,0,False
2012-09-16,24,False
2012-09-17,20,False
2012-09-18,0,False
2012-09-19,0,False
2012-09-20,100,False
2012-09-21,0,False
2012-09-22,36,False
2012-09-23,23,False
2012-09-24,39,False
2012-09-25,0,False
2012-09-26,20,False
2012-09-27,0,False
2012-09-28,52,False
2012-09-29,0,False
2012-09-30,0,False
2012-10-01,29,False
2012-10-02,19,False
2012-10-03,20,False
2012-10-04,0,False
2012-10-05,0,False
2012-10-06,23,False
2012-10-07,0,False
2012-10-08,19,False
2012-10-09,19,False
2012-10-10,57,False
2012-10-11,39,False
2012-10-12,20,False
