date,Wynn,isPartial
2014-07-24,67,False
2014-07-25,75,False
2014-07-26,80,False
2014-07-27,70,False
2014-07-28,68,False
2014-07-29,82,False
2014-07-30,67,False
2014-07-31,69,False
2014-08-01,73,False
2014-08-02,67,False
2014-08-03,70,False
2014-08-04,74,False
2014-08-05,83,False
2014-08-06,84,False
2014-08-07,54,False
2014-08-08,59,False
2014-08-09,57,False
2014-08-10,66,False
2014-08-11,64,False
2014-08-12,68,False
2014-08-13,64,False
2014-08-14,73,False
2014-08-15,72,False
2014-08-16,71,False
2014-08-17,73,False
2014-08-18,69,False
2014-08-19,61,False
2014-08-20,60,False
2014-08-21,62,False
2014-08-22,72,False
2014-08-23,69,False
2014-08-24,54,False
2014-08-25,55,False
2014-08-26,61,False
2014-08-27,68,False
2014-08-28,48,False
2014-08-29,63,False
2014-08-30,60,False
2014-08-31,68,False
2014-09-01,64,False
2014-09-02,61,False
2014-09-03,61,False
2014-09-04,58,False
2014-09-05,66,False
2014-09-06,68,False
2014-09-07,51,False
2014-09-08,60,False
2014-09-09,65,False
2014-09-10,52,False
2014-09-11,67,False
2014-09-12,55,False
2014-09-13,52,False
2014-09-14,54,False
2014-09-15,64,False
2014-09-16,63,False
2014-09-17,66,False
2014-09-18,74,False
2014-09-19,61,False
2014-09-20,56,False
2014-09-21,53,False
2014-09-22,71,False
2014-09-23,56,False
2014-09-24,56,False
2014-09-25,54,False
2014-09-26,59,False
2014-09-27,50,False
2014-09-28,63,False
2014-09-29,56,False
2014-09-30,56,False
2014-10-01,72,False
2014-10-02,59,False
2014-10-03,67,False
2014-10-04,59,False
2014-10-05,59,False
2014-10-06,53,False
2014-10-07,55,False
2014-10-08,58,False
2014-10-09,48,False
2014-10-10,66,False
2014-10-11,46,False
2014-10-12,57,False
2014-10-13,61,False
2014-10-14,57,False
2014-10-15,55,False
2014-10-16,60,False
2014-10-17,59,False
2014-10-18,56,False
2014-10-19,55,False
2014-10-20,53,False
2014-10-21,58,False
2014-10-22,56,False
2014-10-23,64,False
2014-10-24,54,False
2014-10-25,57,False
2014-10-26,55,False
2014-10-27,56,False
2014-10-28,54,False
2014-10-29,52,False
2014-10-30,48,False
2014-10-31,48,False
2014-11-01,65,False
2014-11-02,50,False
2014-11-03,57,False
2014-11-04,54,False
2014-11-05,66,False
2014-11-06,64,False
2014-11-07,59,False
2014-11-08,58,False
2014-11-09,68,False
2014-11-10,65,False
2014-11-11,69,False
2014-11-12,63,False
2014-11-13,51,False
2014-11-14,52,False
2014-11-15,45,False
2014-11-16,51,False
2014-11-17,56,False
2014-11-18,46,False
2014-11-19,54,False
2014-11-20,56,False
2014-11-21,61,False
2014-11-22,55,False
2014-11-23,53,False
2014-11-24,55,False
2014-11-25,55,False
2014-11-26,61,False
2014-11-27,57,False
2014-11-28,37,False
2014-11-29,55,False
2014-11-30,38,False
2014-12-01,57,False
2014-12-02,52,False
2014-12-03,48,False
2014-12-04,56,False
2014-12-05,49,False
2014-12-06,54,False
2014-12-07,48,False
2014-12-08,55,False
2014-12-09,57,False
2014-12-10,52,False
2014-12-11,53,False
2014-12-12,53,False
2014-12-13,54,False
2014-12-14,45,False
2014-12-15,67,False
2014-12-16,48,False
2014-12-17,49,False
2014-12-18,68,False
2014-12-19,43,False
2014-12-20,61,False
2014-12-21,55,False
2014-12-22,61,False
2014-12-23,65,False
2014-12-24,57,False
2014-12-25,45,False
2014-12-26,68,False
2014-12-27,58,False
2014-12-28,58,False
2014-12-29,71,False
2014-12-30,58,False
2014-12-31,65,False
2015-01-01,56,False
2015-01-02,68,False
2015-01-03,61,False
2015-01-04,58,False
2015-01-05,68,False
2015-01-06,61,False
2015-01-07,74,False
2015-01-08,62,False
2015-01-09,67,False
2015-01-10,65,False
2015-01-11,54,False
2015-01-12,67,False
2015-01-13,58,False
2015-01-14,58,False
2015-01-15,68,False
2015-01-16,68,False
2015-01-17,56,False
2015-01-18,79,False
2015-01-19,87,False
2015-01-20,96,False
2015-01-21,91,False
2015-01-22,83,False
2015-01-23,81,False
2015-01-24,69,False
2015-01-25,73,False
2015-01-26,100,False
2015-01-27,97,False
2015-01-28,69,False
2015-01-29,61,False
2015-01-30,69,False
2015-01-31,57,False
2015-02-01,50,False
2015-02-02,58,False
2015-02-03,61,False
2015-02-04,68,False
2015-02-05,66,False
2015-02-06,64,False
2015-02-07,51,False
2015-02-08,60,False
2015-02-09,72,False
2015-02-10,71,False
2015-02-11,59,False
2015-02-12,67,False
2015-02-13,58,False
2015-02-14,63,False
2015-02-15,62,False
2015-02-16,60,False
2015-02-17,58,False
2015-02-18,61,False
2015-02-19,53,False
2015-02-20,68,False
2015-02-21,61,False
2015-02-22,56,False
2015-02-23,51,False
2015-02-24,60,False
2015-02-25,63,False
2015-02-26,63,False
2015-02-27,62,False
2015-02-28,54,False
2015-03-01,59,False
2015-03-02,67,False
2015-03-03,66,False
2015-03-04,72,False
2015-03-05,54,False
2015-03-06,67,False
2015-03-07,61,False
2015-03-08,69,False
2015-03-09,70,False
2015-03-10,69,False
2015-03-11,71,False
2015-03-12,61,False
2015-03-13,77,False
2015-03-14,61,False
2015-03-15,67,False
2015-03-16,63,False
2015-03-17,66,False
2015-03-18,66,False
2015-03-19,61,False
2015-03-20,69,False
2015-03-21,61,False
2015-03-22,62,False
2015-03-23,65,False
2015-03-24,72,False
2015-03-25,52,False
2015-03-26,68,False
2015-03-27,61,False
2015-03-28,57,False
2015-03-29,61,False
2015-03-30,73,False
2015-03-31,66,False
2015-04-01,67,False
2015-04-02,70,False
2015-04-03,61,False
2015-04-04,65,False
2015-04-05,58,False
2015-04-06,74,False
2015-04-07,76,False
2015-04-08,67,False
2015-04-09,73,False
2015-04-10,65,False
