date,Wynn,isPartial
2012-01-26,63,False
2012-01-27,64,False
2012-01-28,54,False
2012-01-29,53,False
2012-01-30,54,False
2012-01-31,59,False
2012-02-01,60,False
2012-02-02,62,False
2012-02-03,68,False
2012-02-04,55,False
2012-02-05,47,False
2012-02-06,64,False
2012-02-07,74,False
2012-02-08,59,False
2012-02-09,55,False
2012-02-10,62,False
2012-02-11,57,False
2012-02-12,56,False
2012-02-13,58,False
2012-02-14,68,False
2012-02-15,63,False
2012-02-16,54,False
2012-02-17,56,False
2012-02-18,61,False
2012-02-19,72,False
2012-02-20,78,False
2012-02-21,80,False
2012-02-22,60,False
2012-02-23,71,False
2012-02-24,76,False
2012-02-25,47,False
2012-02-26,54,False
2012-02-27,63,False
2012-02-28,64,False
2012-02-29,58,False
2012-03-01,81,False
2012-03-02,85,False
2012-03-03,72,False
2012-03-04,67,False
2012-03-05,60,False
2012-03-06,64,False
2012-03-07,65,False
2012-03-08,72,False
2012-03-09,60,False
2012-03-10,53,False
2012-03-11,58,False
2012-03-12,65,False
2012-03-13,79,False
2012-03-14,59,False
2012-03-15,62,False
2012-03-16,63,False
2012-03-17,57,False
2012-03-18,67,False
2012-03-19,62,False
2012-03-20,64,False
2012-03-21,65,False
2012-03-22,62,False
2012-03-23,64,False
2012-03-24,58,False
2012-03-25,48,False
2012-03-26,52,False
2012-03-27,57,False
2012-03-28,67,False
2012-03-29,62,False
2012-03-30,61,False
2012-03-31,52,False
2012-04-01,64,False
2012-04-02,62,False
2012-04-03,57,False
2012-04-04,56,False
2012-04-05,62,False
2012-04-06,65,False
2012-04-07,53,False
2012-04-08,53,False
2012-04-09,61,False
2012-04-10,57,False
2012-04-11,56,False
2012-04-12,67,False
2012-04-13,64,False
2012-04-14,71,False
2012-04-15,58,False
2012-04-16,57,False
2012-04-17,63,False
2012-04-18,63,False
2012-04-19,64,False
2012-04-20,61,False
2012-04-21,50,False
2012-04-22,66,False
2012-04-23,67,False
2012-04-24,69,False
2012-04-25,45,False
2012-04-26,61,False
2012-04-27,53,False
2012-04-28,66,False
2012-04-29,51,False
2012-04-30,63,False
2012-05-01,66,False
2012-05-02,71,False
2012-05-03,58,False
2012-05-04,55,False
2012-05-05,55,False
2012-05-06,51,False
2012-05-07,60,False
2012-05-08,62,False
2012-05-09,58,False
2012-05-10,60,False
2012-05-11,57,False
2012-05-12,52,False
2012-05-13,56,False
2012-05-14,64,False
2012-05-15,55,False
2012-05-16,62,False
2012-05-17,67,False
2012-05-18,65,False
2012-05-19,56,False
2012-05-20,55,False
2012-05-21,63,False
2012-05-22,72,False
2012-05-23,61,False
2012-05-24,58,False
2012-05-25,55,False
2012-05-26,51,False
2012-05-27,42,False
2012-05-28,59,False
2012-05-29,56,False
2012-05-30,49,False
2012-05-31,61,False
2012-06-01,55,False
2012-06-02,54,False
2012-06-03,54,False
2012-06-04,54,False
2012-06-05,60,False
2012-06-06,62,False
2012-06-07,57,False
2012-06-08,53,False
2012-06-09,53,False
2012-06-10,63,False
2012-06-11,63,False
2012-06-12,67,False
2012-06-13,56,False
2012-06-14,55,False
2012-06-15,47,False
2012-06-16,52,False
2012-06-17,65,False
2012-06-18,59,False
2012-06-19,57,False
2012-06-20,60,False
2012-06-21,53,False
2012-06-22,64,False
2012-06-23,59,False
2012-06-24,49,False
2012-06-25,66,False
2012-06-26,71,False
2012-06-27,72,False
2012-06-28,67,False
2012-06-29,65,False
2012-06-30,62,False
2012-07-01,70,False
2012-07-02,66,False
2012-07-03,76,False
2012-07-04,61,False
2012-07-05,57,False
2012-07-06,58,False
2012-07-07,52,False
2012-07-08,67,False
2012-07-09,65,False
2012-07-10,71,False
2012-07-11,76,False
2012-07-12,66,False
2012-07-13,76,False
2012-07-14,66,False
2012-07-15,57,False
2012-07-16,67,False
2012-07-17,62,False
2012-07-18,71,False
2012-07-19,66,False
2012-07-20,61,False
2012-07-21,53,False
2012-07-22,55,False
2012-07-23,61,False
2012-07-24,65,False
2012-07-25,57,False
2012-07-26,64,False
2012-07-27,54,False
2012-07-28,41,False
2012-07-29,39,False
2012-07-30,50,False
2012-07-31,62,False
2012-08-01,58,False
2012-08-02,52,False
2012-08-03,45,False
2012-08-04,61,False
2012-08-05,55,False
2012-08-06,57,False
2012-08-07,56,False
2012-08-08,54,False
2012-08-09,52,False
2012-08-10,58,False
2012-08-11,57,False
2012-08-12,53,False
2012-08-13,60,False
2012-08-14,55,False
2012-08-15,67,False
2012-08-16,61,False
2012-08-17,61,False
2012-08-18,59,False
2012-08-19,78,False
2012-08-20,69,False
2012-08-21,56,False
2012-08-22,71,False
2012-08-23,80,False
2012-08-24,75,False
2012-08-25,63,False
2012-08-26,63,False
2012-08-27,67,False
2012-08-28,60,False
2012-08-29,67,False
2012-08-30,51,False
2012-08-31,58,False
2012-09-01,69,False
2012-09-02,51,False
2012-09-03,64,False
2012-09-04,59,False
2012-09-05,67,False
2012-09-06,59,False
2012-09-07,59,False
2012-09-08,85,False
2012-09-09,65,False
2012-09-10,100,False
2012-09-11,87,False
2012-09-12,94,False
2012-09-13,54,False
2012-09-14,56,False
2012-09-15,62,False
2012-09-16,69,False
2012-09-17,88,False
2012-09-18,68,False
2012-09-19,52,False
2012-09-20,49,False
2012-09-21,55,False
2012-09-22,56,False
2012-09-23,61,False
2012-09-24,58,False
2012-09-25,47,False
2012-09-26,57,False
2012-09-27,61,False
2012-09-28,49,False
2012-09-29,51,False
2012-09-30,51,False
2012-10-01,54,False
