date,Wynn,isPartial
2011-01-01,39,False
2011-01-02,49,False
2011-01-03,46,False
2011-01-04,56,False
2011-01-05,55,False
2011-01-06,68,False
2011-01-07,47,False
2011-01-08,48,False
2011-01-09,48,False
2011-01-10,60,False
2011-01-11,54,False
2011-01-12,49,False
2011-01-13,47,False
2011-01-14,50,False
2011-01-15,40,False
2011-01-16,49,False
2011-01-17,45,False
2011-01-18,46,False
2011-01-19,52,False
2011-01-20,43,False
2011-01-21,51,False
2011-01-22,41,False
2011-01-23,40,False
2011-01-24,42,False
2011-01-25,49,False
2011-01-26,46,False
2011-01-27,39,False
2011-01-28,40,False
2011-01-29,41,False
2011-01-30,51,False
2011-01-31,46,False
2011-02-01,46,False
2011-02-02,45,False
2011-02-03,46,False
2011-02-04,35,False
2011-02-05,40,False
2011-02-06,43,False
2011-02-07,52,False
2011-02-08,63,False
2011-02-09,50,False
2011-02-10,54,False
2011-02-11,47,False
2011-02-12,50,False
2011-02-13,46,False
2011-02-14,43,False
2011-02-15,48,False
2011-02-16,45,False
2011-02-17,44,False
2011-02-18,51,False
2011-02-19,39,False
2011-02-20,43,False
2011-02-21,46,False
2011-02-22,34,False
2011-02-23,49,False
2011-02-24,47,False
2011-02-25,40,False
2011-02-26,51,False
2011-02-27,34,False
2011-02-28,43,False
2011-03-01,38,False
2011-03-02,52,False
2011-03-03,41,False
2011-03-04,52,False
2011-03-05,46,False
2011-03-06,40,False
2011-03-07,48,False
2011-03-08,48,False
2011-03-09,50,False
2011-03-10,50,False
2011-03-11,38,False
2011-03-12,47,False
2011-03-13,35,False
2011-03-14,44,False
2011-03-15,33,False
2011-03-16,40,False
2011-03-17,44,False
2011-03-18,44,False
2011-03-19,45,False
2011-03-20,41,False
2011-03-21,43,False
2011-03-22,44,False
2011-03-23,46,False
2011-03-24,49,False
2011-03-25,44,False
2011-03-26,46,False
2011-03-27,50,False
2011-03-28,46,False
2011-03-29,40,False
2011-03-30,42,False
2011-03-31,49,False
2011-04-01,42,False
2011-04-02,43,False
2011-04-03,38,False
2011-04-04,47,False
2011-04-05,47,False
2011-04-06,41,False
2011-04-07,48,False
2011-04-08,56,False
2011-04-09,49,False
2011-04-10,37,False
2011-04-11,41,False
