date,MercadoLibre,isPartial
2017-10-06,84,False
2017-10-07,83,False
2017-10-08,81,False
2017-10-09,91,False
2017-10-10,95,False
2017-10-11,86,False
2017-10-12,88,False
2017-10-13,85,False
2017-10-14,80,False
2017-10-15,74,False
2017-10-16,86,False
2017-10-17,94,False
2017-10-18,89,False
2017-10-19,87,False
2017-10-20,85,False
2017-10-21,87,False
2017-10-22,81,False
2017-10-23,88,False
2017-10-24,86,False
2017-10-25,90,False
2017-10-26,85,False
2017-10-27,82,False
2017-10-28,78,False
2017-10-29,80,False
2017-10-30,100,False
2017-10-31,96,False
2017-11-01,85,False
2017-11-02,89,False
2017-11-03,86,False
2017-11-04,80,False
2017-11-05,71,False
2017-11-06,84,False
2017-11-07,84,False
2017-11-08,84,False
2017-11-09,86,False
2017-11-10,82,False
2017-11-11,75,False
2017-11-12,75,False
2017-11-13,84,False
2017-11-14,89,False
2017-11-15,87,False
2017-11-16,87,False
2017-11-17,83,False
2017-11-18,75,False
2017-11-19,72,False
2017-11-20,85,False
2017-11-21,85,False
2017-11-22,92,False
2017-11-23,83,False
2017-11-24,86,False
2017-11-25,78,False
2017-11-26,71,False
2017-11-27,85,False
2017-11-28,89,False
2017-11-29,83,False
2017-11-30,81,False
2017-12-01,79,False
2017-12-02,72,False
2017-12-03,76,False
2017-12-04,80,False
2017-12-05,83,False
2017-12-06,81,False
2017-12-07,80,False
2017-12-08,71,False
2017-12-09,75,False
2017-12-10,73,False
2017-12-11,86,False
2017-12-12,84,False
2017-12-13,86,False
2017-12-14,83,False
2017-12-15,85,False
2017-12-16,81,False
2017-12-17,77,False
2017-12-18,90,False
2017-12-19,94,False
2017-12-20,87,False
2017-12-21,91,False
2017-12-22,81,False
2017-12-23,76,False
2017-12-24,59,False
2017-12-25,60,False
2017-12-26,83,False
2017-12-27,84,False
2017-12-28,81,False
2017-12-29,79,False
2017-12-30,69,False
2017-12-31,55,False
2018-01-01,49,False
2018-01-02,80,False
2018-01-03,83,False
2018-01-04,80,False
2018-01-05,81,False
2018-01-06,74,False
2018-01-07,71,False
2018-01-08,77,False
2018-01-09,77,False
2018-01-10,78,False
2018-01-11,82,False
2018-01-12,76,False
2018-01-13,78,False
2018-01-14,75,False
2018-01-15,84,False
2018-01-16,81,False
2018-01-17,78,False
2018-01-18,80,False
2018-01-19,76,False
2018-01-20,72,False
2018-01-21,70,False
2018-01-22,76,False
2018-01-23,80,False
2018-01-24,76,False
2018-01-25,81,False
2018-01-26,76,False
2018-01-27,71,False
2018-01-28,73,False
2018-01-29,80,False
2018-01-30,79,False
2018-01-31,81,False
2018-02-01,76,False
2018-02-02,71,False
2018-02-03,72,False
2018-02-04,69,False
2018-02-05,75,False
2018-02-06,73,False
2018-02-07,76,False
2018-02-08,74,False
2018-02-09,72,False
2018-02-10,68,False
2018-02-11,65,False
2018-02-12,66,False
2018-02-13,65,False
2018-02-14,71,False
2018-02-15,74,False
2018-02-16,77,False
2018-02-17,69,False
2018-02-18,66,False
2018-02-19,81,False
2018-02-20,74,False
2018-02-21,75,False
2018-02-22,76,False
2018-02-23,72,False
2018-02-24,70,False
2018-02-25,67,False
2018-02-26,74,False
2018-02-27,73,False
2018-02-28,72,False
2018-03-01,75,False
2018-03-02,78,False
2018-03-03,72,False
2018-03-04,62,False
2018-03-05,72,False
2018-03-06,75,False
2018-03-07,74,False
2018-03-08,68,False
2018-03-09,71,False
2018-03-10,66,False
2018-03-11,65,False
2018-03-12,72,False
2018-03-13,71,False
2018-03-14,69,False
2018-03-15,69,False
2018-03-16,69,False
2018-03-17,63,False
2018-03-18,61,False
2018-03-19,69,False
2018-03-20,72,False
2018-03-21,70,False
2018-03-22,73,False
2018-03-23,71,False
2018-03-24,69,False
2018-03-25,68,False
2018-03-26,74,False
2018-03-27,66,False
2018-03-28,62,False
2018-03-29,59,False
2018-03-30,58,False
2018-03-31,62,False
2018-04-01,62,False
2018-04-02,69,False
2018-04-03,68,False
2018-04-04,68,False
2018-04-05,69,False
2018-04-06,68,False
2018-04-07,65,False
2018-04-08,65,False
2018-04-09,66,False
