date,MercadoLibre,isPartial
2014-07-24,86,False
2014-07-25,92,False
2014-07-26,90,False
2014-07-27,82,False
2014-07-28,94,False
2014-07-29,100,False
2014-07-30,98,False
2014-07-31,96,False
2014-08-01,95,False
2014-08-02,92,False
2014-08-03,87,False
2014-08-04,96,False
2014-08-05,99,False
2014-08-06,99,False
2014-08-07,90,False
2014-08-08,91,False
2014-08-09,87,False
2014-08-10,80,False
2014-08-11,95,False
2014-08-12,92,False
2014-08-13,90,False
2014-08-14,93,False
2014-08-15,91,False
2014-08-16,85,False
2014-08-17,75,False
2014-08-18,82,False
2014-08-19,90,False
2014-08-20,92,False
2014-08-21,92,False
2014-08-22,88,False
2014-08-23,85,False
2014-08-24,87,False
2014-08-25,92,False
2014-08-26,90,False
2014-08-27,91,False
2014-08-28,91,False
2014-08-29,85,False
2014-08-30,81,False
2014-08-31,76,False
2014-09-01,94,False
2014-09-02,94,False
2014-09-03,93,False
2014-09-04,92,False
2014-09-05,92,False
2014-09-06,88,False
2014-09-07,82,False
2014-09-08,91,False
2014-09-09,94,False
2014-09-10,91,False
2014-09-11,86,False
2014-09-12,86,False
2014-09-13,84,False
2014-09-14,83,False
2014-09-15,95,False
2014-09-16,87,False
2014-09-17,90,False
2014-09-18,89,False
2014-09-19,86,False
2014-09-20,83,False
2014-09-21,77,False
2014-09-22,88,False
2014-09-23,91,False
2014-09-24,88,False
2014-09-25,88,False
2014-09-26,86,False
2014-09-27,78,False
2014-09-28,82,False
2014-09-29,90,False
2014-09-30,87,False
2014-10-01,87,False
2014-10-02,87,False
2014-10-03,90,False
2014-10-04,85,False
2014-10-05,80,False
2014-10-06,87,False
2014-10-07,85,False
2014-10-08,84,False
2014-10-09,87,False
2014-10-10,81,False
2014-10-11,78,False
2014-10-12,72,False
2014-10-13,80,False
2014-10-14,85,False
2014-10-15,85,False
2014-10-16,83,False
2014-10-17,83,False
2014-10-18,81,False
2014-10-19,76,False
2014-10-20,84,False
2014-10-21,84,False
2014-10-22,80,False
2014-10-23,82,False
2014-10-24,81,False
2014-10-25,74,False
2014-10-26,73,False
2014-10-27,84,False
2014-10-28,85,False
2014-10-29,83,False
2014-10-30,80,False
2014-10-31,78,False
2014-11-01,76,False
2014-11-02,75,False
2014-11-03,85,False
2014-11-04,84,False
2014-11-05,80,False
2014-11-06,81,False
2014-11-07,81,False
2014-11-08,75,False
2014-11-09,72,False
2014-11-10,97,False
2014-11-11,93,False
2014-11-12,88,False
2014-11-13,85,False
2014-11-14,82,False
2014-11-15,76,False
2014-11-16,74,False
2014-11-17,81,False
2014-11-18,85,False
2014-11-19,90,False
2014-11-20,85,False
2014-11-21,83,False
2014-11-22,75,False
2014-11-23,69,False
2014-11-24,83,False
2014-11-25,87,False
2014-11-26,86,False
2014-11-27,86,False
2014-11-28,81,False
2014-11-29,76,False
2014-11-30,74,False
2014-12-01,88,False
2014-12-02,87,False
2014-12-03,85,False
2014-12-04,86,False
2014-12-05,80,False
2014-12-06,75,False
2014-12-07,73,False
2014-12-08,78,False
2014-12-09,88,False
2014-12-10,88,False
2014-12-11,88,False
2014-12-12,83,False
2014-12-13,81,False
2014-12-14,74,False
2014-12-15,91,False
2014-12-16,93,False
2014-12-17,91,False
2014-12-18,91,False
2014-12-19,83,False
2014-12-20,82,False
2014-12-21,78,False
2014-12-22,86,False
2014-12-23,83,False
2014-12-24,69,False
2014-12-25,56,False
2014-12-26,80,False
2014-12-27,81,False
2014-12-28,73,False
2014-12-29,80,False
2014-12-30,79,False
2014-12-31,63,False
2015-01-01,48,False
2015-01-02,78,False
2015-01-03,77,False
2015-01-04,72,False
2015-01-05,83,False
2015-01-06,82,False
2015-01-07,83,False
2015-01-08,82,False
2015-01-09,80,False
2015-01-10,74,False
2015-01-11,70,False
2015-01-12,80,False
2015-01-13,87,False
2015-01-14,87,False
2015-01-15,83,False
2015-01-16,84,False
2015-01-17,71,False
2015-01-18,70,False
2015-01-19,83,False
2015-01-20,86,False
2015-01-21,83,False
2015-01-22,82,False
2015-01-23,80,False
2015-01-24,74,False
2015-01-25,71,False
2015-01-26,80,False
2015-01-27,85,False
2015-01-28,85,False
2015-01-29,84,False
2015-01-30,81,False
2015-01-31,73,False
2015-02-01,67,False
2015-02-02,78,False
2015-02-03,82,False
2015-02-04,83,False
2015-02-05,78,False
2015-02-06,79,False
2015-02-07,71,False
2015-02-08,70,False
2015-02-09,81,False
2015-02-10,81,False
2015-02-11,80,False
2015-02-12,81,False
2015-02-13,74,False
2015-02-14,66,False
2015-02-15,64,False
2015-02-16,64,False
2015-02-17,71,False
2015-02-18,83,False
2015-02-19,82,False
2015-02-20,80,False
2015-02-21,77,False
2015-02-22,70,False
2015-02-23,79,False
2015-02-24,79,False
2015-02-25,83,False
2015-02-26,80,False
2015-02-27,77,False
2015-02-28,71,False
2015-03-01,72,False
2015-03-02,78,False
2015-03-03,81,False
2015-03-04,82,False
2015-03-05,75,False
2015-03-06,81,False
2015-03-07,72,False
2015-03-08,70,False
2015-03-09,80,False
2015-03-10,80,False
2015-03-11,80,False
2015-03-12,78,False
2015-03-13,75,False
2015-03-14,75,False
2015-03-15,72,False
2015-03-16,81,False
2015-03-17,81,False
2015-03-18,80,False
2015-03-19,77,False
2015-03-20,80,False
2015-03-21,73,False
2015-03-22,65,False
2015-03-23,75,False
2015-03-24,78,False
2015-03-25,80,False
2015-03-26,76,False
2015-03-27,79,False
2015-03-28,74,False
2015-03-29,71,False
2015-03-30,79,False
2015-03-31,79,False
2015-04-01,71,False
2015-04-02,63,False
2015-04-03,61,False
2015-04-04,70,False
2015-04-05,70,False
2015-04-06,84,False
2015-04-07,83,False
2015-04-08,81,False
2015-04-09,78,False
2015-04-10,82,False
