date,Henry Schein,isPartial
2013-10-08,72,False
2013-10-09,79,False
2013-10-10,79,False
2013-10-11,60,False
2013-10-12,9,False
2013-10-13,11,False
2013-10-14,54,False
2013-10-15,80,False
2013-10-16,76,False
2013-10-17,73,False
2013-10-18,81,False
2013-10-19,23,False
2013-10-20,20,False
2013-10-21,62,False
2013-10-22,75,False
2013-10-23,55,False
2013-10-24,51,False
2013-10-25,68,False
2013-10-26,15,False
2013-10-27,18,False
2013-10-28,76,False
2013-10-29,60,False
2013-10-30,46,False
2013-10-31,56,False
2013-11-01,54,False
2013-11-02,15,False
2013-11-03,22,False
2013-11-04,78,False
2013-11-05,56,False
2013-11-06,65,False
2013-11-07,67,False
2013-11-08,43,False
2013-11-09,20,False
2013-11-10,16,False
2013-11-11,71,False
2013-11-12,90,False
2013-11-13,86,False
2013-11-14,68,False
2013-11-15,61,False
2013-11-16,16,False
2013-11-17,25,False
2013-11-18,73,False
2013-11-19,67,False
2013-11-20,64,False
2013-11-21,63,False
2013-11-22,68,False
2013-11-23,11,False
2013-11-24,11,False
2013-11-25,60,False
2013-11-26,89,False
2013-11-27,53,False
2013-11-28,39,False
2013-11-29,28,False
2013-11-30,20,False
2013-12-01,12,False
2013-12-02,67,False
2013-12-03,70,False
2013-12-04,57,False
2013-12-05,72,False
2013-12-06,52,False
2013-12-07,20,False
2013-12-08,19,False
2013-12-09,72,False
2013-12-10,64,False
2013-12-11,75,False
2013-12-12,76,False
2013-12-13,57,False
2013-12-14,25,False
2013-12-15,20,False
2013-12-16,63,False
2013-12-17,95,False
2013-12-18,73,False
2013-12-19,76,False
2013-12-20,44,False
2013-12-21,6,False
2013-12-22,21,False
2013-12-23,61,False
2013-12-24,28,False
2013-12-25,6,False
2013-12-26,43,False
2013-12-27,27,False
2013-12-28,13,False
2013-12-29,11,False
2013-12-30,43,False
2013-12-31,24,False
2014-01-01,14,False
2014-01-02,46,False
2014-01-03,44,False
2014-01-04,24,False
2014-01-05,14,False
2014-01-06,62,False
2014-01-07,63,False
2014-01-08,69,False
2014-01-09,57,False
2014-01-10,77,False
2014-01-11,19,False
2014-01-12,26,False
2014-01-13,70,False
2014-01-14,74,False
2014-01-15,75,False
2014-01-16,87,False
2014-01-17,52,False
2014-01-18,16,False
2014-01-19,14,False
2014-01-20,54,False
2014-01-21,100,False
2014-01-22,47,False
2014-01-23,57,False
2014-01-24,70,False
2014-01-25,12,False
2014-01-26,27,False
2014-01-27,68,False
2014-01-28,57,False
2014-01-29,86,False
2014-01-30,58,False
2014-01-31,62,False
2014-02-01,20,False
2014-02-02,20,False
2014-02-03,80,False
2014-02-04,80,False
2014-02-05,75,False
2014-02-06,94,False
2014-02-07,52,False
2014-02-08,27,False
2014-02-09,21,False
2014-02-10,79,False
2014-02-11,79,False
2014-02-12,63,False
2014-02-13,61,False
2014-02-14,46,False
2014-02-15,28,False
2014-02-16,15,False
2014-02-17,60,False
2014-02-18,69,False
2014-02-19,73,False
2014-02-20,57,False
2014-02-21,47,False
2014-02-22,17,False
2014-02-23,15,False
2014-02-24,53,False
2014-02-25,60,False
2014-02-26,73,False
2014-02-27,72,False
2014-02-28,57,False
2014-03-01,14,False
2014-03-02,10,False
2014-03-03,45,False
2014-03-04,76,False
2014-03-05,70,False
2014-03-06,68,False
2014-03-07,42,False
2014-03-08,14,False
2014-03-09,15,False
2014-03-10,62,False
2014-03-11,59,False
2014-03-12,74,False
2014-03-13,73,False
2014-03-14,50,False
2014-03-15,14,False
2014-03-16,17,False
