date,Henry Schein,isPartial
2011-09-18,25,False
2011-09-19,58,False
2011-09-20,60,False
2011-09-21,70,False
2011-09-22,85,False
2011-09-23,34,False
2011-09-24,20,False
2011-09-25,19,False
2011-09-26,64,False
2011-09-27,67,False
2011-09-28,59,False
2011-09-29,55,False
2011-09-30,55,False
2011-10-01,8,False
2011-10-02,6,False
2011-10-03,50,False
2011-10-04,58,False
2011-10-05,49,False
2011-10-06,80,False
2011-10-07,44,False
2011-10-08,11,False
2011-10-09,8,False
2011-10-10,53,False
2011-10-11,46,False
2011-10-12,58,False
2011-10-13,51,False
2011-10-14,64,False
2011-10-15,11,False
2011-10-16,11,False
2011-10-17,44,False
2011-10-18,52,False
2011-10-19,72,False
2011-10-20,56,False
2011-10-21,65,False
2011-10-22,19,False
2011-10-23,3,False
2011-10-24,41,False
2011-10-25,67,False
2011-10-26,55,False
2011-10-27,71,False
2011-10-28,45,False
2011-10-29,8,False
2011-10-30,11,False
2011-10-31,45,False
2011-11-01,75,False
2011-11-02,100,False
2011-11-03,66,False
2011-11-04,55,False
2011-11-05,19,False
2011-11-06,5,False
2011-11-07,59,False
2011-11-08,65,False
2011-11-09,42,False
2011-11-10,61,False
2011-11-11,51,False
2011-11-12,8,False
2011-11-13,21,False
2011-11-14,73,False
2011-11-15,77,False
2011-11-16,32,False
2011-11-17,62,False
2011-11-18,52,False
2011-11-19,21,False
2011-11-20,36,False
2011-11-21,66,False
2011-11-22,44,False
2011-11-23,44,False
2011-11-24,37,False
2011-11-25,31,False
2011-11-26,16,False
2011-11-27,21,False
2011-11-28,71,False
2011-11-29,70,False
2011-11-30,59,False
2011-12-01,70,False
2011-12-02,59,False
2011-12-03,29,False
2011-12-04,10,False
2011-12-05,57,False
2011-12-06,53,False
2011-12-07,58,False
2011-12-08,44,False
2011-12-09,38,False
2011-12-10,28,False
2011-12-11,36,False
2011-12-12,64,False
2011-12-13,78,False
2011-12-14,66,False
2011-12-15,50,False
2011-12-16,50,False
2011-12-17,16,False
2011-12-18,18,False
2011-12-19,41,False
2011-12-20,51,False
2011-12-21,47,False
2011-12-22,58,False
2011-12-23,35,False
2011-12-24,6,False
2011-12-25,12,False
2011-12-26,23,False
2011-12-27,21,False
2011-12-28,44,False
2011-12-29,37,False
2011-12-30,44,False
2011-12-31,17,False
2012-01-01,9,False
2012-01-02,45,False
2012-01-03,66,False
2012-01-04,50,False
2012-01-05,58,False
2012-01-06,44,False
2012-01-07,25,False
2012-01-08,36,False
2012-01-09,66,False
2012-01-10,98,False
2012-01-11,36,False
2012-01-12,60,False
2012-01-13,66,False
2012-01-14,20,False
2012-01-15,17,False
2012-01-16,68,False
2012-01-17,59,False
2012-01-18,60,False
2012-01-19,63,False
2012-01-20,59,False
2012-01-21,24,False
2012-01-22,22,False
2012-01-23,82,False
2012-01-24,66,False
2012-01-25,54,False
2012-01-26,56,False
2012-01-27,59,False
2012-01-28,15,False
2012-01-29,29,False
2012-01-30,51,False
2012-01-31,47,False
2012-02-01,50,False
2012-02-02,72,False
2012-02-03,50,False
2012-02-04,14,False
2012-02-05,12,False
2012-02-06,71,False
2012-02-07,63,False
2012-02-08,95,False
2012-02-09,48,False
2012-02-10,60,False
2012-02-11,19,False
2012-02-12,32,False
2012-02-13,63,False
2012-02-14,72,False
2012-02-15,70,False
2012-02-16,61,False
2012-02-17,52,False
2012-02-18,22,False
2012-02-19,24,False
2012-02-20,45,False
2012-02-21,61,False
2012-02-22,65,False
2012-02-23,66,False
2012-02-24,52,False
2012-02-25,21,False
2012-02-26,26,False
2012-02-27,61,False
2012-02-28,45,False
2012-02-29,72,False
2012-03-01,82,False
2012-03-02,50,False
2012-03-03,15,False
2012-03-04,22,False
2012-03-05,71,False
2012-03-06,59,False
2012-03-07,55,False
2012-03-08,67,False
2012-03-09,37,False
2012-03-10,31,False
2012-03-11,12,False
2012-03-12,58,False
2012-03-13,81,False
2012-03-14,65,False
2012-03-15,62,False
2012-03-16,46,False
2012-03-17,17,False
2012-03-18,17,False
2012-03-19,97,False
2012-03-20,57,False
2012-03-21,71,False
2012-03-22,69,False
2012-03-23,58,False
2012-03-24,15,False
2012-03-25,24,False
2012-03-26,53,False
2012-03-27,76,False
2012-03-28,49,False
2012-03-29,46,False
2012-03-30,36,False
2012-03-31,7,False
2012-04-01,15,False
2012-04-02,64,False
2012-04-03,56,False
2012-04-04,61,False
2012-04-05,54,False
2012-04-06,39,False
2012-04-07,15,False
2012-04-08,10,False
2012-04-09,38,False
2012-04-10,59,False
2012-04-11,57,False
2012-04-12,75,False
2012-04-13,61,False
2012-04-14,16,False
2012-04-15,7,False
2012-04-16,64,False
2012-04-17,39,False
2012-04-18,71,False
2012-04-19,61,False
2012-04-20,49,False
2012-04-21,26,False
2012-04-22,18,False
2012-04-23,73,False
2012-04-24,66,False
2012-04-25,72,False
2012-04-26,65,False
2012-04-27,55,False
2012-04-28,10,False
2012-04-29,27,False
2012-04-30,41,False
2012-05-01,60,False
2012-05-02,56,False
2012-05-03,70,False
2012-05-04,43,False
2012-05-05,28,False
2012-05-06,28,False
2012-05-07,58,False
2012-05-08,58,False
2012-05-09,77,False
2012-05-10,72,False
2012-05-11,43,False
2012-05-12,14,False
2012-05-13,17,False
2012-05-14,40,False
2012-05-15,63,False
2012-05-16,45,False
2012-05-17,42,False
2012-05-18,37,False
2012-05-19,5,False
2012-05-20,14,False
2012-05-21,40,False
2012-05-22,56,False
2012-05-23,68,False
2012-05-24,72,False
2012-05-25,58,False
2012-05-26,33,False
2012-05-27,12,False
2012-05-28,22,False
2012-05-29,57,False
2012-05-30,76,False
2012-05-31,71,False
2012-06-01,51,False
2012-06-02,10,False
2012-06-03,16,False
2012-06-04,61,False
