date,Henry Schein,isPartial
2013-11-06,62,False
2013-11-07,71,False
2013-11-08,66,False
2013-11-09,15,False
2013-11-10,16,False
2013-11-11,73,False
2013-11-12,78,False
2013-11-13,53,False
2013-11-14,65,False
2013-11-15,51,False
2013-11-16,19,False
2013-11-17,20,False
2013-11-18,71,False
2013-11-19,69,False
2013-11-20,75,False
2013-11-21,76,False
2013-11-22,56,False
2013-11-23,12,False
2013-11-24,16,False
2013-11-25,70,False
2013-11-26,76,False
2013-11-27,52,False
2013-11-28,39,False
2013-11-29,39,False
2013-11-30,12,False
2013-12-01,19,False
2013-12-02,48,False
2013-12-03,73,False
2013-12-04,66,False
2013-12-05,61,False
2013-12-06,37,False
2013-12-07,18,False
2013-12-08,20,False
2013-12-09,62,False
2013-12-10,70,False
2013-12-11,64,False
2013-12-12,43,False
2013-12-13,52,False
2013-12-14,22,False
2013-12-15,15,False
2013-12-16,71,False
2013-12-17,71,False
2013-12-18,50,False
2013-12-19,57,False
2013-12-20,55,False
2013-12-21,19,False
2013-12-22,19,False
2013-12-23,57,False
2013-12-24,22,False
2013-12-25,6,False
2013-12-26,29,False
2013-12-27,38,False
2013-12-28,9,False
2013-12-29,10,False
2013-12-30,35,False
2013-12-31,36,False
2014-01-01,22,False
2014-01-02,64,False
2014-01-03,47,False
2014-01-04,23,False
2014-01-05,15,False
2014-01-06,59,False
2014-01-07,85,False
2014-01-08,73,False
2014-01-09,83,False
2014-01-10,63,False
2014-01-11,19,False
2014-01-12,27,False
2014-01-13,81,False
2014-01-14,90,False
2014-01-15,79,False
2014-01-16,67,False
2014-01-17,51,False
2014-01-18,26,False
2014-01-19,17,False
2014-01-20,67,False
2014-01-21,65,False
2014-01-22,59,False
2014-01-23,72,False
2014-01-24,75,False
2014-01-25,17,False
2014-01-26,11,False
2014-01-27,45,False
2014-01-28,78,False
2014-01-29,70,False
2014-01-30,69,False
2014-01-31,66,False
2014-02-01,21,False
2014-02-02,15,False
2014-02-03,69,False
2014-02-04,70,False
2014-02-05,63,False
2014-02-06,63,False
2014-02-07,58,False
2014-02-08,20,False
2014-02-09,28,False
2014-02-10,57,False
2014-02-11,80,False
2014-02-12,65,False
2014-02-13,62,False
2014-02-14,48,False
2014-02-15,16,False
2014-02-16,15,False
2014-02-17,57,False
2014-02-18,65,False
2014-02-19,61,False
2014-02-20,55,False
2014-02-21,39,False
2014-02-22,30,False
2014-02-23,8,False
2014-02-24,72,False
2014-02-25,63,False
2014-02-26,55,False
2014-02-27,93,False
2014-02-28,62,False
2014-03-01,13,False
2014-03-02,16,False
2014-03-03,65,False
2014-03-04,62,False
2014-03-05,64,False
2014-03-06,72,False
2014-03-07,67,False
2014-03-08,14,False
2014-03-09,11,False
2014-03-10,58,False
2014-03-11,93,False
2014-03-12,64,False
2014-03-13,64,False
2014-03-14,76,False
2014-03-15,3,False
2014-03-16,20,False
2014-03-17,55,False
2014-03-18,69,False
2014-03-19,77,False
2014-03-20,75,False
2014-03-21,58,False
2014-03-22,32,False
2014-03-23,15,False
2014-03-24,69,False
2014-03-25,58,False
2014-03-26,63,False
2014-03-27,69,False
2014-03-28,46,False
2014-03-29,14,False
2014-03-30,19,False
2014-03-31,72,False
2014-04-01,78,False
2014-04-02,72,False
2014-04-03,67,False
2014-04-04,41,False
2014-04-05,19,False
2014-04-06,11,False
2014-04-07,68,False
2014-04-08,75,False
2014-04-09,64,False
2014-04-10,57,False
2014-04-11,57,False
2014-04-12,18,False
2014-04-13,13,False
2014-04-14,78,False
2014-04-15,71,False
2014-04-16,78,False
2014-04-17,71,False
2014-04-18,43,False
2014-04-19,13,False
2014-04-20,19,False
2014-04-21,40,False
2014-04-22,78,False
2014-04-23,71,False
2014-04-24,52,False
2014-04-25,50,False
2014-04-26,11,False
2014-04-27,22,False
2014-04-28,63,False
2014-04-29,55,False
2014-04-30,64,False
2014-05-01,52,False
2014-05-02,62,False
2014-05-03,21,False
2014-05-04,16,False
2014-05-05,66,False
2014-05-06,77,False
2014-05-07,69,False
2014-05-08,91,False
2014-05-09,49,False
2014-05-10,16,False
2014-05-11,16,False
2014-05-12,66,False
2014-05-13,78,False
2014-05-14,71,False
2014-05-15,65,False
2014-05-16,44,False
2014-05-17,13,False
2014-05-18,8,False
2014-05-19,56,False
2014-05-20,65,False
2014-05-21,70,False
2014-05-22,72,False
2014-05-23,45,False
2014-05-24,11,False
2014-05-25,9,False
2014-05-26,37,False
2014-05-27,73,False
2014-05-28,100,False
2014-05-29,47,False
2014-05-30,44,False
2014-05-31,9,False
2014-06-01,16,False
2014-06-02,83,False
2014-06-03,91,False
2014-06-04,67,False
2014-06-05,58,False
2014-06-06,57,False
2014-06-07,11,False
2014-06-08,13,False
2014-06-09,51,False
2014-06-10,64,False
2014-06-11,61,False
2014-06-12,63,False
2014-06-13,56,False
2014-06-14,13,False
2014-06-15,18,False
2014-06-16,78,False
2014-06-17,62,False
2014-06-18,65,False
2014-06-19,63,False
2014-06-20,45,False
2014-06-21,19,False
2014-06-22,15,False
2014-06-23,83,False
2014-06-24,76,False
2014-06-25,76,False
2014-06-26,67,False
2014-06-27,51,False
2014-06-28,7,False
2014-06-29,16,False
2014-06-30,51,False
2014-07-01,48,False
2014-07-02,60,False
2014-07-03,53,False
2014-07-04,20,False
2014-07-05,26,False
2014-07-06,13,False
2014-07-07,70,False
2014-07-08,60,False
2014-07-09,62,False
2014-07-10,87,False
2014-07-11,60,False
2014-07-12,13,False
2014-07-13,7,False
2014-07-14,55,False
2014-07-15,76,False
2014-07-16,73,False
2014-07-17,66,False
2014-07-18,55,False
2014-07-19,24,False
2014-07-20,9,False
2014-07-21,66,False
2014-07-22,87,False
2014-07-23,62,False
2014-07-24,62,False
