date,Sirius,isPartial
2011-01-01,52,False
2011-01-02,55,False
2011-01-03,54,False
2011-01-04,56,False
2011-01-05,57,False
2011-01-06,51,False
2011-01-07,50,False
2011-01-08,49,False
2011-01-09,43,False
2011-01-10,43,False
2011-01-11,42,False
2011-01-12,43,False
2011-01-13,44,False
2011-01-14,45,False
2011-01-15,48,False
2011-01-16,47,False
2011-01-17,40,False
2011-01-18,44,False
2011-01-19,49,False
2011-01-20,43,False
2011-01-21,51,False
2011-01-22,42,False
2011-01-23,45,False
2011-01-24,44,False
2011-01-25,43,False
2011-01-26,43,False
2011-01-27,42,False
2011-01-28,41,False
2011-01-29,39,False
2011-01-30,38,False
2011-01-31,40,False
2011-02-01,43,False
2011-02-02,41,False
2011-02-03,44,False
2011-02-04,50,False
2011-02-05,41,False
2011-02-06,45,False
2011-02-07,45,False
2011-02-08,46,False
2011-02-09,43,False
2011-02-10,43,False
2011-02-11,42,False
2011-02-12,43,False
2011-02-13,41,False
2011-02-14,41,False
2011-02-15,44,False
2011-02-16,43,False
2011-02-17,39,False
2011-02-18,39,False
2011-02-19,42,False
2011-02-20,41,False
2011-02-21,38,False
2011-02-22,38,False
2011-02-23,42,False
2011-02-24,40,False
2011-02-25,40,False
2011-02-26,40,False
2011-02-27,33,False
2011-02-28,38,False
2011-03-01,40,False
2011-03-02,41,False
2011-03-03,40,False
2011-03-04,44,False
2011-03-05,46,False
2011-03-06,43,False
2011-03-07,42,False
2011-03-08,41,False
2011-03-09,41,False
2011-03-10,38,False
2011-03-11,40,False
2011-03-12,36,False
2011-03-13,34,False
2011-03-14,36,False
2011-03-15,39,False
2011-03-16,42,False
2011-03-17,41,False
2011-03-18,45,False
2011-03-19,41,False
2011-03-20,37,False
2011-03-21,44,False
2011-03-22,41,False
2011-03-23,54,False
2011-03-24,53,False
2011-03-25,45,False
2011-03-26,48,False
2011-03-27,43,False
2011-03-28,44,False
2011-03-29,42,False
2011-03-30,44,False
2011-03-31,41,False
2011-04-01,40,False
2011-04-02,40,False
2011-04-03,40,False
2011-04-04,39,False
2011-04-05,39,False
2011-04-06,42,False
2011-04-07,38,False
2011-04-08,39,False
2011-04-09,39,False
2011-04-10,41,False
2011-04-11,40,False
2011-04-12,40,False
2011-04-13,39,False
2011-04-14,41,False
2011-04-15,39,False
2011-04-16,40,False
2011-04-17,40,False
2011-04-18,40,False
2011-04-19,41,False
2011-04-20,42,False
2011-04-21,40,False
2011-04-22,42,False
2011-04-23,40,False
2011-04-24,40,False
2011-04-25,46,False
2011-04-26,43,False
2011-04-27,41,False
2011-04-28,48,False
2011-04-29,49,False
2011-04-30,48,False
2011-05-01,49,False
2011-05-02,58,False
2011-05-03,66,False
2011-05-04,100,False
2011-05-05,65,False
2011-05-06,63,False
2011-05-07,53,False
2011-05-08,47,False
2011-05-09,49,False
2011-05-10,46,False
2011-05-11,45,False
2011-05-12,45,False
2011-05-13,47,False
2011-05-14,42,False
2011-05-15,42,False
2011-05-16,43,False
2011-05-17,44,False
2011-05-18,38,False
2011-05-19,42,False
2011-05-20,43,False
2011-05-21,44,False
2011-05-22,38,False
2011-05-23,42,False
2011-05-24,46,False
2011-05-25,46,False
2011-05-26,44,False
2011-05-27,45,False
2011-05-28,47,False
2011-05-29,42,False
2011-05-30,39,False
2011-05-31,44,False
2011-06-01,49,False
2011-06-02,42,False
2011-06-03,44,False
2011-06-04,42,False
2011-06-05,41,False
2011-06-06,42,False
2011-06-07,42,False
2011-06-08,46,False
2011-06-09,45,False
2011-06-10,47,False
2011-06-11,45,False
2011-06-12,43,False
2011-06-13,43,False
2011-06-14,47,False
2011-06-15,46,False
2011-06-16,44,False
2011-06-17,42,False
2011-06-18,45,False
2011-06-19,45,False
2011-06-20,47,False
2011-06-21,43,False
2011-06-22,42,False
2011-06-23,41,False
2011-06-24,42,False
2011-06-25,42,False
2011-06-26,41,False
2011-06-27,42,False
2011-06-28,42,False
2011-06-29,42,False
2011-06-30,42,False
2011-07-01,44,False
2011-07-02,42,False
2011-07-03,42,False
2011-07-04,35,False
2011-07-05,39,False
2011-07-06,39,False
2011-07-07,42,False
2011-07-08,45,False
2011-07-09,44,False
2011-07-10,45,False
2011-07-11,45,False
2011-07-12,42,False
2011-07-13,47,False
2011-07-14,48,False
2011-07-15,50,False
2011-07-16,52,False
2011-07-17,51,False
2011-07-18,52,False
2011-07-19,48,False
2011-07-20,44,False
2011-07-21,45,False
2011-07-22,46,False
2011-07-23,43,False
2011-07-24,45,False
2011-07-25,48,False
2011-07-26,45,False
2011-07-27,46,False
2011-07-28,44,False
2011-07-29,45,False
2011-07-30,47,False
2011-07-31,43,False
2011-08-01,42,False
2011-08-02,45,False
2011-08-03,44,False
2011-08-04,44,False
2011-08-05,47,False
2011-08-06,45,False
2011-08-07,41,False
2011-08-08,45,False
2011-08-09,49,False
2011-08-10,47,False
2011-08-11,45,False
2011-08-12,47,False
2011-08-13,51,False
2011-08-14,49,False
2011-08-15,48,False
2011-08-16,47,False
2011-08-17,46,False
2011-08-18,42,False
2011-08-19,47,False
2011-08-20,41,False
2011-08-21,45,False
