date,Sirius,isPartial
2013-06-29,64,False
2013-06-30,67,False
2013-07-01,64,False
2013-07-02,68,False
2013-07-03,66,False
2013-07-04,60,False
2013-07-05,62,False
2013-07-06,63,False
2013-07-07,66,False
2013-07-08,66,False
2013-07-09,67,False
2013-07-10,68,False
2013-07-11,69,False
2013-07-12,71,False
2013-07-13,70,False
2013-07-14,68,False
2013-07-15,69,False
2013-07-16,71,False
2013-07-17,66,False
2013-07-18,70,False
2013-07-19,74,False
2013-07-20,70,False
2013-07-21,67,False
2013-07-22,68,False
2013-07-23,69,False
2013-07-24,68,False
2013-07-25,65,False
2013-07-26,69,False
2013-07-27,68,False
2013-07-28,74,False
2013-07-29,69,False
2013-07-30,71,False
2013-07-31,70,False
2013-08-01,67,False
2013-08-02,74,False
2013-08-03,72,False
2013-08-04,62,False
2013-08-05,70,False
2013-08-06,66,False
2013-08-07,70,False
2013-08-08,73,False
2013-08-09,67,False
2013-08-10,69,False
2013-08-11,68,False
2013-08-12,67,False
2013-08-13,66,False
2013-08-14,66,False
2013-08-15,71,False
2013-08-16,70,False
2013-08-17,74,False
2013-08-18,65,False
2013-08-19,73,False
2013-08-20,69,False
2013-08-21,64,False
2013-08-22,65,False
2013-08-23,68,False
2013-08-24,69,False
2013-08-25,67,False
2013-08-26,71,False
2013-08-27,71,False
2013-08-28,66,False
2013-08-29,69,False
2013-08-30,70,False
2013-08-31,88,False
2013-09-01,67,False
2013-09-02,56,False
2013-09-03,69,False
2013-09-04,66,False
2013-09-05,66,False
2013-09-06,69,False
2013-09-07,80,False
2013-09-08,90,False
2013-09-09,71,False
2013-09-10,62,False
2013-09-11,63,False
2013-09-12,72,False
2013-09-13,73,False
2013-09-14,85,False
2013-09-15,88,False
2013-09-16,69,False
2013-09-17,71,False
2013-09-18,61,False
2013-09-19,62,False
2013-09-20,70,False
2013-09-21,71,False
2013-09-22,89,False
2013-09-23,63,False
2013-09-24,59,False
2013-09-25,58,False
2013-09-26,61,False
2013-09-27,60,False
2013-09-28,69,False
2013-09-29,78,False
2013-09-30,61,False
2013-10-01,61,False
2013-10-02,61,False
2013-10-03,65,False
2013-10-04,63,False
2013-10-05,69,False
2013-10-06,77,False
2013-10-07,66,False
2013-10-08,61,False
2013-10-09,62,False
2013-10-10,59,False
2013-10-11,65,False
2013-10-12,77,False
2013-10-13,79,False
2013-10-14,66,False
2013-10-15,62,False
2013-10-16,63,False
2013-10-17,61,False
2013-10-18,84,False
2013-10-19,82,False
2013-10-20,85,False
2013-10-21,67,False
2013-10-22,68,False
2013-10-23,62,False
2013-10-24,65,False
2013-10-25,72,False
2013-10-26,74,False
2013-10-27,83,False
2013-10-28,65,False
2013-10-29,65,False
2013-10-30,66,False
2013-10-31,74,False
2013-11-01,68,False
2013-11-02,81,False
2013-11-03,78,False
2013-11-04,62,False
2013-11-05,66,False
2013-11-06,64,False
2013-11-07,60,False
2013-11-08,70,False
2013-11-09,73,False
2013-11-10,75,False
2013-11-11,63,False
2013-11-12,67,False
2013-11-13,66,False
2013-11-14,70,False
2013-11-15,69,False
2013-11-16,77,False
2013-11-17,77,False
2013-11-18,67,False
2013-11-19,63,False
2013-11-20,66,False
2013-11-21,72,False
2013-11-22,77,False
2013-11-23,79,False
2013-11-24,82,False
2013-11-25,71,False
2013-11-26,74,False
2013-11-27,73,False
2013-11-28,68,False
2013-11-29,79,False
2013-11-30,98,False
2013-12-01,100,False
2013-12-02,75,False
2013-12-03,78,False
2013-12-04,78,False
2013-12-05,71,False
2013-12-06,80,False
2013-12-07,91,False
2013-12-08,87,False
2013-12-09,67,False
2013-12-10,72,False
2013-12-11,70,False
2013-12-12,68,False
2013-12-13,71,False
2013-12-14,81,False
2013-12-15,82,False
2013-12-16,74,False
2013-12-17,72,False
2013-12-18,70,False
2013-12-19,67,False
2013-12-20,82,False
2013-12-21,86,False
2013-12-22,96,False
2013-12-23,78,False
2013-12-24,86,False
2013-12-25,63,False
2013-12-26,66,False
2013-12-27,76,False
2013-12-28,68,False
2013-12-29,83,False
2013-12-30,69,False
2013-12-31,77,False
2014-01-01,67,False
2014-01-02,69,False
2014-01-03,67,False
2014-01-04,68,False
2014-01-05,71,False
2014-01-06,79,False
2014-01-07,72,False
2014-01-08,66,False
2014-01-09,79,False
2014-01-10,71,False
2014-01-11,69,False
2014-01-12,66,False
2014-01-13,61,False
2014-01-14,63,False
2014-01-15,63,False
2014-01-16,59,False
2014-01-17,59,False
2014-01-18,60,False
2014-01-19,66,False
2014-01-20,60,False
2014-01-21,62,False
2014-01-22,59,False
2014-01-23,62,False
2014-01-24,61,False
2014-01-25,63,False
2014-01-26,63,False
2014-01-27,63,False
2014-01-28,65,False
2014-01-29,60,False
2014-01-30,62,False
2014-01-31,79,False
2014-02-01,75,False
2014-02-02,61,False
2014-02-03,63,False
2014-02-04,65,False
2014-02-05,60,False
2014-02-06,59,False
2014-02-07,71,False
2014-02-08,65,False
2014-02-09,59,False
2014-02-10,61,False
2014-02-11,65,False
2014-02-12,63,False
2014-02-13,60,False
2014-02-14,64,False
2014-02-15,65,False
2014-02-16,56,False
2014-02-17,62,False
2014-02-18,61,False
2014-02-19,66,False
2014-02-20,63,False
2014-02-21,69,False
2014-02-22,65,False
2014-02-23,67,False
2014-02-24,63,False
2014-02-25,62,False
2014-02-26,63,False
2014-02-27,62,False
2014-02-28,61,False
2014-03-01,64,False
2014-03-02,61,False
2014-03-03,62,False
2014-03-04,60,False
2014-03-05,62,False
2014-03-06,60,False
2014-03-07,63,False
2014-03-08,63,False
2014-03-09,57,False
2014-03-10,60,False
2014-03-11,58,False
2014-03-12,60,False
2014-03-13,61,False
2014-03-14,64,False
2014-03-15,67,False
2014-03-16,65,False
