date,MAR stock
2011-09-18,0
2011-09-19,23
2011-09-20,0
2011-09-21,24
2011-09-22,47
2011-09-23,49
2011-09-24,0
2011-09-25,28
2011-09-26,0
2011-09-27,23
2011-09-28,35
2011-09-29,48
2011-09-30,25
2011-10-01,30
2011-10-02,29
2011-10-03,24
2011-10-04,35
2011-10-05,35
2011-10-06,35
2011-10-07,25
2011-10-08,0
2011-10-09,28
2011-10-10,69
2011-10-11,43
2011-10-12,67
2011-10-13,23
2011-10-14,36
2011-10-15,28
2011-10-16,0
2011-10-17,34
2011-10-18,23
2011-10-19,23
2011-10-20,23
2011-10-21,0
2011-10-22,0
2011-10-23,27
2011-10-24,23
2011-10-25,67
2011-10-26,35
2011-10-27,46
2011-10-28,25
2011-10-29,0
2011-10-30,28
2011-10-31,24
2011-11-01,47
2011-11-02,46
2011-11-03,23
2011-11-04,35
2011-11-05,0
2011-11-06,0
2011-11-07,23
2011-11-08,22
2011-11-09,23
2011-11-10,0
2011-11-11,36
2011-11-12,0
2011-11-13,0
2011-11-14,22
2011-11-15,45
2011-11-16,22
2011-11-17,23
2011-11-18,24
2011-11-19,54
2011-11-20,0
2011-11-21,22
2011-11-22,22
2011-11-23,68
2011-11-24,24
2011-11-25,25
2011-11-26,27
2011-11-27,27
2011-11-28,0
2011-11-29,33
2011-11-30,44
2011-12-01,22
2011-12-02,0
2011-12-03,27
2011-12-04,26
2011-12-05,22
2011-12-06,22
2011-12-07,22
2011-12-08,23
2011-12-09,24
2011-12-10,27
2011-12-11,27
2011-12-12,22
2011-12-13,0
2011-12-14,44
2011-12-15,34
2011-12-16,24
2011-12-17,27
2011-12-18,27
2011-12-19,0
2011-12-20,23
2011-12-21,70
2011-12-22,24
2011-12-23,25
2011-12-24,31
2011-12-25,0
2011-12-26,26
2011-12-27,48
2011-12-28,24
2011-12-29,24
2011-12-30,25
2011-12-31,0
2012-01-01,0
2012-01-02,24
2012-01-03,22
2012-01-04,0
2012-01-05,33
2012-01-06,23
2012-01-07,51
2012-01-08,25
2012-01-09,21
2012-01-10,21
2012-01-11,21
2012-01-12,21
2012-01-13,0
2012-01-14,25
2012-01-15,25
2012-01-16,21
2012-01-17,0
2012-01-18,21
2012-01-19,42
2012-01-20,0
2012-01-21,25
2012-01-22,37
2012-01-23,0
2012-01-24,21
2012-01-25,21
2012-01-26,21
2012-01-27,0
2012-01-28,0
2012-01-29,0
2012-01-30,62
2012-01-31,0
2012-02-01,31
2012-02-02,21
2012-02-03,32
2012-02-04,0
2012-02-05,0
2012-02-06,41
2012-02-07,21
2012-02-08,31
2012-02-09,62
2012-02-10,0
2012-02-11,25
2012-02-12,24
2012-02-13,20
2012-02-14,42
2012-02-15,31
2012-02-16,42
2012-02-17,44
2012-02-18,0
2012-02-19,50
2012-02-20,21
2012-02-21,0
2012-02-22,21
2012-02-23,41
2012-02-24,0
2012-02-25,0
2012-02-26,49
2012-02-27,30
2012-02-28,20
2012-02-29,31
2012-03-01,65
2012-03-02,22
2012-03-03,52
2012-03-04,25
2012-03-05,32
2012-03-06,41
2012-03-07,61
2012-03-08,52
2012-03-09,43
2012-03-10,25
2012-03-11,36
2012-03-12,41
2012-03-13,41
2012-03-14,31
2012-03-15,41
2012-03-16,65
2012-03-17,38
2012-03-18,49
2012-03-19,31
2012-03-20,20
2012-03-21,31
2012-03-22,31
2012-03-23,44
2012-03-24,51
2012-03-25,25
2012-03-26,41
2012-03-27,41
2012-03-28,0
2012-03-29,21
2012-03-30,22
2012-03-31,25
2012-04-01,0
2012-04-02,62
2012-04-03,31
2012-04-04,64
2012-04-05,33
2012-04-06,0
2012-04-07,26
2012-04-08,0
2012-04-09,0
2012-04-10,0
2012-04-11,41
2012-04-12,41
2012-04-13,54
2012-04-14,0
2012-04-15,49
2012-04-16,51
2012-04-17,20
2012-04-18,0
2012-04-19,41
2012-04-20,43
2012-04-21,49
2012-04-22,24
2012-04-23,30
2012-04-24,40
2012-04-25,20
2012-04-26,21
2012-04-27,0
2012-04-28,0
2012-04-29,25
2012-04-30,21
2012-05-01,23
2012-05-02,20
2012-05-03,21
2012-05-04,21
2012-05-05,25
2012-05-06,24
2012-05-07,0
2012-05-08,40
2012-05-09,20
2012-05-10,21
2012-05-11,21
2012-05-12,0
2012-05-13,50
2012-05-14,50
2012-05-15,40
2012-05-16,0
2012-05-17,32
2012-05-18,43
2012-05-19,25
2012-05-20,25
2012-05-21,20
2012-05-22,100
2012-05-23,40
2012-05-24,20
2012-05-25,21
2012-05-26,0
2012-05-27,26
2012-05-28,21
2012-05-29,39
2012-05-30,20
2012-05-31,50
2012-06-01,21
2012-06-02,50
2012-06-03,25
2012-06-04,20
