date,MAR stock
2011-01-01,38
2011-01-02,67
2011-01-03,27
2011-01-04,0
2011-01-05,0
2011-01-06,27
2011-01-07,27
2011-01-08,0
2011-01-09,0
2011-01-10,0
2011-01-11,75
2011-01-12,25
2011-01-13,0
2011-01-14,26
2011-01-15,0
2011-01-16,0
2011-01-17,25
2011-01-18,0
2011-01-19,25
2011-01-20,49
2011-01-21,51
2011-01-22,31
2011-01-23,0
2011-01-24,24
2011-01-25,0
2011-01-26,25
2011-01-27,0
2011-01-28,0
2011-01-29,0
2011-01-30,0
2011-01-31,70
2011-02-01,0
2011-02-02,24
2011-02-03,0
2011-02-04,25
2011-02-05,0
2011-02-06,0
2011-02-07,24
2011-02-08,0
2011-02-09,48
2011-02-10,25
2011-02-11,0
2011-02-12,30
2011-02-13,89
2011-02-14,0
2011-02-15,23
2011-02-16,48
2011-02-17,24
2011-02-18,25
2011-02-19,0
2011-02-20,30
2011-02-21,0
2011-02-22,0
2011-02-23,73
2011-02-24,49
2011-02-25,25
2011-02-26,30
2011-02-27,0
2011-02-28,24
2011-03-01,47
2011-03-02,24
2011-03-03,0
2011-03-04,25
2011-03-05,0
2011-03-06,0
2011-03-07,25
2011-03-08,49
2011-03-09,48
2011-03-10,24
2011-03-11,24
2011-03-12,30
2011-03-13,0
2011-03-14,100
2011-03-15,48
2011-03-16,24
2011-03-17,24
2011-03-18,0
2011-03-19,29
2011-03-20,0
2011-03-21,24
2011-03-22,0
2011-03-23,24
2011-03-24,73
2011-03-25,76
2011-03-26,29
2011-03-27,0
2011-03-28,23
2011-03-29,0
2011-03-30,24
2011-03-31,24
2011-04-01,50
2011-04-02,0
2011-04-03,30
2011-04-04,24
2011-04-05,71
2011-04-06,0
2011-04-07,24
2011-04-08,26
2011-04-09,61
2011-04-10,30
2011-04-11,0
2011-04-12,24
2011-04-13,0
2011-04-14,49
2011-04-15,25
2011-04-16,0
2011-04-17,0
2011-04-18,24
2011-04-19,0
2011-04-20,0
2011-04-21,0
2011-04-22,0
2011-04-23,0
2011-04-24,33
2011-04-25,26
2011-04-26,24
2011-04-27,24
2011-04-28,0
2011-04-29,0
2011-04-30,0
2011-05-01,0
2011-05-02,24
2011-05-03,0
2011-05-04,24
2011-05-05,49
2011-05-06,25
2011-05-07,62
2011-05-08,31
2011-05-09,0
2011-05-10,47
2011-05-11,24
2011-05-12,0
2011-05-13,25
2011-05-14,0
2011-05-15,0
2011-05-16,0
2011-05-17,0
2011-05-18,23
2011-05-19,24
2011-05-20,50
2011-05-21,30
2011-05-22,0
2011-05-23,0
2011-05-24,0
2011-05-25,24
2011-05-26,24
2011-05-27,0
2011-05-28,0
2011-05-29,31
2011-05-30,0
2011-05-31,70
2011-06-01,0
2011-06-02,0
2011-06-03,25
2011-06-04,0
2011-06-05,0
2011-06-06,24
2011-06-07,23
2011-06-08,24
2011-06-09,24
2011-06-10,49
2011-06-11,0
2011-06-12,0
2011-06-13,24
2011-06-14,0
2011-06-15,47
2011-06-16,24
2011-06-17,0
2011-06-18,0
2011-06-19,0
2011-06-20,0
2011-06-21,0
2011-06-22,0
2011-06-23,25
2011-06-24,0
2011-06-25,61
2011-06-26,31
2011-06-27,0
2011-06-28,0
2011-06-29,47
2011-06-30,0
2011-07-01,25
2011-07-02,0
2011-07-03,0
2011-07-04,25
2011-07-05,0
2011-07-06,0
2011-07-07,0
2011-07-08,25
2011-07-09,0
2011-07-10,0
2011-07-11,0
2011-07-12,24
2011-07-13,0
2011-07-14,24
2011-07-15,26
2011-07-16,31
2011-07-17,0
2011-07-18,0
2011-07-19,24
2011-07-20,0
2011-07-21,24
2011-07-22,25
2011-07-23,30
2011-07-24,30
2011-07-25,0
2011-07-26,47
2011-07-27,0
2011-07-28,0
2011-07-29,0
2011-07-30,0
2011-07-31,0
2011-08-01,47
2011-08-02,24
2011-08-03,24
2011-08-04,24
2011-08-05,25
2011-08-06,0
2011-08-07,0
2011-08-08,23
2011-08-09,46
2011-08-10,23
2011-08-11,24
2011-08-12,25
2011-08-13,30
2011-08-14,0
2011-08-15,0
2011-08-16,23
2011-08-17,0
2011-08-18,46
2011-08-19,24
2011-08-20,0
2011-08-21,29
2011-08-22,23
2011-08-23,0
2011-08-24,0
2011-08-25,45
2011-08-26,72
2011-08-27,29
2011-08-28,28
2011-08-29,46
2011-08-30,0
2011-08-31,0
2011-09-01,46
2011-09-02,0
2011-09-03,0
2011-09-04,0
2011-09-05,0
2011-09-06,0
2011-09-07,44
2011-09-08,22
2011-09-09,0
2011-09-10,27
2011-09-11,0
2011-09-12,43
2011-09-13,0
2011-09-14,22
2011-09-15,0
2011-09-16,0
2011-09-17,0
2011-09-18,0
