date,MAR stock
2014-07-24,37
2014-07-25,39
2014-07-26,0
2014-07-27,0
2014-07-28,19
2014-07-29,0
2014-07-30,19
2014-07-31,19
2014-08-01,20
2014-08-02,0
2014-08-03,0
2014-08-04,0
2014-08-05,0
2014-08-06,37
2014-08-07,27
2014-08-08,0
2014-08-09,67
2014-08-10,22
2014-08-11,36
2014-08-12,0
2014-08-13,36
2014-08-14,37
2014-08-15,20
2014-08-16,22
2014-08-17,0
2014-08-18,37
2014-08-19,54
2014-08-20,18
2014-08-21,18
2014-08-22,0
2014-08-23,43
2014-08-24,22
2014-08-25,18
2014-08-26,53
2014-08-27,35
2014-08-28,55
2014-08-29,56
2014-08-30,0
2014-08-31,0
2014-09-01,0
2014-09-02,0
2014-09-03,0
2014-09-04,70
2014-09-05,73
2014-09-06,21
2014-09-07,41
2014-09-08,52
2014-09-09,17
2014-09-10,17
2014-09-11,0
2014-09-12,0
2014-09-13,0
2014-09-14,0
2014-09-15,17
2014-09-16,17
2014-09-17,17
2014-09-18,18
2014-09-19,36
2014-09-20,0
2014-09-21,0
2014-09-22,17
2014-09-23,17
2014-09-24,17
2014-09-25,18
2014-09-26,54
2014-09-27,42
2014-09-28,0
2014-09-29,0
2014-09-30,17
2014-10-01,17
2014-10-02,35
2014-10-03,0
2014-10-04,0
2014-10-05,62
2014-10-06,0
2014-10-07,34
2014-10-08,17
2014-10-09,17
2014-10-10,18
2014-10-11,21
2014-10-12,0
2014-10-13,68
2014-10-14,0
2014-10-15,34
2014-10-16,0
2014-10-17,36
2014-10-18,20
2014-10-19,41
2014-10-20,17
2014-10-21,66
2014-10-22,0
2014-10-23,17
2014-10-24,0
2014-10-25,20
2014-10-26,20
2014-10-27,33
2014-10-28,0
2014-10-29,34
2014-10-30,17
2014-10-31,18
2014-11-01,41
2014-11-02,0
2014-11-03,34
2014-11-04,0
2014-11-05,17
2014-11-06,17
2014-11-07,0
2014-11-08,0
2014-11-09,0
2014-11-10,67
2014-11-11,33
2014-11-12,17
2014-11-13,0
2014-11-14,17
2014-11-15,20
2014-11-16,0
2014-11-17,65
2014-11-18,18
2014-11-19,34
2014-11-20,0
2014-11-21,35
2014-11-22,0
2014-11-23,0
2014-11-24,33
2014-11-25,16
2014-11-26,66
2014-11-27,17
2014-11-28,70
2014-11-29,0
2014-11-30,38
2014-12-01,0
2014-12-02,0
2014-12-03,17
2014-12-04,17
2014-12-05,35
2014-12-06,20
2014-12-07,20
2014-12-08,33
2014-12-09,33
2014-12-10,100
2014-12-11,17
2014-12-12,53
2014-12-13,0
2014-12-14,0
2014-12-15,0
2014-12-16,17
2014-12-17,17
2014-12-18,35
2014-12-19,18
2014-12-20,0
2014-12-21,21
2014-12-22,0
2014-12-23,18
2014-12-24,0
2014-12-25,22
2014-12-26,20
2014-12-27,0
2014-12-28,0
2014-12-29,35
2014-12-30,18
2014-12-31,0
2015-01-01,21
2015-01-02,37
2015-01-03,19
2015-01-04,19
2015-01-05,33
2015-01-06,17
2015-01-07,0
2015-01-08,16
2015-01-09,83
2015-01-10,0
2015-01-11,0
2015-01-12,32
2015-01-13,79
2015-01-14,16
2015-01-15,32
2015-01-16,17
2015-01-17,19
2015-01-18,0
2015-01-19,0
2015-01-20,0
2015-01-21,47
2015-01-22,48
2015-01-23,16
2015-01-24,0
2015-01-25,0
2015-01-26,0
2015-01-27,31
2015-01-28,16
2015-01-29,64
2015-01-30,33
2015-01-31,0
2015-02-01,0
2015-02-02,16
2015-02-03,31
2015-02-04,16
2015-02-05,48
2015-02-06,33
2015-02-07,0
2015-02-08,0
2015-02-09,47
2015-02-10,16
2015-02-11,15
2015-02-12,48
2015-02-13,82
2015-02-14,0
2015-02-15,19
2015-02-16,65
2015-02-17,0
2015-02-18,32
2015-02-19,80
2015-02-20,33
2015-02-21,0
2015-02-22,0
2015-02-23,15
2015-02-24,15
2015-02-25,62
2015-02-26,63
2015-02-27,32
2015-02-28,0
2015-03-01,0
2015-03-02,31
2015-03-03,78
2015-03-04,16
2015-03-05,32
2015-03-06,0
2015-03-07,19
2015-03-08,18
2015-03-09,63
2015-03-10,0
2015-03-11,31
2015-03-12,31
2015-03-13,16
2015-03-14,37
2015-03-15,0
2015-03-16,47
2015-03-17,47
2015-03-18,62
2015-03-19,62
2015-03-20,64
2015-03-21,18
2015-03-22,0
2015-03-23,0
2015-03-24,47
2015-03-25,0
2015-03-26,18
2015-03-27,49
2015-03-28,59
2015-03-29,19
2015-03-30,31
2015-03-31,31
2015-04-01,64
2015-04-02,66
2015-04-03,0
2015-04-04,19
2015-04-05,0
2015-04-06,34
2015-04-07,31
2015-04-08,47
2015-04-09,47
2015-04-10,33
