date,Gilead,isPartial
2013-02-19,66,False
2013-02-20,61,False
2013-02-21,63,False
2013-02-22,56,False
2013-02-23,42,False
2013-02-24,35,False
2013-02-25,71,False
2013-02-26,81,False
2013-02-27,68,False
2013-02-28,64,False
2013-03-01,66,False
2013-03-02,46,False
2013-03-03,47,False
2013-03-04,77,False
2013-03-05,59,False
2013-03-06,77,False
2013-03-07,73,False
2013-03-08,64,False
2013-03-09,52,False
2013-03-10,56,False
2013-03-11,51,False
2013-03-12,77,False
2013-03-13,75,False
2013-03-14,67,False
2013-03-15,51,False
2013-03-16,53,False
2013-03-17,54,False
2013-03-18,51,False
2013-03-19,63,False
2013-03-20,61,False
2013-03-21,72,False
2013-03-22,69,False
2013-03-23,38,False
2013-03-24,44,False
2013-03-25,62,False
2013-03-26,71,False
2013-03-27,85,False
2013-03-28,67,False
2013-03-29,55,False
2013-03-30,59,False
2013-03-31,43,False
2013-04-01,60,False
2013-04-02,59,False
2013-04-03,75,False
2013-04-04,68,False
2013-04-05,60,False
2013-04-06,29,False
2013-04-07,34,False
2013-04-08,63,False
2013-04-09,53,False
2013-04-10,81,False
2013-04-11,85,False
2013-04-12,81,False
2013-04-13,49,False
2013-04-14,43,False
2013-04-15,70,False
2013-04-16,55,False
2013-04-17,68,False
2013-04-18,66,False
2013-04-19,74,False
2013-04-20,30,False
2013-04-21,70,False
2013-04-22,86,False
2013-04-23,75,False
2013-04-24,99,False
2013-04-25,79,False
2013-04-26,81,False
2013-04-27,45,False
2013-04-28,56,False
2013-04-29,76,False
2013-04-30,76,False
2013-05-01,76,False
2013-05-02,81,False
2013-05-03,74,False
2013-05-04,49,False
2013-05-05,50,False
2013-05-06,66,False
2013-05-07,64,False
2013-05-08,56,False
2013-05-09,74,False
2013-05-10,67,False
2013-05-11,38,False
2013-05-12,53,False
2013-05-13,59,False
2013-05-14,58,False
2013-05-15,78,False
2013-05-16,68,False
2013-05-17,61,False
2013-05-18,42,False
2013-05-19,52,False
2013-05-20,73,False
2013-05-21,64,False
2013-05-22,66,False
2013-05-23,78,False
2013-05-24,58,False
2013-05-25,42,False
2013-05-26,43,False
2013-05-27,62,False
2013-05-28,45,False
2013-05-29,64,False
2013-05-30,50,False
2013-05-31,57,False
2013-06-01,51,False
2013-06-02,63,False
2013-06-03,59,False
2013-06-04,65,False
2013-06-05,70,False
2013-06-06,66,False
2013-06-07,58,False
2013-06-08,49,False
2013-06-09,47,False
2013-06-10,79,False
2013-06-11,57,False
2013-06-12,59,False
2013-06-13,61,False
2013-06-14,67,False
2013-06-15,43,False
2013-06-16,44,False
2013-06-17,66,False
2013-06-18,52,False
2013-06-19,59,False
2013-06-20,58,False
2013-06-21,68,False
2013-06-22,44,False
2013-06-23,47,False
2013-06-24,72,False
2013-06-25,56,False
2013-06-26,71,False
2013-06-27,63,False
2013-06-28,65,False
