date,Regeneron,isPartial
2012-01-26,42,False
2012-01-27,32,False
2012-01-28,25,False
2012-01-29,21,False
2012-01-30,34,False
2012-01-31,34,False
2012-02-01,54,False
2012-02-02,34,False
2012-02-03,25,False
2012-02-04,25,False
2012-02-05,8,False
2012-02-06,38,False
2012-02-07,37,False
2012-02-08,54,False
2012-02-09,31,False
2012-02-10,32,False
2012-02-11,33,False
2012-02-12,12,False
2012-02-13,70,False
2012-02-14,20,False
2012-02-15,52,False
2012-02-16,38,False
2012-02-17,25,False
2012-02-18,17,False
2012-02-19,25,False
2012-02-20,18,False
2012-02-21,18,False
2012-02-22,24,False
2012-02-23,24,False
2012-02-24,42,False
2012-02-25,29,False
2012-02-26,12,False
2012-02-27,30,False
2012-02-28,37,False
2012-02-29,34,False
2012-03-01,32,False
2012-03-02,37,False
2012-03-03,9,False
2012-03-04,13,False
2012-03-05,28,False
2012-03-06,24,False
2012-03-07,27,False
2012-03-08,21,False
2012-03-09,36,False
2012-03-10,8,False
2012-03-11,32,False
2012-03-12,34,False
2012-03-13,47,False
2012-03-14,41,False
2012-03-15,31,False
2012-03-16,50,False
2012-03-17,8,False
2012-03-18,16,False
2012-03-19,37,False
2012-03-20,41,False
2012-03-21,61,False
2012-03-22,100,False
2012-03-23,62,False
2012-03-24,25,False
2012-03-25,17,False
2012-03-26,27,False
2012-03-27,20,False
2012-03-28,55,False
2012-03-29,41,False
2012-03-30,26,False
2012-03-31,20,False
2012-04-01,12,False
2012-04-02,31,False
2012-04-03,31,False
2012-04-04,38,False
2012-04-05,50,False
2012-04-06,40,False
2012-04-07,17,False
2012-04-08,9,False
2012-04-09,40,False
2012-04-10,35,False
2012-04-11,17,False
2012-04-12,20,False
2012-04-13,25,False
2012-04-14,12,False
2012-04-15,8,False
2012-04-16,56,False
2012-04-17,17,False
2012-04-18,54,False
2012-04-19,48,False
2012-04-20,32,False
2012-04-21,16,False
2012-04-22,12,False
2012-04-23,30,False
2012-04-24,30,False
2012-04-25,20,False
2012-04-26,82,False
2012-04-27,61,False
2012-04-28,25,False
2012-04-29,8,False
2012-04-30,46,False
2012-05-01,41,False
2012-05-02,34,False
2012-05-03,41,False
2012-05-04,39,False
2012-05-05,16,False
2012-05-06,12,False
2012-05-07,30,False
2012-05-08,17,False
2012-05-09,46,False
2012-05-10,27,False
2012-05-11,21,False
2012-05-12,8,False
2012-05-13,25,False
2012-05-14,30,False
2012-05-15,33,False
2012-05-16,50,False
2012-05-17,31,False
2012-05-18,18,False
2012-05-19,8,False
2012-05-20,25,False
2012-05-21,27,False
2012-05-22,50,False
2012-05-23,24,False
2012-05-24,44,False
2012-05-25,18,False
2012-05-26,17,False
2012-05-27,17,False
2012-05-28,18,False
2012-05-29,33,False
2012-05-30,50,False
2012-05-31,33,False
2012-06-01,10,False
2012-06-02,12,False
2012-06-03,24,False
2012-06-04,13,False
2012-06-05,20,False
2012-06-06,36,False
2012-06-07,14,False
2012-06-08,24,False
2012-06-09,8,False
2012-06-10,16,False
2012-06-11,23,False
2012-06-12,26,False
2012-06-13,47,False
2012-06-14,34,False
2012-06-15,21,False
2012-06-16,12,False
2012-06-17,13,False
2012-06-18,36,False
2012-06-19,39,False
2012-06-20,27,False
2012-06-21,20,False
2012-06-22,14,False
2012-06-23,0,False
2012-06-24,12,False
2012-06-25,33,False
2012-06-26,33,False
2012-06-27,20,False
2012-06-28,34,False
2012-06-29,25,False
2012-06-30,8,False
2012-07-01,17,False
2012-07-02,27,False
2012-07-03,20,False
2012-07-04,25,False
2012-07-05,14,False
2012-07-06,25,False
2012-07-07,0,False
2012-07-08,0,False
2012-07-09,20,False
2012-07-10,26,False
2012-07-11,44,False
2012-07-12,37,False
2012-07-13,32,False
2012-07-14,21,False
2012-07-15,25,False
2012-07-16,24,False
2012-07-17,33,False
2012-07-18,47,False
2012-07-19,21,False
2012-07-20,25,False
2012-07-21,17,False
2012-07-22,0,False
2012-07-23,34,False
2012-07-24,31,False
