date,Regeneron,isPartial
2011-01-01,0,False
2011-01-02,0,False
2011-01-03,14,False
2011-01-04,13,False
2011-01-05,7,False
2011-01-06,7,False
2011-01-07,33,False
2011-01-08,16,False
2011-01-09,8,False
2011-01-10,19,False
2011-01-11,12,False
2011-01-12,12,False
2011-01-13,19,False
2011-01-14,13,False
2011-01-15,8,False
2011-01-16,0,False
2011-01-17,18,False
2011-01-18,25,False
2011-01-19,43,False
2011-01-20,12,False
2011-01-21,6,False
2011-01-22,8,False
2011-01-23,0,False
2011-01-24,6,False
2011-01-25,37,False
2011-01-26,12,False
2011-01-27,6,False
2011-01-28,6,False
2011-01-29,15,False
2011-01-30,7,False
2011-01-31,0,False
2011-02-01,6,False
2011-02-02,12,False
2011-02-03,24,False
2011-02-04,19,False
2011-02-05,7,False
2011-02-06,0,False
2011-02-07,12,False
2011-02-08,24,False
2011-02-09,42,False
2011-02-10,12,False
2011-02-11,39,False
2011-02-12,0,False
2011-02-13,15,False
2011-02-14,24,False
2011-02-15,35,False
2011-02-16,12,False
2011-02-17,18,False
2011-02-18,13,False
2011-02-19,7,False
2011-02-20,0,False
2011-02-21,12,False
2011-02-22,18,False
2011-02-23,30,False
2011-02-24,31,False
2011-02-25,44,False
2011-02-26,0,False
2011-02-27,15,False
2011-02-28,30,False
2011-03-01,0,False
2011-03-02,18,False
2011-03-03,12,False
2011-03-04,25,False
2011-03-05,0,False
2011-03-06,23,False
2011-03-07,18,False
2011-03-08,31,False
2011-03-09,6,False
2011-03-10,12,False
2011-03-11,18,False
2011-03-12,0,False
2011-03-13,15,False
2011-03-14,25,False
2011-03-15,0,False
2011-03-16,35,False
2011-03-17,6,False
2011-03-18,19,False
2011-03-19,0,False
2011-03-20,15,False
2011-03-21,30,False
2011-03-22,24,False
2011-03-23,36,False
2011-03-24,30,False
2011-03-25,6,False
2011-03-26,7,False
2011-03-27,7,False
2011-03-28,23,False
2011-03-29,12,False
2011-03-30,18,False
2011-03-31,0,False
2011-04-01,19,False
2011-04-02,0,False
2011-04-03,0,False
2011-04-04,12,False
2011-04-05,18,False
2011-04-06,36,False
2011-04-07,55,False
2011-04-08,19,False
2011-04-09,8,False
2011-04-10,8,False
2011-04-11,24,False
2011-04-12,18,False
2011-04-13,6,False
2011-04-14,24,False
2011-04-15,19,False
2011-04-16,23,False
2011-04-17,0,False
2011-04-18,24,False
2011-04-19,18,False
2011-04-20,12,False
2011-04-21,13,False
2011-04-22,15,False
2011-04-23,0,False
2011-04-24,0,False
2011-04-25,46,False
2011-04-26,18,False
2011-04-27,71,False
2011-04-28,42,False
2011-04-29,51,False
2011-04-30,15,False
2011-05-01,8,False
2011-05-02,30,False
2011-05-03,24,False
2011-05-04,36,False
2011-05-05,12,False
2011-05-06,19,False
2011-05-07,8,False
2011-05-08,15,False
2011-05-09,24,False
2011-05-10,29,False
2011-05-11,30,False
2011-05-12,18,False
2011-05-13,13,False
2011-05-14,8,False
2011-05-15,7,False
2011-05-16,23,False
2011-05-17,18,False
2011-05-18,30,False
2011-05-19,42,False
2011-05-20,13,False
2011-05-21,0,False
2011-05-22,0,False
2011-05-23,29,False
2011-05-24,18,False
2011-05-25,12,False
2011-05-26,6,False
2011-05-27,19,False
2011-05-28,8,False
2011-05-29,8,False
2011-05-30,19,False
2011-05-31,12,False
2011-06-01,18,False
2011-06-02,12,False
2011-06-03,38,False
2011-06-04,15,False
2011-06-05,7,False
2011-06-06,12,False
2011-06-07,35,False
2011-06-08,0,False
2011-06-09,42,False
2011-06-10,50,False
2011-06-11,15,False
2011-06-12,8,False
2011-06-13,18,False
2011-06-14,35,False
2011-06-15,23,False
2011-06-16,30,False
2011-06-17,100,False
2011-06-18,8,False
2011-06-19,23,False
2011-06-20,23,False
2011-06-21,41,False
2011-06-22,18,False
2011-06-23,18,False
2011-06-24,13,False
2011-06-25,8,False
2011-06-26,8,False
2011-06-27,30,False
2011-06-28,12,False
2011-06-29,24,False
2011-06-30,6,False
2011-07-01,25,False
2011-07-02,0,False
2011-07-03,8,False
2011-07-04,0,False
2011-07-05,18,False
2011-07-06,18,False
2011-07-07,12,False
2011-07-08,19,False
2011-07-09,8,False
2011-07-10,8,False
2011-07-11,18,False
2011-07-12,30,False
2011-07-13,18,False
2011-07-14,18,False
2011-07-15,19,False
2011-07-16,8,False
2011-07-17,0,False
