date,Regeneron,isPartial
2012-10-12,29,False
2012-10-13,8,False
2012-10-14,0,False
2012-10-15,40,False
2012-10-16,47,False
2012-10-17,40,False
2012-10-18,14,False
2012-10-19,42,False
2012-10-20,8,False
2012-10-21,8,False
2012-10-22,20,False
2012-10-23,33,False
2012-10-24,67,False
2012-10-25,34,False
2012-10-26,43,False
2012-10-27,33,False
2012-10-28,24,False
2012-10-29,20,False
2012-10-30,13,False
2012-10-31,27,False
2012-11-01,14,False
2012-11-02,50,False
2012-11-03,0,False
2012-11-04,8,False
2012-11-05,33,False
2012-11-06,20,False
2012-11-07,13,False
2012-11-08,40,False
2012-11-09,49,False
2012-11-10,16,False
2012-11-11,0,False
2012-11-12,46,False
2012-11-13,54,False
2012-11-14,66,False
2012-11-15,54,False
2012-11-16,42,False
2012-11-17,24,False
2012-11-18,23,False
2012-11-19,45,False
2012-11-20,39,False
2012-11-21,33,False
2012-11-22,21,False
2012-11-23,7,False
2012-11-24,16,False
2012-11-25,23,False
2012-11-26,38,False
2012-11-27,32,False
2012-11-28,32,False
2012-11-29,52,False
2012-11-30,20,False
2012-12-01,8,False
2012-12-02,8,False
2012-12-03,32,False
2012-12-04,58,False
2012-12-05,45,False
2012-12-06,27,False
2012-12-07,27,False
2012-12-08,24,False
2012-12-09,15,False
2012-12-10,51,False
2012-12-11,46,False
2012-12-12,39,False
2012-12-13,33,False
2012-12-14,13,False
2012-12-15,8,False
2012-12-16,23,False
2012-12-17,26,False
2012-12-18,39,False
2012-12-19,26,False
2012-12-20,20,False
2012-12-21,28,False
2012-12-22,0,False
2012-12-23,0,False
2012-12-24,0,False
2012-12-25,9,False
2012-12-26,7,False
2012-12-27,7,False
2012-12-28,29,False
2012-12-29,16,False
2012-12-30,24,False
2012-12-31,24,False
2013-01-01,33,False
2013-01-02,13,False
2013-01-03,33,False
2013-01-04,20,False
2013-01-05,15,False
2013-01-06,22,False
2013-01-07,44,False
2013-01-08,69,False
2013-01-09,81,False
2013-01-10,38,False
2013-01-11,52,False
2013-01-12,15,False
2013-01-13,29,False
2013-01-14,43,False
2013-01-15,93,False
2013-01-16,37,False
2013-01-17,25,False
2013-01-18,57,False
2013-01-19,29,False
2013-01-20,22,False
2013-01-21,55,False
2013-01-22,24,False
2013-01-23,31,False
2013-01-24,31,False
2013-01-25,25,False
2013-01-26,0,False
2013-01-27,14,False
2013-01-28,36,False
2013-01-29,36,False
2013-01-30,6,False
2013-01-31,56,False
2013-02-01,39,False
2013-02-02,7,False
2013-02-03,0,False
2013-02-04,42,False
2013-02-05,62,False
2013-02-06,55,False
2013-02-07,25,False
2013-02-08,38,False
2013-02-09,15,False
2013-02-10,15,False
2013-02-11,50,False
2013-02-12,44,False
2013-02-13,31,False
2013-02-14,38,False
2013-02-15,32,False
2013-02-16,14,False
2013-02-17,14,False
2013-02-18,30,False
2013-02-19,24,False
2013-02-20,42,False
2013-02-21,24,False
2013-02-22,44,False
2013-02-23,0,False
2013-02-24,42,False
2013-02-25,35,False
2013-02-26,29,False
2013-02-27,24,False
2013-02-28,37,False
2013-03-01,31,False
2013-03-02,21,False
2013-03-03,14,False
