date,MSFT stock
2012-01-26,7
2012-01-27,31
2012-01-28,18
2012-01-29,0
2012-01-30,36
2012-01-31,37
2012-02-01,37
2012-02-02,22
2012-02-03,23
2012-02-04,9
2012-02-05,0
2012-02-06,37
2012-02-07,29
2012-02-08,36
2012-02-09,7
2012-02-10,31
2012-02-11,18
2012-02-12,0
2012-02-13,7
2012-02-14,45
2012-02-15,15
2012-02-16,53
2012-02-17,85
2012-02-18,27
2012-02-19,9
2012-02-20,15
2012-02-21,8
2012-02-22,15
2012-02-23,22
2012-02-24,23
2012-02-25,27
2012-02-26,9
2012-02-27,29
2012-02-28,14
2012-02-29,65
2012-03-01,46
2012-03-02,32
2012-03-03,9
2012-03-04,27
2012-03-05,30
2012-03-06,44
2012-03-07,36
2012-03-08,23
2012-03-09,15
2012-03-10,9
2012-03-11,9
2012-03-12,22
2012-03-13,36
2012-03-14,22
2012-03-15,22
2012-03-16,54
2012-03-17,0
2012-03-18,18
2012-03-19,29
2012-03-20,44
2012-03-21,15
2012-03-22,44
2012-03-23,23
2012-03-24,27
2012-03-25,18
2012-03-26,36
2012-03-27,29
2012-03-28,52
2012-03-29,15
2012-03-30,32
2012-03-31,27
2012-04-01,0
2012-04-02,45
2012-04-03,37
2012-04-04,46
2012-04-05,46
2012-04-06,0
2012-04-07,9
2012-04-08,28
2012-04-09,9
2012-04-10,15
2012-04-11,14
2012-04-12,52
2012-04-13,54
2012-04-14,35
2012-04-15,17
2012-04-16,44
2012-04-17,28
2012-04-18,65
2012-04-19,66
2012-04-20,70
2012-04-21,17
2012-04-22,17
2012-04-23,29
2012-04-24,14
2012-04-25,22
2012-04-26,22
2012-04-27,46
2012-04-28,9
2012-04-29,0
2012-04-30,30
2012-05-01,56
2012-05-02,36
2012-05-03,22
2012-05-04,15
2012-05-05,9
2012-05-06,17
2012-05-07,22
2012-05-08,28
2012-05-09,14
2012-05-10,15
2012-05-11,23
2012-05-12,36
2012-05-13,0
2012-05-14,21
2012-05-15,43
2012-05-16,44
2012-05-17,23
2012-05-18,23
2012-05-19,36
2012-05-20,27
2012-05-21,50
2012-05-22,14
2012-05-23,44
2012-05-24,29
2012-05-25,31
2012-05-26,0
2012-05-27,0
2012-05-28,0
2012-05-29,43
2012-05-30,43
2012-05-31,29
2012-06-01,38
2012-06-02,27
2012-06-03,9
2012-06-04,28
2012-06-05,14
2012-06-06,42
2012-06-07,22
2012-06-08,0
2012-06-09,9
2012-06-10,0
2012-06-11,36
2012-06-12,14
2012-06-13,14
2012-06-14,22
2012-06-15,31
2012-06-16,9
2012-06-17,0
2012-06-18,21
2012-06-19,50
2012-06-20,79
2012-06-21,51
2012-06-22,15
2012-06-23,9
2012-06-24,0
2012-06-25,14
2012-06-26,50
2012-06-27,14
2012-06-28,29
2012-06-29,100
2012-06-30,9
2012-07-01,9
2012-07-02,22
2012-07-03,50
2012-07-04,8
2012-07-05,23
2012-07-06,15
2012-07-07,9
2012-07-08,0
2012-07-09,36
2012-07-10,14
2012-07-11,37
2012-07-12,37
2012-07-13,8
2012-07-14,18
2012-07-15,9
2012-07-16,22
2012-07-17,50
2012-07-18,51
2012-07-19,37
2012-07-20,85
2012-07-21,28
2012-07-22,9
2012-07-23,66
2012-07-24,37
2012-07-25,37
2012-07-26,15
2012-07-27,39
2012-07-28,18
2012-07-29,9
2012-07-30,7
2012-07-31,22
2012-08-01,22
2012-08-02,15
2012-08-03,16
2012-08-04,18
2012-08-05,9
2012-08-06,44
2012-08-07,29
2012-08-08,29
2012-08-09,15
2012-08-10,23
2012-08-11,27
2012-08-12,9
2012-08-13,37
2012-08-14,36
2012-08-15,8
2012-08-16,45
2012-08-17,39
2012-08-18,9
2012-08-19,19
2012-08-20,38
2012-08-21,22
2012-08-22,29
2012-08-23,44
2012-08-24,38
2012-08-25,9
2012-08-26,0
2012-08-27,14
2012-08-28,14
2012-08-29,35
2012-08-30,29
2012-08-31,52
2012-09-01,44
2012-09-02,0
2012-09-03,7
2012-09-04,56
2012-09-05,35
2012-09-06,36
2012-09-07,15
2012-09-08,9
2012-09-09,0
2012-09-10,0
2012-09-11,28
2012-09-12,14
2012-09-13,28
2012-09-14,22
2012-09-15,9
2012-09-16,17
2012-09-17,28
2012-09-18,20
2012-09-19,41
2012-09-20,35
2012-09-21,29
2012-09-22,9
2012-09-23,8
2012-09-24,27
2012-09-25,28
2012-09-26,41
2012-09-27,49
2012-09-28,15
2012-09-29,8
2012-09-30,0
2012-10-01,41
2012-10-02,34
2012-10-03,7
2012-10-04,68
2012-10-05,49
2012-10-06,0
2012-10-07,0
2012-10-08,33
2012-10-09,20
2012-10-10,47
2012-10-11,13
2012-10-12,28
