date,MSFT stock
2011-09-18,20
2011-09-19,17
2011-09-20,41
2011-09-21,50
2011-09-22,17
2011-09-23,26
2011-09-24,10
2011-09-25,40
2011-09-26,25
2011-09-27,33
2011-09-28,42
2011-09-29,50
2011-09-30,18
2011-10-01,0
2011-10-02,0
2011-10-03,8
2011-10-04,16
2011-10-05,41
2011-10-06,58
2011-10-07,35
2011-10-08,30
2011-10-09,0
2011-10-10,25
2011-10-11,31
2011-10-12,32
2011-10-13,82
2011-10-14,26
2011-10-15,10
2011-10-16,10
2011-10-17,24
2011-10-18,8
2011-10-19,40
2011-10-20,33
2011-10-21,35
2011-10-22,20
2011-10-23,10
2011-10-24,32
2011-10-25,32
2011-10-26,33
2011-10-27,25
2011-10-28,61
2011-10-29,10
2011-10-30,0
2011-10-31,51
2011-11-01,59
2011-11-02,8
2011-11-03,41
2011-11-04,17
2011-11-05,10
2011-11-06,10
2011-11-07,8
2011-11-08,24
2011-11-09,32
2011-11-10,8
2011-11-11,0
2011-11-12,0
2011-11-13,10
2011-11-14,8
2011-11-15,24
2011-11-16,16
2011-11-17,56
2011-11-18,25
2011-11-19,10
2011-11-20,10
2011-11-21,23
2011-11-22,31
2011-11-23,16
2011-11-24,8
2011-11-25,17
2011-11-26,39
2011-11-27,0
2011-11-28,23
2011-11-29,8
2011-11-30,24
2011-12-01,24
2011-12-02,25
2011-12-03,10
2011-12-04,0
2011-12-05,23
2011-12-06,8
2011-12-07,16
2011-12-08,32
2011-12-09,0
2011-12-10,29
2011-12-11,9
2011-12-12,24
2011-12-13,8
2011-12-14,0
2011-12-15,16
2011-12-16,34
2011-12-17,10
2011-12-18,0
2011-12-19,24
2011-12-20,24
2011-12-21,8
2011-12-22,25
2011-12-23,9
2011-12-24,0
2011-12-25,12
2011-12-26,0
2011-12-27,25
2011-12-28,0
2011-12-29,9
2011-12-30,9
2011-12-31,0
2012-01-01,11
2012-01-02,0
2012-01-03,16
2012-01-04,23
2012-01-05,31
2012-01-06,16
2012-01-07,18
2012-01-08,9
2012-01-09,23
2012-01-10,15
2012-01-11,15
2012-01-12,15
2012-01-13,16
2012-01-14,18
2012-01-15,0
2012-01-16,7
2012-01-17,37
2012-01-18,30
2012-01-19,30
2012-01-20,93
2012-01-21,9
2012-01-22,0
2012-01-23,15
2012-01-24,37
2012-01-25,37
2012-01-26,30
2012-01-27,47
2012-01-28,27
2012-01-29,0
2012-01-30,15
2012-01-31,22
2012-02-01,44
2012-02-02,67
2012-02-03,15
2012-02-04,18
2012-02-05,9
2012-02-06,44
2012-02-07,36
2012-02-08,29
2012-02-09,15
2012-02-10,8
2012-02-11,18
2012-02-12,0
2012-02-13,21
2012-02-14,22
2012-02-15,15
2012-02-16,30
2012-02-17,55
2012-02-18,27
2012-02-19,0
2012-02-20,8
2012-02-21,38
2012-02-22,7
2012-02-23,22
2012-02-24,46
2012-02-25,18
2012-02-26,9
2012-02-27,22
2012-02-28,29
2012-02-29,58
2012-03-01,62
2012-03-02,40
2012-03-03,28
2012-03-04,18
2012-03-05,0
2012-03-06,51
2012-03-07,22
2012-03-08,22
2012-03-09,38
2012-03-10,9
2012-03-11,17
2012-03-12,7
2012-03-13,36
2012-03-14,15
2012-03-15,29
2012-03-16,46
2012-03-17,27
2012-03-18,9
2012-03-19,29
2012-03-20,44
2012-03-21,7
2012-03-22,22
2012-03-23,31
2012-03-24,9
2012-03-25,9
2012-03-26,29
2012-03-27,22
2012-03-28,44
2012-03-29,15
2012-03-30,24
2012-03-31,26
2012-04-01,9
2012-04-02,44
2012-04-03,59
2012-04-04,23
2012-04-05,61
2012-04-06,0
2012-04-07,9
2012-04-08,19
2012-04-09,0
2012-04-10,0
2012-04-11,28
2012-04-12,59
2012-04-13,23
2012-04-14,9
2012-04-15,9
2012-04-16,58
2012-04-17,50
2012-04-18,36
2012-04-19,73
2012-04-20,100
2012-04-21,17
2012-04-22,9
2012-04-23,21
2012-04-24,43
2012-04-25,22
2012-04-26,7
2012-04-27,46
2012-04-28,9
2012-04-29,9
2012-04-30,15
2012-05-01,40
2012-05-02,29
2012-05-03,15
2012-05-04,23
2012-05-05,18
2012-05-06,34
2012-05-07,14
2012-05-08,42
2012-05-09,14
2012-05-10,15
2012-05-11,38
2012-05-12,45
2012-05-13,0
2012-05-14,42
2012-05-15,35
2012-05-16,43
2012-05-17,30
2012-05-18,47
2012-05-19,18
2012-05-20,18
2012-05-21,28
2012-05-22,22
2012-05-23,58
2012-05-24,22
2012-05-25,23
2012-05-26,0
2012-05-27,0
2012-05-28,0
2012-05-29,28
2012-05-30,42
2012-05-31,35
2012-06-01,37
2012-06-02,27
2012-06-03,9
2012-06-04,28
