date,MSFT stock
2015-08-18,19
2015-08-19,12
2015-08-20,19
2015-08-21,37
2015-08-22,22
2015-08-23,9
2015-08-24,47
2015-08-25,44
2015-08-26,37
2015-08-27,38
2015-08-28,21
2015-08-29,4
2015-08-30,7
2015-08-31,21
2015-09-01,28
2015-09-02,21
2015-09-03,21
2015-09-04,14
2015-09-05,7
2015-09-06,6
2015-09-07,4
2015-09-08,21
2015-09-09,27
2015-09-10,27
2015-09-11,14
2015-09-12,6
2015-09-13,5
2015-09-14,11
2015-09-15,20
2015-09-16,15
2015-09-17,17
2015-09-18,22
2015-09-19,7
2015-09-20,7
2015-09-21,15
2015-09-22,20
2015-09-23,13
2015-09-24,15
2015-09-25,13
2015-09-26,4
2015-09-27,2
2015-09-28,15
2015-09-29,19
2015-09-30,19
2015-10-01,17
2015-10-02,17
2015-10-03,7
2015-10-04,2
2015-10-05,19
2015-10-06,28
2015-10-07,27
2015-10-08,21
2015-10-09,22
2015-10-10,10
2015-10-11,14
2015-10-12,19
2015-10-13,18
2015-10-14,19
2015-10-15,19
2015-10-16,21
2015-10-17,8
2015-10-18,8
2015-10-19,19
2015-10-20,17
2015-10-21,24
2015-10-22,44
2015-10-23,95
2015-10-24,20
2015-10-25,13
2015-10-26,49
2015-10-27,43
2015-10-28,36
2015-10-29,37
2015-10-30,26
2015-10-31,10
2015-11-01,8
2015-11-02,33
2015-11-03,31
2015-11-04,27
2015-11-05,26
2015-11-06,20
2015-11-07,6
2015-11-08,9
2015-11-09,17
2015-11-10,24
2015-11-11,17
2015-11-12,26
2015-11-13,22
2015-11-14,3
2015-11-15,6
2015-11-16,25
2015-11-17,23
2015-11-18,22
2015-11-19,21
2015-11-20,23
2015-11-21,7
2015-11-22,11
2015-11-23,18
2015-11-24,19
2015-11-25,12
2015-11-26,6
2015-11-27,12
2015-11-28,7
2015-11-29,3
2015-11-30,19
2015-12-01,33
2015-12-02,16
2015-12-03,22
2015-12-04,21
2015-12-05,16
2015-12-06,6
2015-12-07,22
2015-12-08,19
2015-12-09,21
2015-12-10,27
2015-12-11,20
2015-12-12,11
2015-12-13,6
2015-12-14,20
2015-12-15,29
2015-12-16,24
2015-12-17,15
2015-12-18,25
2015-12-19,11
2015-12-20,8
2015-12-21,16
2015-12-22,11
2015-12-23,24
2015-12-24,16
2015-12-25,3
2015-12-26,5
2015-12-27,7
2015-12-28,15
2015-12-29,19
2015-12-30,17
2015-12-31,18
2016-01-01,5
2016-01-02,8
2016-01-03,4
2016-01-04,34
2016-01-05,32
2016-01-06,22
2016-01-07,43
2016-01-08,46
2016-01-09,11
2016-01-10,8
2016-01-11,18
2016-01-12,25
2016-01-13,39
2016-01-14,30
2016-01-15,41
2016-01-16,11
2016-01-17,7
2016-01-18,13
2016-01-19,25
2016-01-20,39
2016-01-21,41
2016-01-22,30
2016-01-23,9
2016-01-24,5
2016-01-25,23
2016-01-26,24
2016-01-27,33
2016-01-28,73
2016-01-29,85
2016-01-30,9
2016-01-31,8
2016-02-01,23
2016-02-02,38
2016-02-03,36
2016-02-04,33
2016-02-05,38
2016-02-06,15
2016-02-07,5
2016-02-08,37
2016-02-09,40
2016-02-10,26
2016-02-11,37
2016-02-12,28
2016-02-13,6
2016-02-14,7
2016-02-15,8
2016-02-16,32
2016-02-17,26
2016-02-18,27
2016-02-19,14
2016-02-20,7
2016-02-21,2
2016-02-22,28
2016-02-23,17
2016-02-24,15
2016-02-25,27
2016-02-26,22
2016-02-27,7
2016-02-28,6
2016-02-29,20
2016-03-01,24
2016-03-02,20
2016-03-03,19
2016-03-04,25
2016-03-05,8
2016-03-06,4
2016-03-07,22
2016-03-08,21
2016-03-09,18
2016-03-10,19
2016-03-11,24
2016-03-12,9
2016-03-13,5
2016-03-14,21
2016-03-15,18
2016-03-16,20
2016-03-17,29
2016-03-18,34
2016-03-19,7
2016-03-20,4
2016-03-21,26
2016-03-22,19
2016-03-23,25
2016-03-24,26
2016-03-25,11
2016-03-26,11
2016-03-27,5
2016-03-28,30
2016-03-29,29
2016-03-30,41
2016-03-31,19
2016-04-01,16
2016-04-02,16
2016-04-03,3
2016-04-04,27
2016-04-05,20
2016-04-06,25
2016-04-07,31
2016-04-08,29
2016-04-09,6
2016-04-10,3
2016-04-11,28
2016-04-12,27
2016-04-13,26
2016-04-14,17
2016-04-15,26
2016-04-16,11
2016-04-17,4
2016-04-18,29
2016-04-19,27
2016-04-20,21
2016-04-21,67
2016-04-22,100
2016-04-23,18
2016-04-24,6
2016-04-25,28
2016-04-26,33
2016-04-27,38
2016-04-28,44
2016-04-29,36
2016-04-30,9
2016-05-01,7
2016-05-02,25
2016-05-03,22
2016-05-04,26
