date,MSFT stock
2016-05-04,21
2016-05-05,19
2016-05-06,25
2016-05-07,9
2016-05-08,3
2016-05-09,22
2016-05-10,24
2016-05-11,15
2016-05-12,9
2016-05-13,15
2016-05-14,3
2016-05-15,6
2016-05-16,14
2016-05-17,18
2016-05-18,22
2016-05-19,13
2016-05-20,18
2016-05-21,3
2016-05-22,4
2016-05-23,12
2016-05-24,23
2016-05-25,40
2016-05-26,22
2016-05-27,16
2016-05-28,10
2016-05-29,0
2016-05-30,3
2016-05-31,22
2016-06-01,26
2016-06-02,21
2016-06-03,17
2016-06-04,1
2016-06-05,0
2016-06-06,14
2016-06-07,18
2016-06-08,19
2016-06-09,7
2016-06-10,14
2016-06-11,4
2016-06-12,3
2016-06-13,79
2016-06-14,48
2016-06-15,31
2016-06-16,22
2016-06-17,26
2016-06-18,6
2016-06-19,4
2016-06-20,28
2016-06-21,25
2016-06-22,15
2016-06-23,27
2016-06-24,50
2016-06-25,7
2016-06-26,0
2016-06-27,23
2016-06-28,26
2016-06-29,20
2016-06-30,29
2016-07-01,15
2016-07-02,6
2016-07-03,3
2016-07-04,6
2016-07-05,20
2016-07-06,17
2016-07-07,21
2016-07-08,14
2016-07-09,2
2016-07-10,3
2016-07-11,21
2016-07-12,25
2016-07-13,34
2016-07-14,25
2016-07-15,26
2016-07-16,1
2016-07-17,2
2016-07-18,22
2016-07-19,51
2016-07-20,87
2016-07-21,36
2016-07-22,21
2016-07-23,9
2016-07-24,9
2016-07-25,29
2016-07-26,23
2016-07-27,31
2016-07-28,26
2016-07-29,26
2016-07-30,8
2016-07-31,9
2016-08-01,25
2016-08-02,13
2016-08-03,17
2016-08-04,18
2016-08-05,22
2016-08-06,2
2016-08-07,3
2016-08-08,17
2016-08-09,16
2016-08-10,23
2016-08-11,25
2016-08-12,16
2016-08-13,13
2016-08-14,0
2016-08-15,14
2016-08-16,14
2016-08-17,16
2016-08-18,22
2016-08-19,11
2016-08-20,2
2016-08-21,8
2016-08-22,22
2016-08-23,23
2016-08-24,20
2016-08-25,10
2016-08-26,16
2016-08-27,6
2016-08-28,0
2016-08-29,16
2016-08-30,18
2016-08-31,20
2016-09-01,15
2016-09-02,24
2016-09-03,12
2016-09-04,0
2016-09-05,3
2016-09-06,18
2016-09-07,12
2016-09-08,14
2016-09-09,16
2016-09-10,9
2016-09-11,4
2016-09-12,21
2016-09-13,14
2016-09-14,14
2016-09-15,15
2016-09-16,22
2016-09-17,3
2016-09-18,8
2016-09-19,7
2016-09-20,19
2016-09-21,26
2016-09-22,20
2016-09-23,17
2016-09-24,7
2016-09-25,1
2016-09-26,9
2016-09-27,25
2016-09-28,15
2016-09-29,14
2016-09-30,21
2016-10-01,6
2016-10-02,8
2016-10-03,16
2016-10-04,12
2016-10-05,11
2016-10-06,14
2016-10-07,17
2016-10-08,3
2016-10-09,1
2016-10-10,9
2016-10-11,21
2016-10-12,11
2016-10-13,17
2016-10-14,10
2016-10-15,4
2016-10-16,7
2016-10-17,15
2016-10-18,10
2016-10-19,18
2016-10-20,48
2016-10-21,100
2016-10-22,20
2016-10-23,6
2016-10-24,30
2016-10-25,41
2016-10-26,36
2016-10-27,29
2016-10-28,32
2016-10-29,6
2016-10-30,9
2016-10-31,20
2016-11-01,28
2016-11-02,25
2016-11-03,20
2016-11-04,13
2016-11-05,4
2016-11-06,3
2016-11-07,28
2016-11-08,22
2016-11-09,51
2016-11-10,34
2016-11-11,31
2016-11-12,6
2016-11-13,3
2016-11-14,17
2016-11-15,27
2016-11-16,21
2016-11-17,24
2016-11-18,39
2016-11-19,7
2016-11-20,4
2016-11-21,28
2016-11-22,24
2016-11-23,23
2016-11-24,4
2016-11-25,11
2016-11-26,7
2016-11-27,5
2016-11-28,27
2016-11-29,23
2016-11-30,17
2016-12-01,35
2016-12-02,22
2016-12-03,8
2016-12-04,5
2016-12-05,23
2016-12-06,22
2016-12-07,22
2016-12-08,39
2016-12-09,27
2016-12-10,10
2016-12-11,5
2016-12-12,23
2016-12-13,32
2016-12-14,27
2016-12-15,29
2016-12-16,24
2016-12-17,7
2016-12-18,8
2016-12-19,29
2016-12-20,37
2016-12-21,29
2016-12-22,24
2016-12-23,28
2016-12-24,12
2016-12-25,2
2016-12-26,4
2016-12-27,24
2016-12-28,16
2016-12-29,24
2016-12-30,24
2016-12-31,6
2017-01-01,7
2017-01-02,10
2017-01-03,23
2017-01-04,18
2017-01-05,25
2017-01-06,24
2017-01-07,8
2017-01-08,3
2017-01-09,14
2017-01-10,18
2017-01-11,25
2017-01-12,24
2017-01-13,20
2017-01-14,7
2017-01-15,1
2017-01-16,5
2017-01-17,23
2017-01-18,13
2017-01-19,27
