date,NFLX stock
2015-08-18,19
2015-08-19,16
2015-08-20,30
2015-08-21,46
2015-08-22,18
2015-08-23,10
2015-08-24,66
2015-08-25,83
2015-08-26,56
2015-08-27,65
2015-08-28,39
2015-08-29,17
2015-08-30,4
2015-08-31,37
2015-09-01,50
2015-09-02,56
2015-09-03,52
2015-09-04,56
2015-09-05,15
2015-09-06,3
2015-09-07,9
2015-09-08,43
2015-09-09,46
2015-09-10,42
2015-09-11,37
2015-09-12,7
2015-09-13,5
2015-09-14,25
2015-09-15,29
2015-09-16,38
2015-09-17,30
2015-09-18,34
2015-09-19,8
2015-09-20,4
2015-09-21,22
2015-09-22,23
2015-09-23,24
2015-09-24,33
2015-09-25,38
2015-09-26,3
2015-09-27,5
2015-09-28,26
2015-09-29,28
2015-09-30,27
2015-10-01,37
2015-10-02,27
2015-10-03,9
2015-10-04,2
2015-10-05,27
2015-10-06,27
2015-10-07,26
2015-10-08,41
2015-10-09,42
2015-10-10,6
2015-10-11,4
2015-10-12,31
2015-10-13,32
2015-10-14,60
2015-10-15,64
2015-10-16,40
2015-10-17,14
2015-10-18,8
2015-10-19,30
2015-10-20,28
2015-10-21,36
2015-10-22,31
2015-10-23,42
2015-10-24,11
2015-10-25,2
2015-10-26,23
2015-10-27,24
2015-10-28,30
2015-10-29,31
2015-10-30,24
2015-10-31,8
2015-11-01,3
2015-11-02,26
2015-11-03,22
2015-11-04,29
2015-11-05,28
2015-11-06,22
2015-11-07,10
2015-11-08,2
2015-11-09,21
2015-11-10,17
2015-11-11,15
2015-11-12,16
2015-11-13,23
2015-11-14,5
2015-11-15,5
2015-11-16,22
2015-11-17,35
2015-11-18,26
2015-11-19,36
2015-11-20,39
2015-11-21,8
2015-11-22,8
2015-11-23,21
2015-11-24,14
2015-11-25,24
2015-11-26,8
2015-11-27,15
2015-11-28,5
2015-11-29,2
2015-11-30,22
2015-12-01,21
2015-12-02,30
2015-12-03,31
2015-12-04,23
2015-12-05,10
2015-12-06,6
2015-12-07,26
2015-12-08,32
2015-12-09,28
2015-12-10,25
2015-12-11,29
2015-12-12,3
2015-12-13,4
2015-12-14,21
2015-12-15,21
2015-12-16,29
2015-12-17,25
2015-12-18,15
2015-12-19,3
2015-12-20,2
2015-12-21,20
2015-12-22,18
2015-12-23,16
2015-12-24,17
2015-12-25,4
2015-12-26,3
2015-12-27,5
2015-12-28,17
2015-12-29,15
2015-12-30,21
2015-12-31,16
2016-01-01,6
2016-01-02,2
2016-01-03,2
2016-01-04,38
2016-01-05,40
2016-01-06,62
2016-01-07,88
2016-01-08,41
2016-01-09,9
2016-01-10,6
2016-01-11,31
2016-01-12,33
2016-01-13,40
2016-01-14,50
2016-01-15,34
2016-01-16,7
2016-01-17,5
2016-01-18,11
2016-01-19,73
2016-01-20,100
2016-01-21,56
2016-01-22,48
2016-01-23,7
2016-01-24,5
2016-01-25,39
2016-01-26,48
2016-01-27,58
2016-01-28,56
2016-01-29,45
2016-01-30,10
2016-01-31,7
2016-02-01,41
2016-02-02,34
2016-02-03,47
2016-02-04,37
2016-02-05,47
2016-02-06,11
2016-02-07,6
2016-02-08,55
2016-02-09,42
2016-02-10,51
2016-02-11,42
2016-02-12,39
2016-02-13,8
2016-02-14,2
2016-02-15,5
2016-02-16,29
2016-02-17,41
2016-02-18,35
2016-02-19,31
2016-02-20,6
2016-02-21,2
2016-02-22,33
2016-02-23,38
2016-02-24,33
2016-02-25,35
2016-02-26,33
2016-02-27,7
2016-02-28,2
2016-02-29,30
2016-03-01,36
2016-03-02,47
2016-03-03,29
2016-03-04,29
2016-03-05,5
2016-03-06,4
2016-03-07,31
2016-03-08,38
2016-03-09,35
2016-03-10,26
2016-03-11,25
2016-03-12,8
2016-03-13,3
2016-03-14,16
2016-03-15,20
2016-03-16,33
2016-03-17,32
2016-03-18,28
2016-03-19,4
2016-03-20,4
2016-03-21,26
2016-03-22,28
2016-03-23,22
2016-03-24,26
2016-03-25,14
2016-03-26,5
2016-03-27,5
2016-03-28,32
2016-03-29,33
2016-03-30,30
2016-03-31,28
2016-04-01,29
2016-04-02,5
2016-04-03,4
2016-04-04,29
2016-04-05,23
2016-04-06,26
2016-04-07,21
2016-04-08,19
2016-04-09,5
2016-04-10,5
2016-04-11,23
2016-04-12,22
2016-04-13,46
2016-04-14,22
2016-04-15,27
2016-04-16,5
2016-04-17,3
2016-04-18,86
2016-04-19,100
2016-04-20,67
2016-04-21,57
2016-04-22,49
2016-04-23,10
2016-04-24,7
2016-04-25,32
2016-04-26,24
2016-04-27,31
2016-04-28,42
2016-04-29,30
2016-04-30,8
2016-05-01,4
2016-05-02,33
2016-05-03,27
2016-05-04,27
