date,NFLX stock
2017-05-29,2
2017-05-30,18
2017-05-31,18
2017-06-01,11
2017-06-02,18
2017-06-03,3
2017-06-04,3
2017-06-05,10
2017-06-06,15
2017-06-07,8
2017-06-08,12
2017-06-09,12
2017-06-10,4
2017-06-11,4
2017-06-12,21
2017-06-13,17
2017-06-14,16
2017-06-15,23
2017-06-16,17
2017-06-17,7
2017-06-18,3
2017-06-19,16
2017-06-20,17
2017-06-21,12
2017-06-22,12
2017-06-23,13
2017-06-24,3
2017-06-25,3
2017-06-26,10
2017-06-27,19
2017-06-28,18
2017-06-29,15
2017-06-30,14
2017-07-01,2
2017-07-02,3
2017-07-03,8
2017-07-04,5
2017-07-05,10
2017-07-06,16
2017-07-07,19
2017-07-08,1
2017-07-09,2
2017-07-10,7
2017-07-11,15
2017-07-12,15
2017-07-13,21
2017-07-14,15
2017-07-15,4
2017-07-16,1
2017-07-17,63
2017-07-18,100
2017-07-19,51
2017-07-20,37
2017-07-21,26
2017-07-22,6
2017-07-23,3
2017-07-24,21
2017-07-25,14
2017-07-26,21
2017-07-27,24
2017-07-28,22
2017-07-29,6
2017-07-30,3
2017-07-31,21
2017-08-01,17
2017-08-02,33
2017-08-03,22
2017-08-04,20
2017-08-05,2
2017-08-06,3
2017-08-07,17
2017-08-08,32
2017-08-09,56
2017-08-10,25
2017-08-11,26
2017-08-12,7
2017-08-13,1
2017-08-14,21
2017-08-15,18
2017-08-16,18
2017-08-17,18
2017-08-18,10
2017-08-19,2
2017-08-20,1
2017-08-21,14
2017-08-22,16
2017-08-23,14
2017-08-24,12
2017-08-25,10
2017-08-26,4
2017-08-27,0
2017-08-28,13
2017-08-29,10
2017-08-30,21
2017-08-31,23
2017-09-01,8
2017-09-02,3
2017-09-03,3
2017-09-04,5
2017-09-05,7
2017-09-06,10
2017-09-07,13
2017-09-08,10
2017-09-09,5
2017-09-10,2
2017-09-11,17
2017-09-12,26
2017-09-13,13
2017-09-14,15
2017-09-15,15
2017-09-16,5
2017-09-17,3
2017-09-18,9
2017-09-19,18
2017-09-20,17
2017-09-21,11
2017-09-22,13
2017-09-23,1
2017-09-24,3
2017-09-25,17
2017-09-26,19
2017-09-27,17
2017-09-28,11
2017-09-29,17
2017-09-30,3
2017-10-01,2
2017-10-02,12
2017-10-03,9
2017-10-04,18
2017-10-05,26
2017-10-06,23
2017-10-07,11
2017-10-08,4
2017-10-09,22
2017-10-10,21
2017-10-11,21
2017-10-12,15
2017-10-13,26
2017-10-14,9
2017-10-15,4
2017-10-16,75
2017-10-17,71
2017-10-18,43
2017-10-19,30
2017-10-20,27
2017-10-21,3
2017-10-22,2
2017-10-23,15
2017-10-24,23
2017-10-25,20
2017-10-26,18
2017-10-27,21
2017-10-28,5
2017-10-29,5
2017-10-30,27
2017-10-31,25
2017-11-01,17
2017-11-02,15
2017-11-03,19
2017-11-04,3
2017-11-05,2
2017-11-06,14
2017-11-07,27
2017-11-08,22
2017-11-09,19
2017-11-10,20
2017-11-11,6
2017-11-12,4
2017-11-13,11
2017-11-14,15
2017-11-15,17
2017-11-16,12
2017-11-17,13
2017-11-18,5
2017-11-19,1
2017-11-20,11
2017-11-21,17
2017-11-22,17
2017-11-23,4
2017-11-24,8
2017-11-25,2
2017-11-26,2
2017-11-27,13
2017-11-28,13
2017-11-29,30
2017-11-30,36
2017-12-01,17
2017-12-02,3
2017-12-03,1
2017-12-04,21
2017-12-05,14
2017-12-06,15
2017-12-07,13
2017-12-08,23
2017-12-09,3
2017-12-10,2
2017-12-11,15
2017-12-12,13
2017-12-13,9
2017-12-14,15
2017-12-15,18
2017-12-16,1
2017-12-17,5
2017-12-18,12
2017-12-19,11
2017-12-20,10
2017-12-21,13
2017-12-22,11
2017-12-23,4
2017-12-24,2
2017-12-25,2
2017-12-26,8
2017-12-27,13
2017-12-28,21
2017-12-29,19
2017-12-30,5
2017-12-31,3
2018-01-01,4
2018-01-02,26
2018-01-03,24
2018-01-04,29
2018-01-05,29
2018-01-06,7
2018-01-07,2
2018-01-08,26
2018-01-09,22
2018-01-10,23
2018-01-11,29
2018-01-12,20
2018-01-13,5
2018-01-14,3
2018-01-15,4
2018-01-16,24
2018-01-17,22
2018-01-18,16
2018-01-19,21
2018-01-20,5
2018-01-21,4
2018-01-22,66
2018-01-23,95
2018-01-24,51
2018-01-25,41
2018-01-26,42
2018-01-27,9
2018-01-28,8
2018-01-29,35
2018-01-30,57
2018-01-31,45
2018-02-01,31
2018-02-02,42
2018-02-03,12
2018-02-04,3
2018-02-05,41
2018-02-06,58
2018-02-07,33
2018-02-08,35
2018-02-09,38
2018-02-10,10
2018-02-11,2
2018-02-12,31
2018-02-13,25
