date,NFLX stock
2014-07-24,8
2014-07-25,5
2014-07-26,10
2014-07-27,6
2014-07-28,10
2014-07-29,10
2014-07-30,5
2014-07-31,11
2014-08-01,13
2014-08-02,12
2014-08-03,6
2014-08-04,15
2014-08-05,8
2014-08-06,3
2014-08-07,11
2014-08-08,3
2014-08-09,0
2014-08-10,6
2014-08-11,10
2014-08-12,10
2014-08-13,8
2014-08-14,10
2014-08-15,0
2014-08-16,3
2014-08-17,6
2014-08-18,5
2014-08-19,5
2014-08-20,8
2014-08-21,5
2014-08-22,8
2014-08-23,3
2014-08-24,3
2014-08-25,5
2014-08-26,7
2014-08-27,10
2014-08-28,2
2014-08-29,8
2014-08-30,6
2014-08-31,0
2014-09-01,2
2014-09-02,7
2014-09-03,2
2014-09-04,2
2014-09-05,0
2014-09-06,0
2014-09-07,0
2014-09-08,0
2014-09-09,21
2014-09-10,5
2014-09-11,7
2014-09-12,8
2014-09-13,17
2014-09-14,0
2014-09-15,7
2014-09-16,17
2014-09-17,2
2014-09-18,0
2014-09-19,3
2014-09-20,3
2014-09-21,3
2014-09-22,7
2014-09-23,7
2014-09-24,5
2014-09-25,17
2014-09-26,5
2014-09-27,0
2014-09-28,6
2014-09-29,7
2014-09-30,9
2014-10-01,7
2014-10-02,15
2014-10-03,10
2014-10-04,0
2014-10-05,3
2014-10-06,7
2014-10-07,7
2014-10-08,9
2014-10-09,12
2014-10-10,2
2014-10-11,3
2014-10-12,0
2014-10-13,7
2014-10-14,12
2014-10-15,38
2014-10-16,100
2014-10-17,59
2014-10-18,9
2014-10-19,6
2014-10-20,19
2014-10-21,7
2014-10-22,16
2014-10-23,33
2014-10-24,20
2014-10-25,3
2014-10-26,0
2014-10-27,14
2014-10-28,25
2014-10-29,9
2014-10-30,5
2014-10-31,15
2014-11-01,0
2014-11-02,3
2014-11-03,21
2014-11-04,14
2014-11-05,9
2014-11-06,9
2014-11-07,10
2014-11-08,3
2014-11-09,3
2014-11-10,14
2014-11-11,18
2014-11-12,7
2014-11-13,5
2014-11-14,14
2014-11-15,11
2014-11-16,0
2014-11-17,5
2014-11-18,5
2014-11-19,14
2014-11-20,7
2014-11-21,12
2014-11-22,3
2014-11-23,3
2014-11-24,7
2014-11-25,14
2014-11-26,5
2014-11-27,2
2014-11-28,0
2014-11-29,3
2014-11-30,3
2014-12-01,4
2014-12-02,5
2014-12-03,9
2014-12-04,2
2014-12-05,2
2014-12-06,3
2014-12-07,0
2014-12-08,5
2014-12-09,5
2014-12-10,11
2014-12-11,12
2014-12-12,7
2014-12-13,3
2014-12-14,0
2014-12-15,7
2014-12-16,9
2014-12-17,2
2014-12-18,12
2014-12-19,10
2014-12-20,3
2014-12-21,0
2014-12-22,12
2014-12-23,5
2014-12-24,6
2014-12-25,6
2014-12-26,11
2014-12-27,3
2014-12-28,6
2014-12-29,7
2014-12-30,5
2014-12-31,3
2015-01-01,6
2015-01-02,8
2015-01-03,11
2015-01-04,0
2015-01-05,7
2015-01-06,5
2015-01-07,4
2015-01-08,7
2015-01-09,5
2015-01-10,0
2015-01-11,3
2015-01-12,15
2015-01-13,7
2015-01-14,15
2015-01-15,2
2015-01-16,7
2015-01-17,3
2015-01-18,0
2015-01-19,2
2015-01-20,17
2015-01-21,74
2015-01-22,35
2015-01-23,16
2015-01-24,13
2015-01-25,3
2015-01-26,24
2015-01-27,15
2015-01-28,11
2015-01-29,26
2015-01-30,14
2015-01-31,3
2015-02-01,0
2015-02-02,15
2015-02-03,17
2015-02-04,11
2015-02-05,6
2015-02-06,21
2015-02-07,3
2015-02-08,3
2015-02-09,2
2015-02-10,6
2015-02-11,9
2015-02-12,24
2015-02-13,14
2015-02-14,0
2015-02-15,5
2015-02-16,5
2015-02-17,16
2015-02-18,11
2015-02-19,11
2015-02-20,7
2015-02-21,0
2015-02-22,3
2015-02-23,4
2015-02-24,6
2015-02-25,6
2015-02-26,13
2015-02-27,9
2015-02-28,3
2015-03-01,0
2015-03-02,4
2015-03-03,13
2015-03-04,4
2015-03-05,11
2015-03-06,11
2015-03-07,3
2015-03-08,0
2015-03-09,4
2015-03-10,6
2015-03-11,9
2015-03-12,9
2015-03-13,7
2015-03-14,3
2015-03-15,0
2015-03-16,11
2015-03-17,6
2015-03-18,4
2015-03-19,7
2015-03-20,7
2015-03-21,3
2015-03-22,0
2015-03-23,6
2015-03-24,13
2015-03-25,6
2015-03-26,10
2015-03-27,11
2015-03-28,3
2015-03-29,0
2015-03-30,2
2015-03-31,6
2015-04-01,7
2015-04-02,7
2015-04-03,2
2015-04-04,5
2015-04-05,0
2015-04-06,2
2015-04-07,4
2015-04-08,4
2015-04-09,13
2015-04-10,14
