date,NFLX stock
2012-01-26,100
2012-01-27,34
2012-01-28,30
2012-01-29,10
2012-01-30,16
2012-01-31,56
2012-02-01,24
2012-02-02,8
2012-02-03,8
2012-02-04,10
2012-02-05,0
2012-02-06,72
2012-02-07,48
2012-02-08,24
2012-02-09,65
2012-02-10,8
2012-02-11,10
2012-02-12,0
2012-02-13,16
2012-02-14,32
2012-02-15,8
2012-02-16,33
2012-02-17,51
2012-02-18,10
2012-02-19,0
2012-02-20,8
2012-02-21,25
2012-02-22,32
2012-02-23,16
2012-02-24,25
2012-02-25,0
2012-02-26,0
2012-02-27,16
2012-02-28,31
2012-02-29,16
2012-03-01,0
2012-03-02,18
2012-03-03,10
2012-03-04,0
2012-03-05,8
2012-03-06,32
2012-03-07,16
2012-03-08,25
2012-03-09,34
2012-03-10,0
2012-03-11,19
2012-03-12,8
2012-03-13,8
2012-03-14,8
2012-03-15,8
2012-03-16,0
2012-03-17,0
2012-03-18,0
2012-03-19,24
2012-03-20,24
2012-03-21,16
2012-03-22,8
2012-03-23,9
2012-03-24,0
2012-03-25,0
2012-03-26,0
2012-03-27,32
2012-03-28,32
2012-03-29,8
2012-03-30,0
2012-03-31,0
2012-04-01,0
2012-04-02,16
2012-04-03,8
2012-04-04,25
2012-04-05,9
2012-04-06,0
2012-04-07,0
2012-04-08,0
2012-04-09,0
2012-04-10,0
2012-04-11,8
2012-04-12,16
2012-04-13,34
2012-04-14,0
2012-04-15,0
2012-04-16,16
2012-04-17,0
2012-04-18,24
2012-04-19,0
2012-04-20,16
2012-04-21,0
2012-04-22,0
2012-04-23,16
2012-04-24,39
2012-04-25,24
2012-04-26,8
2012-04-27,17
2012-04-28,10
2012-04-29,0
2012-04-30,0
2012-05-01,26
2012-05-02,24
2012-05-03,24
2012-05-04,17
2012-05-05,9
2012-05-06,0
2012-05-07,23
2012-05-08,16
2012-05-09,23
2012-05-10,16
2012-05-11,0
2012-05-12,10
2012-05-13,10
2012-05-14,8
2012-05-15,15
2012-05-16,16
2012-05-17,0
2012-05-18,8
2012-05-19,0
2012-05-20,0
2012-05-21,0
2012-05-22,40
2012-05-23,39
2012-05-24,0
2012-05-25,8
2012-05-26,0
2012-05-27,20
2012-05-28,0
2012-05-29,15
2012-05-30,8
2012-05-31,0
2012-06-01,0
2012-06-02,0
2012-06-03,0
2012-06-04,8
2012-06-05,8
2012-06-06,23
2012-06-07,8
2012-06-08,0
2012-06-09,0
2012-06-10,0
2012-06-11,15
2012-06-12,8
2012-06-13,8
2012-06-14,0
2012-06-15,8
2012-06-16,0
2012-06-17,0
2012-06-18,31
2012-06-19,23
2012-06-20,8
2012-06-21,16
2012-06-22,25
2012-06-23,10
2012-06-24,0
2012-06-25,0
2012-06-26,31
2012-06-27,8
2012-06-28,0
2012-06-29,0
2012-06-30,0
2012-07-01,10
2012-07-02,0
2012-07-03,8
2012-07-04,0
2012-07-05,25
2012-07-06,34
2012-07-07,10
2012-07-08,0
2012-07-09,16
2012-07-10,8
2012-07-11,16
2012-07-12,0
2012-07-13,25
2012-07-14,0
2012-07-15,0
2012-07-16,24
2012-07-17,0
2012-07-18,16
2012-07-19,16
2012-07-20,0
2012-07-21,0
2012-07-22,10
2012-07-23,8
2012-07-24,40
2012-07-25,40
2012-07-26,24
2012-07-27,25
2012-07-28,0
2012-07-29,0
2012-07-30,8
2012-07-31,8
2012-08-01,24
2012-08-02,16
2012-08-03,0
2012-08-04,0
2012-08-05,0
2012-08-06,16
2012-08-07,16
2012-08-08,8
2012-08-09,24
2012-08-10,17
2012-08-11,0
2012-08-12,20
2012-08-13,8
2012-08-14,16
2012-08-15,25
2012-08-16,8
2012-08-17,17
2012-08-18,0
2012-08-19,0
2012-08-20,0
2012-08-21,16
2012-08-22,8
2012-08-23,0
2012-08-24,8
2012-08-25,19
2012-08-26,0
2012-08-27,16
2012-08-28,23
2012-08-29,0
2012-08-30,16
2012-08-31,0
2012-09-01,0
2012-09-02,0
2012-09-03,0
2012-09-04,8
2012-09-05,16
2012-09-06,23
2012-09-07,16
2012-09-08,0
2012-09-09,0
2012-09-10,0
2012-09-11,23
2012-09-12,0
2012-09-13,23
2012-09-14,0
2012-09-15,0
2012-09-16,9
2012-09-17,0
2012-09-18,22
2012-09-19,8
2012-09-20,8
2012-09-21,0
2012-09-22,0
2012-09-23,0
2012-09-24,0
2012-09-25,7
2012-09-26,7
2012-09-27,15
2012-09-28,16
2012-09-29,0
2012-09-30,0
2012-10-01,8
2012-10-02,15
2012-10-03,15
2012-10-04,15
2012-10-05,8
2012-10-06,9
2012-10-07,0
2012-10-08,14
2012-10-09,36
2012-10-10,36
2012-10-11,7
2012-10-12,23
