date,Walgreens,isPartial
2017-01-19,77,False
2017-01-20,76,False
2017-01-21,73,False
2017-01-22,78,False
2017-01-23,80,False
2017-01-24,78,False
2017-01-25,73,False
2017-01-26,76,False
2017-01-27,76,False
2017-01-28,75,False
2017-01-29,77,False
2017-01-30,80,False
2017-01-31,77,False
2017-02-01,75,False
2017-02-02,76,False
2017-02-03,77,False
2017-02-04,75,False
2017-02-05,79,False
2017-02-06,81,False
2017-02-07,80,False
2017-02-08,77,False
2017-02-09,73,False
2017-02-10,75,False
2017-02-11,77,False
2017-02-12,85,False
2017-02-13,87,False
2017-02-14,93,False
2017-02-15,77,False
2017-02-16,77,False
2017-02-17,76,False
2017-02-18,73,False
2017-02-19,73,False
2017-02-20,78,False
2017-02-21,73,False
2017-02-22,75,False
2017-02-23,74,False
2017-02-24,75,False
2017-02-25,74,False
2017-02-26,76,False
2017-02-27,79,False
2017-02-28,80,False
2017-03-01,72,False
2017-03-02,77,False
2017-03-03,78,False
2017-03-04,71,False
2017-03-05,76,False
2017-03-06,83,False
2017-03-07,74,False
2017-03-08,70,False
2017-03-09,78,False
2017-03-10,76,False
2017-03-11,77,False
2017-03-12,76,False
2017-03-13,81,False
2017-03-14,73,False
2017-03-15,74,False
2017-03-16,73,False
2017-03-17,76,False
2017-03-18,72,False
2017-03-19,75,False
2017-03-20,79,False
2017-03-21,73,False
2017-03-22,71,False
2017-03-23,74,False
2017-03-24,78,False
2017-03-25,73,False
2017-03-26,80,False
2017-03-27,80,False
2017-03-28,77,False
2017-03-29,73,False
2017-03-30,75,False
2017-03-31,78,False
2017-04-01,72,False
2017-04-02,78,False
2017-04-03,83,False
2017-04-04,77,False
2017-04-05,70,False
2017-04-06,76,False
2017-04-07,76,False
2017-04-08,73,False
2017-04-09,78,False
2017-04-10,79,False
2017-04-11,77,False
2017-04-12,76,False
2017-04-13,76,False
2017-04-14,83,False
2017-04-15,74,False
2017-04-16,99,False
2017-04-17,84,False
2017-04-18,76,False
2017-04-19,72,False
2017-04-20,72,False
2017-04-21,72,False
2017-04-22,77,False
2017-04-23,77,False
2017-04-24,77,False
2017-04-25,77,False
2017-04-26,78,False
2017-04-27,79,False
2017-04-28,80,False
2017-04-29,83,False
2017-04-30,86,False
2017-05-01,93,False
2017-05-02,84,False
2017-05-03,81,False
2017-05-04,79,False
2017-05-05,79,False
2017-05-06,83,False
2017-05-07,85,False
2017-05-08,92,False
2017-05-09,89,False
2017-05-10,87,False
2017-05-11,85,False
2017-05-12,90,False
2017-05-13,93,False
2017-05-14,100,False
2017-05-15,84,False
2017-05-16,82,False
2017-05-17,82,False
2017-05-18,78,False
2017-05-19,82,False
2017-05-20,82,False
2017-05-21,83,False
2017-05-22,83,False
2017-05-23,78,False
2017-05-24,82,False
2017-05-25,81,False
2017-05-26,83,False
2017-05-27,82,False
2017-05-28,78,False
2017-05-29,77,False
2017-05-30,84,False
2017-05-31,81,False
2017-06-01,83,False
2017-06-02,81,False
2017-06-03,76,False
2017-06-04,78,False
2017-06-05,84,False
2017-06-06,80,False
2017-06-07,82,False
2017-06-08,78,False
2017-06-09,83,False
2017-06-10,78,False
2017-06-11,78,False
2017-06-12,82,False
2017-06-13,80,False
2017-06-14,81,False
2017-06-15,85,False
2017-06-16,88,False
2017-06-17,92,False
2017-06-18,93,False
2017-06-19,86,False
2017-06-20,79,False
2017-06-21,78,False
2017-06-22,76,False
2017-06-23,83,False
2017-06-24,80,False
2017-06-25,76,False
2017-06-26,88,False
2017-06-27,83,False
2017-06-28,81,False
2017-06-29,83,False
2017-06-30,77,False
2017-07-01,79,False
2017-07-02,79,False
2017-07-03,81,False
2017-07-04,75,False
2017-07-05,78,False
2017-07-06,84,False
2017-07-07,80,False
2017-07-08,80,False
2017-07-09,85,False
2017-07-10,84,False
2017-07-11,86,False
2017-07-12,78,False
2017-07-13,75,False
2017-07-14,81,False
2017-07-15,80,False
2017-07-16,82,False
2017-07-17,83,False
2017-07-18,81,False
2017-07-19,80,False
2017-07-20,78,False
2017-07-21,80,False
2017-07-22,75,False
2017-07-23,79,False
2017-07-24,77,False
2017-07-25,73,False
2017-07-26,76,False
2017-07-27,76,False
2017-07-28,77,False
2017-07-29,75,False
2017-07-30,81,False
2017-07-31,83,False
2017-08-01,83,False
2017-08-02,87,False
2017-08-03,80,False
2017-08-04,81,False
2017-08-05,78,False
2017-08-06,78,False
2017-08-07,86,False
2017-08-08,81,False
2017-08-09,79,False
2017-08-10,81,False
2017-08-11,80,False
2017-08-12,81,False
2017-08-13,85,False
2017-08-14,85,False
2017-08-15,92,False
2017-08-16,85,False
2017-08-17,83,False
2017-08-18,86,False
2017-08-19,82,False
2017-08-20,94,False
2017-08-21,95,False
2017-08-22,81,False
2017-08-23,78,False
2017-08-24,77,False
2017-08-25,82,False
2017-08-26,76,False
2017-08-27,79,False
2017-08-28,82,False
2017-08-29,80,False
2017-08-30,77,False
2017-08-31,78,False
2017-09-01,82,False
2017-09-02,80,False
2017-09-03,84,False
2017-09-04,79,False
2017-09-05,88,False
2017-09-06,87,False
2017-09-07,84,False
2017-09-08,82,False
2017-09-09,79,False
2017-09-10,81,False
2017-09-11,81,False
2017-09-12,78,False
2017-09-13,76,False
2017-09-14,77,False
2017-09-15,76,False
2017-09-16,76,False
2017-09-17,77,False
2017-09-18,85,False
2017-09-19,80,False
2017-09-20,74,False
