date,GILD stock
2016-09-11,4
2016-09-12,8
2016-09-13,15
2016-09-14,13
2016-09-15,13
2016-09-16,15
2016-09-17,5
2016-09-18,8
2016-09-19,15
2016-09-20,24
2016-09-21,28
2016-09-22,33
2016-09-23,20
2016-09-24,5
2016-09-25,3
2016-09-26,21
2016-09-27,28
2016-09-28,21
2016-09-29,16
2016-09-30,21
2016-10-01,6
2016-10-02,2
2016-10-03,17
2016-10-04,18
2016-10-05,20
2016-10-06,24
2016-10-07,15
2016-10-08,4
2016-10-09,6
2016-10-10,10
2016-10-11,29
2016-10-12,19
2016-10-13,28
2016-10-14,19
2016-10-15,4
2016-10-16,3
2016-10-17,19
2016-10-18,18
2016-10-19,19
2016-10-20,15
2016-10-21,19
2016-10-22,3
2016-10-23,4
2016-10-24,13
2016-10-25,12
2016-10-26,18
2016-10-27,15
2016-10-28,22
2016-10-29,3
2016-10-30,4
2016-10-31,18
2016-11-01,34
2016-11-02,38
2016-11-03,19
2016-11-04,18
2016-11-05,9
2016-11-06,3
2016-11-07,15
2016-11-08,18
2016-11-09,31
2016-11-10,23
2016-11-11,28
2016-11-12,10
2016-11-13,7
2016-11-14,22
2016-11-15,24
2016-11-16,14
2016-11-17,10
2016-11-18,12
2016-11-19,6
2016-11-20,3
2016-11-21,21
2016-11-22,16
2016-11-23,16
2016-11-24,4
2016-11-25,9
2016-11-26,7
2016-11-27,5
2016-11-28,13
2016-11-29,14
2016-11-30,19
2016-12-01,14
2016-12-02,26
2016-12-03,11
2016-12-04,4
2016-12-05,10
2016-12-06,16
2016-12-07,18
2016-12-08,25
2016-12-09,19
2016-12-10,4
2016-12-11,6
2016-12-12,17
2016-12-13,26
2016-12-14,27
2016-12-15,25
2016-12-16,24
2016-12-17,9
2016-12-18,4
2016-12-19,13
2016-12-20,14
2016-12-21,13
2016-12-22,12
2016-12-23,15
2016-12-24,2
2016-12-25,2
2016-12-26,3
2016-12-27,15
2016-12-28,15
2016-12-29,12
2016-12-30,15
2016-12-31,9
2017-01-01,8
2017-01-02,5
2017-01-03,21
2017-01-04,21
2017-01-05,22
2017-01-06,23
2017-01-07,5
2017-01-08,5
2017-01-09,13
2017-01-10,14
2017-01-11,20
2017-01-12,14
2017-01-13,24
2017-01-14,5
2017-01-15,3
2017-01-16,7
2017-01-17,16
2017-01-18,18
2017-01-19,15
2017-01-20,22
2017-01-21,3
2017-01-22,4
2017-01-23,26
2017-01-24,34
2017-01-25,21
2017-01-26,27
2017-01-27,19
2017-01-28,5
2017-01-29,4
2017-01-30,22
2017-01-31,20
2017-02-01,19
2017-02-02,27
2017-02-03,23
2017-02-04,8
2017-02-05,3
2017-02-06,21
2017-02-07,46
2017-02-08,100
2017-02-09,69
2017-02-10,51
2017-02-11,18
2017-02-12,7
2017-02-13,36
2017-02-14,36
2017-02-15,42
2017-02-16,32
2017-02-17,37
2017-02-18,8
2017-02-19,4
2017-02-20,9
2017-02-21,24
2017-02-22,29
2017-02-23,40
2017-02-24,35
2017-02-25,6
2017-02-26,2
2017-02-27,26
2017-02-28,33
2017-03-01,37
2017-03-02,33
2017-03-03,16
2017-03-04,11
2017-03-05,3
2017-03-06,17
2017-03-07,23
2017-03-08,18
2017-03-09,18
2017-03-10,23
2017-03-11,12
2017-03-12,7
2017-03-13,24
2017-03-14,16
2017-03-15,23
2017-03-16,14
2017-03-17,16
2017-03-18,4
2017-03-19,4
2017-03-20,28
2017-03-21,18
2017-03-22,15
2017-03-23,16
2017-03-24,19
2017-03-25,7
2017-03-26,5
2017-03-27,16
2017-03-28,25
2017-03-29,19
2017-03-30,20
2017-03-31,17
2017-04-01,4
2017-04-02,4
2017-04-03,18
2017-04-04,21
2017-04-05,16
2017-04-06,16
2017-04-07,15
2017-04-08,4
2017-04-09,4
2017-04-10,19
2017-04-11,17
2017-04-12,14
2017-04-13,14
2017-04-14,7
2017-04-15,2
2017-04-16,4
2017-04-17,22
2017-04-18,18
2017-04-19,15
2017-04-20,15
2017-04-21,15
2017-04-22,9
2017-04-23,2
2017-04-24,18
2017-04-25,18
2017-04-26,19
2017-04-27,30
2017-04-28,17
2017-04-29,5
2017-04-30,5
2017-05-01,17
2017-05-02,48
2017-05-03,46
2017-05-04,20
2017-05-05,17
2017-05-06,7
2017-05-07,6
2017-05-08,19
2017-05-09,23
2017-05-10,18
2017-05-11,23
2017-05-12,19
2017-05-13,3
2017-05-14,3
2017-05-15,17
2017-05-16,14
2017-05-17,17
2017-05-18,22
2017-05-19,17
2017-05-20,8
2017-05-21,4
2017-05-22,16
2017-05-23,19
2017-05-24,20
2017-05-25,17
2017-05-26,28
2017-05-27,14
2017-05-28,0
2017-05-29,4
