date,GILD stock
2017-05-29,6
2017-05-30,24
2017-05-31,16
2017-06-01,23
2017-06-02,21
2017-06-03,14
2017-06-04,12
2017-06-05,18
2017-06-06,18
2017-06-07,20
2017-06-08,10
2017-06-09,19
2017-06-10,5
2017-06-11,5
2017-06-12,36
2017-06-13,16
2017-06-14,36
2017-06-15,12
2017-06-16,19
2017-06-17,5
2017-06-18,0
2017-06-19,28
2017-06-20,12
2017-06-21,37
2017-06-22,53
2017-06-23,55
2017-06-24,14
2017-06-25,10
2017-06-26,48
2017-06-27,33
2017-06-28,23
2017-06-29,19
2017-06-30,49
2017-07-01,2
2017-07-02,2
2017-07-03,17
2017-07-04,11
2017-07-05,23
2017-07-06,23
2017-07-07,11
2017-07-08,2
2017-07-09,2
2017-07-10,12
2017-07-11,14
2017-07-12,14
2017-07-13,15
2017-07-14,32
2017-07-15,22
2017-07-16,2
2017-07-17,25
2017-07-18,35
2017-07-19,26
2017-07-20,27
2017-07-21,28
2017-07-22,14
2017-07-23,12
2017-07-24,22
2017-07-25,33
2017-07-26,56
2017-07-27,59
2017-07-28,42
2017-07-29,14
2017-07-30,5
2017-07-31,28
2017-08-01,31
2017-08-02,27
2017-08-03,34
2017-08-04,38
2017-08-05,5
2017-08-06,2
2017-08-07,21
2017-08-08,26
2017-08-09,18
2017-08-10,22
2017-08-11,10
2017-08-12,5
2017-08-13,0
2017-08-14,22
2017-08-15,29
2017-08-16,16
2017-08-17,20
2017-08-18,8
2017-08-19,5
2017-08-20,0
2017-08-21,20
2017-08-22,19
2017-08-23,20
2017-08-24,20
2017-08-25,13
2017-08-26,7
2017-08-27,2
2017-08-28,57
2017-08-29,47
2017-08-30,100
2017-08-31,50
2017-09-01,61
2017-09-02,14
2017-09-03,5
2017-09-04,2
2017-09-05,41
2017-09-06,42
2017-09-07,30
2017-09-08,39
2017-09-09,7
2017-09-10,0
2017-09-11,31
2017-09-12,19
2017-09-13,17
2017-09-14,20
2017-09-15,28
2017-09-16,7
2017-09-17,2
2017-09-18,12
2017-09-19,25
2017-09-20,31
2017-09-21,22
2017-09-22,24
2017-09-23,2
2017-09-24,4
2017-09-25,15
2017-09-26,15
2017-09-27,21
2017-09-28,51
2017-09-29,35
2017-09-30,5
2017-10-01,4
2017-10-02,27
2017-10-03,17
2017-10-04,25
2017-10-05,21
2017-10-06,34
2017-10-07,2
2017-10-08,4
2017-10-09,23
2017-10-10,25
2017-10-11,23
2017-10-12,12
2017-10-13,16
2017-10-14,2
2017-10-15,2
2017-10-16,17
2017-10-17,25
2017-10-18,40
2017-10-19,66
2017-10-20,56
2017-10-21,9
2017-10-22,4
2017-10-23,24
2017-10-24,30
2017-10-25,26
2017-10-26,43
2017-10-27,66
2017-10-28,15
2017-10-29,4
2017-10-30,27
2017-10-31,25
2017-11-01,37
2017-11-02,14
2017-11-03,20
2017-11-04,2
2017-11-05,6
2017-11-06,21
2017-11-07,22
2017-11-08,21
2017-11-09,17
2017-11-10,19
2017-11-11,9
2017-11-12,0
2017-11-13,26
2017-11-14,24
2017-11-15,24
2017-11-16,13
2017-11-17,17
2017-11-18,2
2017-11-19,2
2017-11-20,22
2017-11-21,22
2017-11-22,11
2017-11-23,0
2017-11-24,17
2017-11-25,2
2017-11-26,2
2017-11-27,9
2017-11-28,13
2017-11-29,17
2017-11-30,30
2017-12-01,29
2017-12-02,13
2017-12-03,4
2017-12-04,26
2017-12-05,28
2017-12-06,39
2017-12-07,21
2017-12-08,18
2017-12-09,2
2017-12-10,2
2017-12-11,24
2017-12-12,29
2017-12-13,20
2017-12-14,11
2017-12-15,16
2017-12-16,2
2017-12-17,2
2017-12-18,23
2017-12-19,29
2017-12-20,12
2017-12-21,10
2017-12-22,15
2017-12-23,7
2017-12-24,5
2017-12-25,7
2017-12-26,10
2017-12-27,22
2017-12-28,20
2017-12-29,19
2017-12-30,4
2017-12-31,5
2018-01-01,2
2018-01-02,21
2018-01-03,17
2018-01-04,21
2018-01-05,25
2018-01-06,8
2018-01-07,2
2018-01-08,13
2018-01-09,29
2018-01-10,22
2018-01-11,18
2018-01-12,48
2018-01-13,6
2018-01-14,6
2018-01-15,7
2018-01-16,27
2018-01-17,29
2018-01-18,31
2018-01-19,23
2018-01-20,8
2018-01-21,4
2018-01-22,16
2018-01-23,32
2018-01-24,29
2018-01-25,25
2018-01-26,38
2018-01-27,25
2018-01-28,6
2018-01-29,48
2018-01-30,30
2018-01-31,40
2018-02-01,27
2018-02-02,34
2018-02-03,6
2018-02-04,2
2018-02-05,13
2018-02-06,67
2018-02-07,65
2018-02-08,24
2018-02-09,21
2018-02-10,8
2018-02-11,0
2018-02-12,35
2018-02-13,26
