date,CA Inc,isPartial
2015-12-26,18,False
2015-12-27,20,False
2015-12-28,59,False
2015-12-29,70,False
2015-12-30,63,False
2015-12-31,46,False
2016-01-01,15,False
2016-01-02,19,False
2016-01-03,21,False
2016-01-04,60,False
2016-01-05,79,False
2016-01-06,77,False
2016-01-07,78,False
2016-01-08,84,False
2016-01-09,32,False
2016-01-10,26,False
2016-01-11,73,False
2016-01-12,74,False
2016-01-13,73,False
2016-01-14,80,False
2016-01-15,71,False
2016-01-16,34,False
2016-01-17,22,False
2016-01-18,68,False
2016-01-19,77,False
2016-01-20,94,False
2016-01-21,84,False
2016-01-22,77,False
2016-01-23,47,False
2016-01-24,22,False
2016-01-25,82,False
2016-01-26,86,False
2016-01-27,82,False
2016-01-28,75,False
2016-01-29,73,False
2016-01-30,37,False
2016-01-31,26,False
2016-02-01,79,False
2016-02-02,87,False
2016-02-03,85,False
2016-02-04,80,False
2016-02-05,76,False
2016-02-06,35,False
2016-02-07,25,False
2016-02-08,74,False
2016-02-09,92,False
2016-02-10,80,False
2016-02-11,100,False
2016-02-12,72,False
2016-02-13,29,False
2016-02-14,22,False
2016-02-15,62,False
2016-02-16,100,False
2016-02-17,83,False
2016-02-18,87,False
2016-02-19,66,False
2016-02-20,34,False
2016-02-21,23,False
2016-02-22,83,False
2016-02-23,81,False
2016-02-24,86,False
2016-02-25,75,False
2016-02-26,71,False
2016-02-27,36,False
2016-02-28,25,False
2016-02-29,69,False
2016-03-01,69,False
2016-03-02,86,False
2016-03-03,80,False
2016-03-04,72,False
2016-03-05,39,False
2016-03-06,27,False
2016-03-07,84,False
2016-03-08,86,False
2016-03-09,82,False
2016-03-10,87,False
2016-03-11,79,False
2016-03-12,27,False
2016-03-13,22,False
2016-03-14,84,False
2016-03-15,87,False
2016-03-16,86,False
2016-03-17,80,False
2016-03-18,75,False
2016-03-19,31,False
2016-03-20,25,False
2016-03-21,92,False
2016-03-22,88,False
2016-03-23,76,False
2016-03-24,85,False
2016-03-25,79,False
2016-03-26,27,False
2016-03-27,20,False
2016-03-28,81,False
2016-03-29,82,False
2016-03-30,89,False
2016-03-31,83,False
2016-04-01,74,False
2016-04-02,33,False
2016-04-03,26,False
2016-04-04,76,False
2016-04-05,78,False
2016-04-06,74,False
2016-04-07,85,False
2016-04-08,79,False
2016-04-09,35,False
2016-04-10,28,False
2016-04-11,85,False
2016-04-12,92,False
2016-04-13,88,False
2016-04-14,96,False
2016-04-15,83,False
2016-04-16,35,False
2016-04-17,26,False
2016-04-18,85,False
2016-04-19,87,False
2016-04-20,85,False
2016-04-21,87,False
2016-04-22,92,False
2016-04-23,32,False
2016-04-24,23,False
2016-04-25,78,False
2016-04-26,93,False
2016-04-27,85,False
2016-04-28,88,False
2016-04-29,67,False
2016-04-30,43,False
2016-05-01,22,False
2016-05-02,90,False
2016-05-03,82,False
2016-05-04,92,False
2016-05-05,85,False
2016-05-06,83,False
2016-05-07,40,False
2016-05-08,28,False
2016-05-09,68,False
2016-05-10,89,False
2016-05-11,85,False
2016-05-12,78,False
2016-05-13,80,False
2016-05-14,32,False
2016-05-15,22,False
2016-05-16,78,False
2016-05-17,92,False
2016-05-18,75,False
2016-05-19,93,False
2016-05-20,73,False
2016-05-21,29,False
2016-05-22,24,False
2016-05-23,71,False
2016-05-24,94,False
2016-05-25,86,False
2016-05-26,96,False
2016-05-27,69,False
2016-05-28,29,False
2016-05-29,25,False
2016-05-30,25,False
2016-05-31,88,False
2016-06-01,68,False
2016-06-02,89,False
2016-06-03,82,False
2016-06-04,31,False
