date,CA Inc,isPartial
2011-01-01,15,False
2011-01-02,25,False
2011-01-03,56,False
2011-01-04,77,False
2011-01-05,70,False
2011-01-06,68,False
2011-01-07,72,False
2011-01-08,43,False
2011-01-09,27,False
2011-01-10,55,False
2011-01-11,79,False
2011-01-12,79,False
2011-01-13,76,False
2011-01-14,78,False
2011-01-15,32,False
2011-01-16,24,False
2011-01-17,49,False
2011-01-18,80,False
2011-01-19,67,False
2011-01-20,75,False
2011-01-21,71,False
2011-01-22,39,False
2011-01-23,21,False
2011-01-24,50,False
2011-01-25,73,False
2011-01-26,99,False
2011-01-27,77,False
2011-01-28,70,False
2011-01-29,28,False
2011-01-30,28,False
2011-01-31,60,False
2011-02-01,62,False
2011-02-02,61,False
2011-02-03,75,False
2011-02-04,56,False
2011-02-05,31,False
2011-02-06,21,False
2011-02-07,76,False
2011-02-08,78,False
2011-02-09,77,False
2011-02-10,78,False
2011-02-11,77,False
2011-02-12,25,False
2011-02-13,26,False
2011-02-14,63,False
2011-02-15,77,False
2011-02-16,73,False
2011-02-17,68,False
2011-02-18,62,False
2011-02-19,34,False
2011-02-20,26,False
2011-02-21,50,False
2011-02-22,67,False
2011-02-23,73,False
2011-02-24,83,False
2011-02-25,66,False
2011-02-26,39,False
2011-02-27,28,False
2011-02-28,79,False
2011-03-01,72,False
2011-03-02,68,False
2011-03-03,77,False
2011-03-04,77,False
2011-03-05,28,False
2011-03-06,26,False
2011-03-07,79,False
2011-03-08,83,False
2011-03-09,55,False
2011-03-10,64,False
2011-03-11,68,False
2011-03-12,27,False
2011-03-13,23,False
2011-03-14,59,False
2011-03-15,76,False
2011-03-16,75,False
2011-03-17,48,False
2011-03-18,57,False
2011-03-19,33,False
2011-03-20,28,False
2011-03-21,73,False
2011-03-22,100,False
2011-03-23,71,False
2011-03-24,74,False
2011-03-25,81,False
2011-03-26,30,False
2011-03-27,24,False
2011-03-28,66,False
2011-03-29,82,False
2011-03-30,73,False
2011-03-31,66,False
2011-04-01,60,False
2011-04-02,32,False
2011-04-03,29,False
2011-04-04,58,False
2011-04-05,94,False
2011-04-06,80,False
2011-04-07,86,False
2011-04-08,71,False
2011-04-09,29,False
2011-04-10,18,False
2011-04-11,83,False
2011-04-12,81,False
2011-04-13,74,False
2011-04-14,71,False
2011-04-15,77,False
2011-04-16,31,False
2011-04-17,28,False
2011-04-18,72,False
2011-04-19,81,False
2011-04-20,84,False
2011-04-21,67,False
2011-04-22,76,False
2011-04-23,33,False
2011-04-24,21,False
2011-04-25,75,False
2011-04-26,82,False
2011-04-27,73,False
2011-04-28,82,False
2011-04-29,79,False
2011-04-30,24,False
2011-05-01,20,False
2011-05-02,67,False
2011-05-03,76,False
2011-05-04,96,False
2011-05-05,79,False
2011-05-06,62,False
2011-05-07,29,False
2011-05-08,17,False
2011-05-09,79,False
2011-05-10,74,False
2011-05-11,79,False
2011-05-12,70,False
2011-05-13,74,False
2011-05-14,25,False
2011-05-15,29,False
2011-05-16,65,False
2011-05-17,67,False
2011-05-18,80,False
2011-05-19,79,False
2011-05-20,71,False
2011-05-21,32,False
2011-05-22,19,False
2011-05-23,75,False
2011-05-24,73,False
2011-05-25,74,False
2011-05-26,67,False
2011-05-27,70,False
2011-05-28,21,False
2011-05-29,13,False
2011-05-30,20,False
2011-05-31,68,False
2011-06-01,72,False
2011-06-02,89,False
2011-06-03,61,False
2011-06-04,31,False
2011-06-05,23,False
2011-06-06,74,False
2011-06-07,77,False
2011-06-08,65,False
2011-06-09,76,False
2011-06-10,65,False
2011-06-11,27,False
2011-06-12,32,False
2011-06-13,72,False
2011-06-14,82,False
2011-06-15,70,False
2011-06-16,74,False
2011-06-17,81,False
2011-06-18,34,False
2011-06-19,21,False
2011-06-20,80,False
2011-06-21,67,False
2011-06-22,83,False
2011-06-23,83,False
2011-06-24,64,False
2011-06-25,24,False
2011-06-26,26,False
2011-06-27,84,False
2011-06-28,77,False
2011-06-29,74,False
2011-06-30,74,False
2011-07-01,53,False
2011-07-02,29,False
2011-07-03,15,False
2011-07-04,26,False
2011-07-05,69,False
2011-07-06,83,False
2011-07-07,91,False
2011-07-08,73,False
2011-07-09,26,False
2011-07-10,34,False
2011-07-11,66,False
2011-07-12,83,False
2011-07-13,82,False
2011-07-14,71,False
2011-07-15,70,False
2011-07-16,32,False
2011-07-17,32,False
2011-07-18,76,False
2011-07-19,82,False
2011-07-20,70,False
2011-07-21,83,False
2011-07-22,68,False
2011-07-23,34,False
2011-07-24,17,False
2011-07-25,81,False
2011-07-26,74,False
2011-07-27,72,False
2011-07-28,80,False
2011-07-29,86,False
2011-07-30,34,False
2011-07-31,27,False
2011-08-01,76,False
2011-08-02,82,False
2011-08-03,72,False
2011-08-04,81,False
2011-08-05,68,False
2011-08-06,36,False
2011-08-07,24,False
2011-08-08,68,False
2011-08-09,78,False
2011-08-10,86,False
2011-08-11,79,False
2011-08-12,79,False
2011-08-13,19,False
2011-08-14,22,False
2011-08-15,85,False
2011-08-16,70,False
2011-08-17,78,False
2011-08-18,65,False
2011-08-19,49,False
2011-08-20,27,False
2011-08-21,22,False
2011-08-22,62,False
