date,CA Inc,isPartial
2013-02-19,63,False
2013-02-20,88,False
2013-02-21,70,False
2013-02-22,80,False
2013-02-23,30,False
2013-02-24,16,False
2013-02-25,59,False
2013-02-26,63,False
2013-02-27,80,False
2013-02-28,73,False
2013-03-01,74,False
2013-03-02,21,False
2013-03-03,26,False
2013-03-04,61,False
2013-03-05,92,False
2013-03-06,77,False
2013-03-07,67,False
2013-03-08,68,False
2013-03-09,30,False
2013-03-10,20,False
2013-03-11,82,False
2013-03-12,70,False
2013-03-13,69,False
2013-03-14,76,False
2013-03-15,68,False
2013-03-16,28,False
2013-03-17,13,False
2013-03-18,69,False
2013-03-19,60,False
2013-03-20,67,False
2013-03-21,76,False
2013-03-22,53,False
2013-03-23,22,False
2013-03-24,30,False
2013-03-25,65,False
2013-03-26,87,False
2013-03-27,84,False
2013-03-28,80,False
2013-03-29,60,False
2013-03-30,24,False
2013-03-31,28,False
2013-04-01,67,False
2013-04-02,91,False
2013-04-03,67,False
2013-04-04,86,False
2013-04-05,53,False
2013-04-06,33,False
2013-04-07,16,False
2013-04-08,79,False
2013-04-09,64,False
2013-04-10,100,False
2013-04-11,80,False
2013-04-12,55,False
2013-04-13,26,False
2013-04-14,20,False
2013-04-15,69,False
2013-04-16,63,False
2013-04-17,72,False
2013-04-18,62,False
2013-04-19,67,False
2013-04-20,27,False
2013-04-21,16,False
2013-04-22,67,False
2013-04-23,72,False
2013-04-24,84,False
2013-04-25,72,False
2013-04-26,68,False
2013-04-27,21,False
2013-04-28,22,False
2013-04-29,69,False
2013-04-30,75,False
2013-05-01,80,False
2013-05-02,77,False
2013-05-03,66,False
2013-05-04,41,False
2013-05-05,25,False
2013-05-06,71,False
2013-05-07,72,False
2013-05-08,81,False
2013-05-09,75,False
2013-05-10,65,False
2013-05-11,42,False
2013-05-12,17,False
2013-05-13,67,False
2013-05-14,58,False
2013-05-15,69,False
2013-05-16,79,False
2013-05-17,61,False
2013-05-18,23,False
2013-05-19,27,False
2013-05-20,52,False
2013-05-21,73,False
2013-05-22,60,False
2013-05-23,66,False
2013-05-24,52,False
2013-05-25,20,False
2013-05-26,18,False
2013-05-27,25,False
2013-05-28,61,False
2013-05-29,74,False
2013-05-30,78,False
2013-05-31,66,False
2013-06-01,34,False
2013-06-02,17,False
2013-06-03,54,False
2013-06-04,91,False
2013-06-05,61,False
2013-06-06,62,False
2013-06-07,70,False
2013-06-08,31,False
2013-06-09,26,False
2013-06-10,65,False
2013-06-11,54,False
2013-06-12,67,False
2013-06-13,64,False
2013-06-14,64,False
2013-06-15,29,False
2013-06-16,22,False
2013-06-17,65,False
2013-06-18,64,False
2013-06-19,75,False
2013-06-20,64,False
2013-06-21,59,False
2013-06-22,42,False
2013-06-23,21,False
2013-06-24,68,False
2013-06-25,92,False
2013-06-26,66,False
2013-06-27,76,False
2013-06-28,60,False
2013-06-29,29,False
2013-06-30,31,False
2013-07-01,78,False
2013-07-02,76,False
2013-07-03,81,False
2013-07-04,26,False
2013-07-05,39,False
2013-07-06,28,False
2013-07-07,30,False
2013-07-08,71,False
2013-07-09,77,False
2013-07-10,80,False
2013-07-11,79,False
2013-07-12,72,False
2013-07-13,35,False
2013-07-14,21,False
2013-07-15,60,False
2013-07-16,75,False
2013-07-17,65,False
2013-07-18,66,False
2013-07-19,86,False
2013-07-20,27,False
2013-07-21,36,False
2013-07-22,85,False
2013-07-23,82,False
2013-07-24,77,False
2013-07-25,87,False
2013-07-26,52,False
2013-07-27,34,False
2013-07-28,24,False
2013-07-29,77,False
2013-07-30,71,False
2013-07-31,80,False
2013-08-01,89,False
2013-08-02,67,False
2013-08-03,24,False
2013-08-04,24,False
2013-08-05,68,False
2013-08-06,68,False
2013-08-07,77,False
2013-08-08,70,False
2013-08-09,58,False
2013-08-10,24,False
2013-08-11,16,False
2013-08-12,55,False
2013-08-13,64,False
2013-08-14,79,False
2013-08-15,68,False
2013-08-16,79,False
2013-08-17,28,False
2013-08-18,28,False
2013-08-19,77,False
2013-08-20,80,False
2013-08-21,62,False
2013-08-22,83,False
2013-08-23,62,False
2013-08-24,29,False
2013-08-25,24,False
2013-08-26,83,False
2013-08-27,76,False
2013-08-28,73,False
2013-08-29,62,False
2013-08-30,70,False
2013-08-31,32,False
2013-09-01,29,False
2013-09-02,24,False
2013-09-03,70,False
2013-09-04,70,False
2013-09-05,95,False
2013-09-06,78,False
2013-09-07,23,False
2013-09-08,17,False
2013-09-09,67,False
2013-09-10,68,False
2013-09-11,69,False
2013-09-12,67,False
2013-09-13,63,False
2013-09-14,29,False
2013-09-15,13,False
2013-09-16,62,False
2013-09-17,73,False
2013-09-18,61,False
2013-09-19,75,False
2013-09-20,62,False
2013-09-21,14,False
2013-09-22,22,False
2013-09-23,59,False
2013-09-24,62,False
2013-09-25,61,False
2013-09-26,64,False
2013-09-27,60,False
2013-09-28,19,False
2013-09-29,16,False
2013-09-30,67,False
2013-10-01,77,False
2013-10-02,66,False
2013-10-03,70,False
2013-10-04,63,False
2013-10-05,18,False
2013-10-06,27,False
2013-10-07,55,False
2013-10-08,66,False
2013-10-09,71,False
2013-10-10,54,False
2013-10-11,63,False
2013-10-12,26,False
2013-10-13,14,False
2013-10-14,58,False
2013-10-15,56,False
2013-10-16,57,False
2013-10-17,73,False
2013-10-18,62,False
2013-10-19,32,False
2013-10-20,19,False
2013-10-21,60,False
2013-10-22,65,False
2013-10-23,64,False
2013-10-24,63,False
2013-10-25,54,False
2013-10-26,25,False
2013-10-27,14,False
2013-10-28,62,False
2013-10-29,61,False
2013-10-30,59,False
2013-10-31,55,False
2013-11-01,49,False
2013-11-02,22,False
2013-11-03,29,False
2013-11-04,62,False
2013-11-05,53,False
2013-11-06,53,False
