date,AVGO stock
2016-09-11,0
2016-09-12,20
2016-09-13,19
2016-09-14,13
2016-09-15,0
2016-09-16,7
2016-09-17,0
2016-09-18,0
2016-09-19,13
2016-09-20,13
2016-09-21,0
2016-09-22,20
2016-09-23,20
2016-09-24,0
2016-09-25,0
2016-09-26,6
2016-09-27,19
2016-09-28,25
2016-09-29,26
2016-09-30,7
2016-10-01,7
2016-10-02,0
2016-10-03,13
2016-10-04,0
2016-10-05,19
2016-10-06,13
2016-10-07,7
2016-10-08,0
2016-10-09,0
2016-10-10,19
2016-10-11,0
2016-10-12,13
2016-10-13,6
2016-10-14,13
2016-10-15,0
2016-10-16,0
2016-10-17,6
2016-10-18,31
2016-10-19,6
2016-10-20,6
2016-10-21,20
2016-10-22,0
2016-10-23,0
2016-10-24,0
2016-10-25,25
2016-10-26,0
2016-10-27,13
2016-10-28,7
2016-10-29,0
2016-10-30,0
2016-10-31,26
2016-11-01,13
2016-11-02,6
2016-11-03,25
2016-11-04,0
2016-11-05,0
2016-11-06,0
2016-11-07,6
2016-11-08,18
2016-11-09,40
2016-11-10,19
2016-11-11,13
2016-11-12,0
2016-11-13,0
2016-11-14,19
2016-11-15,13
2016-11-16,12
2016-11-17,6
2016-11-18,33
2016-11-19,0
2016-11-20,0
2016-11-21,19
2016-11-22,12
2016-11-23,12
2016-11-24,0
2016-11-25,0
2016-11-26,7
2016-11-27,0
2016-11-28,18
2016-11-29,6
2016-11-30,18
2016-12-01,24
2016-12-02,19
2016-12-03,0
2016-12-04,7
2016-12-05,16
2016-12-06,6
2016-12-07,18
2016-12-08,55
2016-12-09,32
2016-12-10,14
2016-12-11,0
2016-12-12,64
2016-12-13,30
2016-12-14,42
2016-12-15,37
2016-12-16,20
2016-12-17,14
2016-12-18,0
2016-12-19,12
2016-12-20,44
2016-12-21,52
2016-12-22,26
2016-12-23,14
2016-12-24,0
2016-12-25,8
2016-12-26,14
2016-12-27,6
2016-12-28,7
2016-12-29,13
2016-12-30,7
2016-12-31,15
2017-01-01,0
2017-01-02,19
2017-01-03,19
2017-01-04,0
2017-01-05,31
2017-01-06,19
2017-01-07,21
2017-01-08,13
2017-01-09,12
2017-01-10,18
2017-01-11,6
2017-01-12,0
2017-01-13,18
2017-01-14,0
2017-01-15,0
2017-01-16,12
2017-01-17,0
2017-01-18,12
2017-01-19,29
2017-01-20,18
2017-01-21,13
2017-01-22,7
2017-01-23,11
2017-01-24,47
2017-01-25,64
2017-01-26,12
2017-01-27,25
2017-01-28,21
2017-01-29,7
2017-01-30,40
2017-01-31,0
2017-02-01,34
2017-02-02,29
2017-02-03,12
2017-02-04,7
2017-02-05,0
2017-02-06,11
2017-02-07,29
2017-02-08,52
2017-02-09,41
2017-02-10,12
2017-02-11,13
2017-02-12,13
2017-02-13,34
2017-02-14,17
2017-02-15,0
2017-02-16,6
2017-02-17,40
2017-02-18,20
2017-02-19,13
2017-02-20,11
2017-02-21,28
2017-02-22,11
2017-02-23,41
2017-02-24,36
2017-02-25,13
2017-02-26,0
2017-02-27,22
2017-02-28,63
2017-03-01,94
2017-03-02,100
2017-03-03,41
2017-03-04,6
2017-03-05,13
2017-03-06,16
2017-03-07,27
2017-03-08,34
2017-03-09,46
2017-03-10,36
2017-03-11,13
2017-03-12,0
2017-03-13,27
2017-03-14,34
2017-03-15,63
2017-03-16,46
2017-03-17,30
2017-03-18,26
2017-03-19,0
2017-03-20,62
2017-03-21,23
2017-03-22,40
2017-03-23,35
2017-03-24,30
2017-03-25,7
2017-03-26,7
2017-03-27,11
2017-03-28,17
2017-03-29,17
2017-03-30,12
2017-03-31,18
2017-04-01,26
2017-04-02,20
2017-04-03,17
2017-04-04,40
2017-04-05,46
2017-04-06,23
2017-04-07,24
2017-04-08,0
2017-04-09,7
2017-04-10,29
2017-04-11,35
2017-04-12,36
2017-04-13,50
2017-04-14,13
2017-04-15,21
2017-04-16,0
2017-04-17,18
2017-04-18,17
2017-04-19,34
2017-04-20,34
2017-04-21,36
2017-04-22,0
2017-04-23,13
2017-04-24,11
2017-04-25,34
2017-04-26,28
2017-04-27,12
2017-04-28,36
2017-04-29,0
2017-04-30,0
2017-05-01,31
2017-05-02,23
2017-05-03,23
2017-05-04,29
2017-05-05,24
2017-05-06,20
2017-05-07,7
2017-05-08,23
2017-05-09,34
2017-05-10,46
2017-05-11,29
2017-05-12,36
2017-05-13,20
2017-05-14,7
2017-05-15,18
2017-05-16,18
2017-05-17,37
2017-05-18,55
2017-05-19,58
2017-05-20,0
2017-05-21,14
2017-05-22,19
2017-05-23,30
2017-05-24,19
2017-05-25,25
2017-05-26,27
2017-05-27,7
2017-05-28,0
2017-05-29,6
