date,AVGO stock
2018-02-13,6
2018-02-14,20
2018-02-15,21
2018-02-16,12
2018-02-17,7
2018-02-18,0
2018-02-19,9
2018-02-20,26
2018-02-21,14
2018-02-22,17
2018-02-23,39
2018-02-24,10
2018-02-25,0
2018-02-26,20
2018-02-27,29
2018-02-28,28
2018-03-01,20
2018-03-02,24
2018-03-03,0
2018-03-04,10
2018-03-05,31
2018-03-06,17
2018-03-07,29
2018-03-08,38
2018-03-09,46
2018-03-10,20
2018-03-11,13
2018-03-12,43
2018-03-13,100
2018-03-14,45
2018-03-15,91
2018-03-16,74
2018-03-17,13
2018-03-18,10
2018-03-19,43
2018-03-20,43
2018-03-21,43
2018-03-22,23
2018-03-23,30
2018-03-24,3
2018-03-25,3
2018-03-26,43
2018-03-27,20
2018-03-28,42
2018-03-29,28
2018-03-30,13
2018-03-31,3
2018-04-01,0
2018-04-02,37
2018-04-03,26
2018-04-04,20
2018-04-05,35
2018-04-06,49
2018-04-07,3
2018-04-08,13
