date,AVGO stock
2015-12-26,0
2015-12-27,0
2015-12-28,0
2015-12-29,7
2015-12-30,0
2015-12-31,0
2016-01-01,0
2016-01-02,23
2016-01-03,0
2016-01-04,20
2016-01-05,0
2016-01-06,20
2016-01-07,20
2016-01-08,14
2016-01-09,15
2016-01-10,0
2016-01-11,0
2016-01-12,6
2016-01-13,20
2016-01-14,26
2016-01-15,0
2016-01-16,0
2016-01-17,7
2016-01-18,0
2016-01-19,13
2016-01-20,13
2016-01-21,26
2016-01-22,0
2016-01-23,0
2016-01-24,0
2016-01-25,0
2016-01-26,7
2016-01-27,13
2016-01-28,0
2016-01-29,0
2016-01-30,7
2016-01-31,0
2016-02-01,20
2016-02-02,19
2016-02-03,6
2016-02-04,26
2016-02-05,7
2016-02-06,8
2016-02-07,0
2016-02-08,13
2016-02-09,0
2016-02-10,32
2016-02-11,13
2016-02-12,7
2016-02-13,0
2016-02-14,0
2016-02-15,6
2016-02-16,19
2016-02-17,0
2016-02-18,0
2016-02-19,0
2016-02-20,0
2016-02-21,0
2016-02-22,0
2016-02-23,6
2016-02-24,13
2016-02-25,13
2016-02-26,7
2016-02-27,7
2016-02-28,0
2016-02-29,0
2016-03-01,19
2016-03-02,25
2016-03-03,32
2016-03-04,33
2016-03-05,7
2016-03-06,0
2016-03-07,44
2016-03-08,25
2016-03-09,6
2016-03-10,7
2016-03-11,13
2016-03-12,0
2016-03-13,0
2016-03-14,19
2016-03-15,26
2016-03-16,13
2016-03-17,33
2016-03-18,7
2016-03-19,0
2016-03-20,14
2016-03-21,0
2016-03-22,0
2016-03-23,0
2016-03-24,7
2016-03-25,0
2016-03-26,0
2016-03-27,0
2016-03-28,20
2016-03-29,13
2016-03-30,26
2016-03-31,26
2016-04-01,14
2016-04-02,0
2016-04-03,0
2016-04-04,6
2016-04-05,13
2016-04-06,25
2016-04-07,19
2016-04-08,0
2016-04-09,7
2016-04-10,0
2016-04-11,33
2016-04-12,6
2016-04-13,20
2016-04-14,20
2016-04-15,0
2016-04-16,0
2016-04-17,0
2016-04-18,6
2016-04-19,19
2016-04-20,26
2016-04-21,20
2016-04-22,0
2016-04-23,0
2016-04-24,0
2016-04-25,6
2016-04-26,32
2016-04-27,19
2016-04-28,13
2016-04-29,0
2016-04-30,0
2016-05-01,0
2016-05-02,13
2016-05-03,13
2016-05-04,7
2016-05-05,13
2016-05-06,7
2016-05-07,8
2016-05-08,0
2016-05-09,26
2016-05-10,19
2016-05-11,6
2016-05-12,19
2016-05-13,0
2016-05-14,0
2016-05-15,15
2016-05-16,6
2016-05-17,6
2016-05-18,0
2016-05-19,13
2016-05-20,0
2016-05-21,0
2016-05-22,0
2016-05-23,6
2016-05-24,19
2016-05-25,7
2016-05-26,27
2016-05-27,7
2016-05-28,0
2016-05-29,8
2016-05-30,0
2016-05-31,6
2016-06-01,26
2016-06-02,46
2016-06-03,76
2016-06-04,31
2016-06-05,0
2016-06-06,33
2016-06-07,20
2016-06-08,7
2016-06-09,7
2016-06-10,14
2016-06-11,8
2016-06-12,0
2016-06-13,6
2016-06-14,0
2016-06-15,6
2016-06-16,26
2016-06-17,7
2016-06-18,0
2016-06-19,0
2016-06-20,7
2016-06-21,7
2016-06-22,20
2016-06-23,27
2016-06-24,42
2016-06-25,23
2016-06-26,0
2016-06-27,20
2016-06-28,7
2016-06-29,13
2016-06-30,27
2016-07-01,7
2016-07-02,8
2016-07-03,8
2016-07-04,7
2016-07-05,35
2016-07-06,7
2016-07-07,14
2016-07-08,7
2016-07-09,0
2016-07-10,0
2016-07-11,21
2016-07-12,14
2016-07-13,7
2016-07-14,0
2016-07-15,0
2016-07-16,8
2016-07-17,0
2016-07-18,28
2016-07-19,0
2016-07-20,28
2016-07-21,0
2016-07-22,7
2016-07-23,16
2016-07-24,0
2016-07-25,14
2016-07-26,14
2016-07-27,21
2016-07-28,0
2016-07-29,22
2016-07-30,24
2016-07-31,0
2016-08-01,21
2016-08-02,27
2016-08-03,34
2016-08-04,14
2016-08-05,8
2016-08-06,0
2016-08-07,8
2016-08-08,49
2016-08-09,28
2016-08-10,14
2016-08-11,7
2016-08-12,15
2016-08-13,0
2016-08-14,0
2016-08-15,23
2016-08-16,7
2016-08-17,7
2016-08-18,15
2016-08-19,15
2016-08-20,9
2016-08-21,0
2016-08-22,7
2016-08-23,22
2016-08-24,7
2016-08-25,21
2016-08-26,7
2016-08-27,8
2016-08-28,16
2016-08-29,0
2016-08-30,34
2016-08-31,54
2016-09-01,68
2016-09-02,100
2016-09-03,16
2016-09-04,0
2016-09-05,21
2016-09-06,20
2016-09-07,27
2016-09-08,21
2016-09-09,21
2016-09-10,0
2016-09-11,0
