date,AVGO stock
2017-10-06,14
2017-10-07,4
2017-10-08,4
2017-10-09,13
2017-10-10,42
2017-10-11,20
2017-10-12,13
2017-10-13,27
2017-10-14,0
2017-10-15,0
2017-10-16,3
2017-10-17,20
2017-10-18,33
2017-10-19,10
2017-10-20,14
2017-10-21,4
2017-10-22,0
2017-10-23,19
2017-10-24,10
2017-10-25,3
2017-10-26,13
2017-10-27,31
2017-10-28,8
2017-10-29,0
2017-10-30,35
2017-10-31,26
2017-11-01,17
2017-11-02,46
2017-11-03,67
2017-11-04,29
2017-11-05,11
2017-11-06,63
2017-11-07,41
2017-11-08,29
2017-11-09,35
2017-11-10,23
2017-11-11,0
2017-11-12,7
2017-11-13,22
2017-11-14,16
2017-11-15,10
2017-11-16,13
2017-11-17,23
2017-11-18,15
2017-11-19,11
2017-11-20,0
2017-11-21,19
2017-11-22,10
2017-11-23,13
2017-11-24,3
2017-11-25,7
2017-11-26,0
2017-11-27,25
2017-11-28,12
2017-11-29,16
2017-11-30,23
2017-12-01,43
2017-12-02,4
2017-12-03,4
2017-12-04,38
2017-12-05,22
2017-12-06,63
2017-12-07,93
2017-12-08,24
2017-12-09,7
2017-12-10,18
2017-12-11,41
2017-12-12,41
2017-12-13,22
2017-12-14,23
2017-12-15,27
2017-12-16,11
2017-12-17,4
2017-12-18,22
2017-12-19,19
2017-12-20,13
2017-12-21,28
2017-12-22,11
2017-12-23,8
2017-12-24,8
2017-12-25,8
2017-12-26,11
2017-12-27,31
2017-12-28,21
2017-12-29,18
2017-12-30,4
2017-12-31,0
2018-01-01,12
2018-01-02,20
2018-01-03,42
2018-01-04,19
2018-01-05,36
2018-01-06,4
2018-01-07,4
2018-01-08,32
2018-01-09,15
2018-01-10,34
2018-01-11,13
2018-01-12,26
2018-01-13,11
2018-01-14,3
2018-01-15,15
2018-01-16,15
2018-01-17,21
2018-01-18,19
2018-01-19,16
2018-01-20,4
2018-01-21,0
2018-01-22,15
2018-01-23,37
2018-01-24,18
2018-01-25,41
2018-01-26,35
2018-01-27,0
2018-01-28,0
2018-01-29,27
2018-01-30,31
2018-01-31,37
2018-02-01,19
2018-02-02,64
2018-02-03,7
2018-02-04,0
2018-02-05,55
2018-02-06,49
2018-02-07,40
2018-02-08,81
2018-02-09,35
2018-02-10,4
2018-02-11,0
2018-02-12,35
2018-02-13,28
2018-02-14,34
2018-02-15,19
2018-02-16,13
2018-02-17,4
2018-02-18,0
2018-02-19,9
2018-02-20,30
2018-02-21,37
2018-02-22,28
2018-02-23,32
2018-02-24,7
2018-02-25,0
2018-02-26,18
2018-02-27,21
2018-02-28,24
2018-03-01,27
2018-03-02,19
2018-03-03,7
2018-03-04,10
2018-03-05,24
2018-03-06,36
2018-03-07,15
2018-03-08,18
2018-03-09,38
2018-03-10,28
2018-03-11,14
2018-03-12,51
2018-03-13,100
2018-03-14,54
2018-03-15,71
2018-03-16,95
2018-03-17,25
2018-03-18,3
2018-03-19,30
2018-03-20,46
2018-03-21,24
2018-03-22,28
2018-03-23,38
2018-03-24,7
2018-03-25,0
2018-03-26,52
2018-03-27,41
2018-03-28,44
2018-03-29,52
2018-03-30,17
2018-03-31,11
2018-04-01,4
2018-04-02,36
2018-04-03,46
2018-04-04,34
2018-04-05,38
2018-04-06,32
2018-04-07,11
2018-04-08,7
