date,AVGO stock
2017-05-29,4
2017-05-30,16
2017-05-31,12
2017-06-01,72
2017-06-02,87
2017-06-03,15
2017-06-04,14
2017-06-05,20
2017-06-06,36
2017-06-07,0
2017-06-08,16
2017-06-09,34
2017-06-10,5
2017-06-11,5
2017-06-12,24
2017-06-13,20
2017-06-14,20
2017-06-15,21
2017-06-16,26
2017-06-17,5
2017-06-18,0
2017-06-19,20
2017-06-20,43
2017-06-21,16
2017-06-22,24
2017-06-23,20
2017-06-24,14
2017-06-25,0
2017-06-26,29
2017-06-27,34
2017-06-28,25
2017-06-29,21
2017-06-30,22
2017-07-01,0
2017-07-02,5
2017-07-03,26
2017-07-04,9
2017-07-05,4
2017-07-06,21
2017-07-07,13
2017-07-08,0
2017-07-09,5
2017-07-10,8
2017-07-11,21
2017-07-12,17
2017-07-13,17
2017-07-14,17
2017-07-15,5
2017-07-16,5
2017-07-17,17
2017-07-18,29
2017-07-19,8
2017-07-20,8
2017-07-21,17
2017-07-22,10
2017-07-23,5
2017-07-24,21
2017-07-25,17
2017-07-26,20
2017-07-27,25
2017-07-28,17
2017-07-29,10
2017-07-30,0
2017-07-31,25
2017-08-01,28
2017-08-02,54
2017-08-03,32
2017-08-04,37
2017-08-05,0
2017-08-06,5
2017-08-07,16
2017-08-08,34
2017-08-09,8
2017-08-10,25
2017-08-11,8
2017-08-12,5
2017-08-13,0
2017-08-14,20
2017-08-15,21
2017-08-16,33
2017-08-17,24
2017-08-18,17
2017-08-19,9
2017-08-20,5
2017-08-21,12
2017-08-22,24
2017-08-23,32
2017-08-24,58
2017-08-25,59
2017-08-26,14
2017-08-27,0
2017-08-28,16
2017-08-29,32
2017-08-30,20
2017-08-31,41
2017-09-01,73
2017-09-02,5
2017-09-03,0
2017-09-04,12
2017-09-05,31
2017-09-06,15
2017-09-07,24
2017-09-08,29
2017-09-09,0
2017-09-10,0
2017-09-11,23
2017-09-12,20
2017-09-13,20
2017-09-14,28
2017-09-15,8
2017-09-16,9
2017-09-17,9
2017-09-18,31
2017-09-19,31
2017-09-20,20
2017-09-21,28
2017-09-22,25
2017-09-23,5
2017-09-24,13
2017-09-25,35
2017-09-26,15
2017-09-27,35
2017-09-28,20
2017-09-29,21
2017-09-30,5
2017-10-01,9
2017-10-02,8
2017-10-03,35
2017-10-04,31
2017-10-05,32
2017-10-06,12
2017-10-07,5
2017-10-08,13
2017-10-09,16
2017-10-10,11
2017-10-11,19
2017-10-12,24
2017-10-13,16
2017-10-14,5
2017-10-15,4
2017-10-16,8
2017-10-17,27
2017-10-18,20
2017-10-19,12
2017-10-20,4
2017-10-21,0
2017-10-22,0
2017-10-23,15
2017-10-24,15
2017-10-25,8
2017-10-26,28
2017-10-27,32
2017-10-28,9
2017-10-29,0
2017-10-30,50
2017-10-31,23
2017-11-01,20
2017-11-02,47
2017-11-03,79
2017-11-04,26
2017-11-05,17
2017-11-06,72
2017-11-07,46
2017-11-08,45
2017-11-09,38
2017-11-10,44
2017-11-11,9
2017-11-12,4
2017-11-13,30
2017-11-14,23
2017-11-15,15
2017-11-16,15
2017-11-17,35
2017-11-18,13
2017-11-19,17
2017-11-20,11
2017-11-21,19
2017-11-22,11
2017-11-23,20
2017-11-24,16
2017-11-25,4
2017-11-26,4
2017-11-27,22
2017-11-28,26
2017-11-29,30
2017-11-30,19
2017-12-01,48
2017-12-02,0
2017-12-03,4
2017-12-04,41
2017-12-05,37
2017-12-06,87
2017-12-07,100
2017-12-08,73
2017-12-09,9
2017-12-10,17
2017-12-11,45
2017-12-12,45
2017-12-13,19
2017-12-14,8
2017-12-15,56
2017-12-16,9
2017-12-17,9
2017-12-18,34
2017-12-19,23
2017-12-20,12
2017-12-21,16
2017-12-22,21
2017-12-23,9
2017-12-24,10
2017-12-25,5
2017-12-26,13
2017-12-27,25
2017-12-28,12
2017-12-29,26
2017-12-30,5
2017-12-31,9
2018-01-01,9
2018-01-02,32
2018-01-03,58
2018-01-04,11
2018-01-05,35
2018-01-06,4
2018-01-07,0
2018-01-08,38
2018-01-09,30
2018-01-10,19
2018-01-11,19
2018-01-12,27
2018-01-13,9
2018-01-14,0
2018-01-15,7
2018-01-16,25
2018-01-17,29
2018-01-18,22
2018-01-19,23
2018-01-20,0
2018-01-21,0
2018-01-22,25
2018-01-23,33
2018-01-24,29
2018-01-25,40
2018-01-26,50
2018-01-27,17
2018-01-28,4
2018-01-29,25
2018-01-30,48
2018-01-31,52
2018-02-01,41
2018-02-02,57
2018-02-03,0
2018-02-04,4
2018-02-05,62
2018-02-06,74
2018-02-07,44
2018-02-08,44
2018-02-09,42
2018-02-10,4
2018-02-11,0
2018-02-12,45
2018-02-13,34
